"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
1,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","BIANCO","1955 - 1965","","0","001","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","BIANCO PANNA","1987 - 1988","","0","002","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
4,286,170,"0                                                                                                   ",0.00,0,0,"2K",1,"","601 + 296A","2009 - 2011","","0","004","0","","",0,"0",-2,-2,-2,0,0,0,0,,"0",,,,"601",,,"296A",,,,,
5,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","BIANCO NUBE","1954 - 1962","","0","004","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
6,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","BIANCO","1963 - 1993","","0","008","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
7,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","BIANCO ANTICO","1960 - 1968","","0","010","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
8,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","BIANCO SPINO","1955 - 1977","","0","013","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","BIANCO CAPODIMONTE","1972 - 1988","","0","015","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S2","BIANCO CAPODIMONTE","1972 - 1988","D","0","015","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S3","BIANCO CAPODIMONTE","1972 - 1988","L","0","015","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","BIANCO CAPODIMONTE","1986 - 1988","","0","023","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S2","BIANCO CAPODIMONTE","1986 - 1988","L+R","0","023","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
14,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","BIANCO PASTELLO","1986 - 1988","","0","023","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","BIANCO FREDDO","1987 - 1993","","0","024","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
16,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S2","BIANCO FREDDO","1987 - 1993","L+B","0","024","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
17,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S3","BIANCO FREDDO","1987 - 1993","D+R","0","024","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
18,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S4","BIANCO FREDDO","1987 - 1993","R+D","0","024","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
19,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S5","BIANCO FREDDO","1987 - 1993","Y","0","024","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
20,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","BIANCO FREDDO","1987 - 1993","","0","025","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
21,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S2","BIANCO FREDDO","1987 - 1993","D+B","0","025","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
22,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S3","BIANCO FREDDO","1987 - 1993","D+R","0","025","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
23,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S4","BIANCO FREDDO","1987 - 1993","R+D","0","025","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
24,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S5","BIANCO FREDDO","1987 - 1993","Y","0","025","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
25,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","MONTECATINI RED","1967 - 1968","","0","042","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
26,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S2","FLY YELLOW","1992 - 1993","DRT","0","102","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
27,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","FLY YELLOW (Couche)","1992 - 1993","","0","102","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
29,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","AVORIO","1962 - 1985","","0","103","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
30,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","GIALLO PAGLIERINO","1958 - 1993","","0","105","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
31,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","AVORIO INDIANO","1960 - 1978","","0","106","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
32,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","GIALLO OCRA (Couche)","1962 - 1977","","0","109","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
34,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","BEIGE VISONE","1988 - 1988","","0","110","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
35,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","OCRA SCURO","1962 - 1977","","0","112","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
36,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","ROSSO BORDEAUX","1988 - 1991","","0","115 - RBAL","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
37,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S2","ROSSO BORDEAUX","1988 - 1991","L","0","115 - RBAL","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
38,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","GIALLO PIPER","1962 - 1980","","0","116","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
39,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","GIALLO PROTOTYPO","1966 - 1993","","0","119","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
40,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","ROSSO POMPIERI","1991 - 1993","","0","122 - RVEC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
42,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",1,"S1","ROSSO ALFA","1988 - 2008","","0","130 - ROAL","0","","1*",1,"U",,,,,,,,,"0",,,,,,,,,,,,
