"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
330,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",2,"S1","ARRAN WHITE","1999 - 1999","","0","0053","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
331,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",2,"S1","BOWLAND BLACK","2000 - 2002","","0","1106 - 9531101","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
332,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",2,"S1","CANNOCK BLACK","2000 - 2004","","0","1110","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
333,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",2,"S1","PEPPER WHITE","2007 - 2007","","0","1620","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
334,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",2,"S1","NUGGET YELLOW (Couche)","2008 - 2008","","0","1628","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
336,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",2,"S1","BRITISH RACING GREEN","1996 - 2000","","0","AM013W - R1509/02","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
337,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",2,"S1","CANNOCK BLACK","1994 - 1996","","0","AS0068 - 1110","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
338,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",2,"S1","SUFFOLK RED","1994 - 1996","","0","AS0070","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
339,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",2,"S1","BRITISH RACING GREEN","2000 - 2004","","0","AST1107","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
340,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",2,"S1","WESTMINSTER BLUE","1996 - 2005","","0","AST1141","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
