"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
78189,78801,6894,"25.5",2,"I",0
78190,78801,223275,"63.04",2,"I",0
78191,78801,6909,"102.23",2,"I",0
78192,78803,6894,"8.94",2,"I",0
78193,78803,6925,"9.72",2,"I",0
78194,78803,223275,"19.65",2,"I",0
78195,78803,6908,"252.95",2,"I",0
78196,78803,6910,"637.63",2,"I",0
78197,78805,6925,"68.85",2,"I",0
78198,78805,223275,"74.59",2,"I",0
78199,78805,6908,"272.08",2,"I",0
78200,78805,6927,"515.48",2,"I",0
78558,78648,6898,"1.91",2,"I",0
78559,78648,6895,"56.94",2,"I",0
78560,78648,6928,"75.34",2,"I",0
78561,78648,6926,"184.76",2,"I",0
78562,78648,6924,"587.65",2,"I",0
79005,78783,6898,"0.04",2,"I",0
79006,78783,6894,"40.37",2,"I",0
79007,78783,6924,"49.77",2,"I",0
79008,78783,6928,"875.21",2,"I",0
79009,78781,6924,"48.05",2,"I",0
79010,78781,6894,"50.93",2,"I",0
79011,78781,6898,"7.26",2,"I",0
79012,78781,6928,"852.76",2,"I",0
79293,78949,6894,"98.97",2,"I",0
79294,78949,223275,"98.97",2,"I",0
79295,78949,6906,"129.98",2,"I",0
79296,78949,6909,"211.62",2,"I",0
79297,78949,6907,"393.46",2,"I",0
84350,80915,10,"87.4",2,"I",0
84351,80915,41,"27.9",2,"I",0
84352,80915,115,"49.8",2,"I",0
84353,80915,459,"65.9",2,"I",0
84354,80915,789,"161.6",2,"I",0
84710,81194,10,"85.1",2,"I",0
84711,81194,115,"57.4",2,"I",0
84712,81194,880,"80.7",2,"I",0
84713,81194,338,"89.5",2,"I",0
84714,81194,28,"582.4",2,"I",0
84715,81194,117,"33.2",2,"I",0
84727,81197,10,"77",2,"I",0
84728,81197,465,"0.7",2,"I",0
84729,81197,2275,"16.7",2,"I",0
84730,81197,15,"26.4",2,"I",0
84731,81197,41,"98.7",2,"I",0
84732,81197,13,"55.5",2,"I",0
84733,81197,340,"49.3",2,"I",0
84734,81197,880,"52.9",2,"I",0
84735,81197,338,"74.5",2,"I",0
84736,81197,28,"402.7",2,"I",0
