"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
464,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",5,"S1","COLORADO (Couche)","1968 - 1990","","0","002","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
466,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",5,"S1","CONDOR","1967 - 1975","","0","003","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
467,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",5,"S1","MANILA","1961 - 1962","","0","004","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
468,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",5,"S1","SAHARA","1969 - 1976","","0","006","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
469,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",5,"S1","HELLELFENBEIN","1971 - 1978","","0","007","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
470,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",5,"S1","SIERRABEIGE","1975 - 1979","","0","012","0","","",0,"0",,,,,,,,,"1","18:5:2016:10:7:51",,,,,,,,,,,
471,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",5,"S1","FEUERROT (Couche)","1990 - 1990","","0","015","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
473,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",5,"S1","IBERISCH ROT","1978 - 1979","","0","016","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
474,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",5,"S1","ORANGE 2 (Couche)","2002 - 2003","","0","019","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
476,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",5,"S1","KORALL","1975 - 1978","","0","020","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
