"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
174,516,6920,"5.19",2,"U",0
175,516,6894,"81.36",2,"U",0
176,516,6907,"133.03",2,"U",0
177,516,223275,"291.12",2,"U",0
178,516,223303,"417.2",2,"U",0
179,517,6897,"69.94",2,"U",0
180,517,223275,"192.77",2,"U",0
181,517,6894,"271.28",2,"U",0
182,517,223303,"430.62",2,"U",0
183,522,223275,"49.47",2,"U",0
184,522,6896,"58.35",2,"U",0
185,522,6911,"67.12",2,"U",0
186,522,6925,"89.17",2,"U",0
187,522,6894,"287.14",2,"U",0
188,522,223303,"440.15",2,"U",0
189,523,6894,"11.73",2,"U",0
190,523,6923,"27.9",2,"U",0
191,523,6906,"83.47",2,"U",0
192,523,223275,"125.32",2,"U",0
193,523,223303,"214.21",2,"U",0
194,523,6920,"442.37",2,"U",0
195,524,6896,"23.04",2,"U",0
196,524,6910,"52.56",2,"U",0
197,524,6898,"77.79",2,"U",0
198,524,6894,"394.57",2,"U",0
199,524,223303,"438.24",2,"U",0
200,525,223275,"33.1",2,"U",0
201,525,6897,"53.59",2,"U",0
202,525,6919,"74.84",2,"U",0
203,525,6895,"101.64",2,"U",0
204,525,223303,"214.01",2,"U",0
205,525,6920,"425.92",2,"U",0
206,526,6910,"42.42",2,"U",0
207,526,6909,"145.32",2,"U",0
208,526,223275,"148.52",2,"U",0
209,526,6894,"186.75",2,"U",0
210,526,223303,"424.19",2,"U",0
211,527,6920,"10.81",2,"U",0
212,527,6900,"14.3",2,"U",0
213,527,223275,"65.84",2,"U",0
214,527,6896,"72.94",2,"U",0
215,527,223303,"239.34",2,"U",0
216,527,6894,"635.47",2,"U",0
217,528,6898,"24.45",2,"U",0
218,528,6916,"90.51",2,"U",0
219,528,6894,"126.63",2,"U",0
220,528,6896,"284.21",2,"U",0
221,528,223303,"425.7",2,"U",0
222,529,6894,"1.1",2,"U",0
223,529,6914,"30.59",2,"U",0
224,529,6925,"20.32",2,"U",0
225,529,223275,"112.32",2,"U",0
226,529,6910,"140.37",2,"U",0
227,529,6896,"203.76",2,"U",0
228,529,223303,"416.03",2,"U",0
229,534,6927,"33.62",2,"U",0
230,534,6920,"55.6",2,"U",0
231,534,6900,"88.12",2,"U",0
232,534,223303,"115.92",2,"U",0
233,534,6894,"287.54",2,"U",0
234,534,223275,"391.7",2,"U",0
235,535,6910,"94.82",2,"U",0
236,535,223303,"118.61",2,"U",0
237,535,6917,"131.54",2,"U",0
238,535,6914,"138.67",2,"U",0
239,535,6894,"251.36",2,"U",0
240,535,6909,"264.29",2,"U",0
241,537,6917,"4.29",2,"U",0
242,537,223275,"62.86",2,"U",0
243,537,6897,"79.01",2,"U",0
244,537,6896,"111.43",2,"U",0
245,537,6894,"280.34",2,"U",0
246,537,223303,"432.87",2,"U",0
247,539,223275,"25.36",2,"U",0
248,539,6906,"45.31",2,"U",0
249,539,6894,"165.58",2,"U",0
250,539,6907,"282.66",2,"U",0
251,539,223303,"421.89",2,"U",0
252,542,6923,"2.09",2,"U",0
253,542,6909,"13.78",2,"U",0
254,542,6908,"21.06",2,"U",0
255,542,6894,"143.54",2,"U",0
256,542,223275,"337.79",2,"U",0
257,542,223303,"422.24",2,"U",0
258,543,6896,"5.42",2,"U",0
259,543,6927,"7.52",2,"U",0
260,543,223275,"101.67",2,"U",0
261,543,6900,"167.76",2,"U",0
262,543,223303,"216.28",2,"U",0
263,543,6910,"419.85",2,"U",0
264,544,6894,"59.69",2,"U",0
265,544,223275,"103.82",2,"U",0
266,544,6896,"147.73",2,"U",0
267,544,6897,"203.33",2,"U",0
268,544,223303,"419.24",2,"U",0
269,545,6923,"1.09",2,"U",0
270,545,223275,"6.12",2,"U",0
271,545,6900,"12.46",2,"U",0
272,545,6925,"213.06",2,"U",0
273,545,6894,"342.16",2,"U",0
274,545,223303,"453.11",2,"U",0
275,546,6907,"27.43",2,"U",0
276,546,6920,"35",2,"U",0
277,546,223275,"83.28",2,"U",0
278,546,6894,"401.93",2,"U",0
279,546,223303,"438.25",2,"U",0
280,547,6923,"1.1",2,"U",0
281,547,6914,"13.07",2,"U",0
282,547,6925,"8.68",2,"U",0
283,547,6907,"47.88",2,"U",0
284,547,223275,"126.07",2,"U",0
285,547,6894,"345.71",2,"U",0
286,547,223303,"434.89",2,"U",0
287,548,6913,"37.03",2,"U",0
288,548,6920,"140.23",2,"U",0
289,548,6897,"159.45",2,"U",0
290,548,6898,"9.95",2,"U",0
291,548,223303,"254.92",2,"U",0
292,548,6896,"325.23",2,"U",0
293,549,6909,"5.49",2,"U",0
294,549,6917,"14.16",2,"U",0
