"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
911634,186612,1088378,"5.69344081696779",2,"I",0
911635,186612,1088348,"13.0135790102121",2,"I",0
911636,186612,1088375,"34.7028773605656",2,"I",0
911637,186612,1088370,"274.369624131972",2,"I",0
911638,186612,1088373,"707.613358680283",2,"I",0
1314024,222465,10,"77.9172432654178",2,"I",0
1314025,222465,465,"7.82730297643466",2,"I",0
1314026,222465,880,"8.98360909795342",2,"I",0
1314027,222465,115,"16.8109120743881",2,"I",0
1314028,222465,1163,"50.5216828478964",2,"I",0
1314029,222465,25,"37.677790236565",2,"I",0
1314030,222465,1385,"244.025064952824",2,"I",0
1314031,222465,1386,"518.460980901591",2,"I",0
1314032,222465,117,"13.4754136469301",2,"I",0
1314033,222466,10,"87.9054082827638",2,"I",0
1314034,222466,25,"3.96927499201533",2,"I",0
1314035,222466,15,"1037.92531672522",2,"I",0
1314036,222467,10,"95.3460161860253",2,"I",0
1314037,222467,463,"2.82345833808275",2,"I",0
1314038,222467,15,"200.031163798017",2,"I",0
1314039,222467,41,"122.8204377066",2,"I",0
1314040,222467,6899,"531.678923971275",2,"I",0
1314041,222468,10,"87.9054082827638",2,"I",0
1314042,222468,25,"3.96927499201533",2,"I",0
1314043,222468,15,"1037.92531672522",2,"I",0
1314044,222469,10,"95.3460161860253",2,"I",0
1314045,222469,463,"2.82345833808275",2,"I",0
1314046,222469,15,"200.031163798017",2,"I",0
1314047,222469,41,"122.8204377066",2,"I",0
1314048,222469,6899,"531.678923971275",2,"I",0
1314055,222471,10,"86.3364270369234",2,"I",0
1314056,222471,305,"1.379805911549",2,"I",0
1314057,222471,387,"1.2418253203941",2,"I",0
1314058,222471,6931,"3.94230260442572",2,"I",0
1314059,222471,880,"7.0961446879663",2,"I",0
1314060,222471,24,"38.013652863175",2,"I",0
1314061,222471,115,"21.3869916290096",2,"I",0
1314062,222471,28,"70.961446879663",2,"I",0
1314063,222471,338,"526.455089795011",2,"I",0
1314064,222471,117,"42.8725408231298",2,"I",0
1314065,222471,1167,"131.613772448753",2,"I",0
1314066,222472,10,"88.1740117545819",2,"I",0
1314067,222472,25,"3.2464067964187",2,"I",0
1314068,222472,386,"5.61107347529158",2,"I",0
1314069,222472,312,"125.447571269019",2,"I",0
1314070,222472,305,"107.211582474321",2,"I",0
1314071,222472,15,"764.809354230368",2,"I",0
1314072,222473,223275,"5.87213114754098",0,"I",0
1314073,222473,6910,"6.0896174863388",0,"I",0
1314074,222473,6914,"136.146448087432",0,"I",0
1314075,222473,6925,"116.355191256831",0,"I",0
1314076,222473,6894,"830.036612021858",0,"I",0
1314077,222474,10,"87.9054082827638",2,"I",0
1314078,222474,25,"3.96927499201533",2,"I",0
1314079,222474,15,"1037.92531672522",2,"I",0
1314080,222475,10,"86.5984631302136",2,"I",0
1314081,222475,25,"4.86930786972172",2,"I",0
1314082,222475,1524,"51.6621688616817",2,"I",0
1314083,222475,880,"45.4270795163063",2,"I",0
1314084,222475,342,"52.7310413208889",2,"I",0
1314085,222475,465,"98.0789450994762",2,"I",0
1314086,222475,337,"111.152838790335",2,"I",0
1314087,222475,293,"409.289079171427",2,"I",0
1314088,222475,117,"58.49107623995",2,"I",0
1314089,222476,10,"91.2906596046618",2,"I",0
1314090,222476,15,"10.8505469701541",2,"I",0
1314091,222476,92,"16.1506218363447",2,"I",0
1314092,222476,25,"11.0800777714458",2,"I",0
1314093,222476,455,"22.5357513995508",2,"I",0
1314094,222476,27,"34.3252880113528",2,"I",0
1314095,222476,28,"112.344894014057",2,"I",0
1314096,222476,338,"462.400232420413",2,"I",0
1314097,222476,117,"57.121869866917",2,"I",0
1314098,222476,1167,"115.600058105103",2,"I",0
1314099,222477,10,"73.8336682154967",2,"I",0
1314100,222477,338,"3.71277874455069",2,"I",0
1314101,222477,341,"29.3647046159918",2,"I",0
1314102,222477,1386,"48.266123679159",2,"I",0
1314103,222477,455,"81.2592257045981",2,"I",0
1314104,222477,337,"135.609243644714",2,"I",0
1314105,222477,25,"106.472368633501",2,"I",0
1314106,222477,24,"461.253692075851",2,"I",0
1314107,222477,1167,"0.928194686137672",2,"I",0
1314108,222478,10,"77.7139737592281",2,"I",0
1314109,222478,465,"7.83371098603903",2,"I",0
1314110,222478,880,"8.81292485929391",2,"I",0
1314111,222478,115,"30.3556300709012",2,"I",0
1314112,222478,1163,"49.8508880929757",2,"I",0
1314113,222478,25,"36.9608727432205",2,"I",0
1314114,222478,1385,"234.877800416636",2,"I",0
1314115,222478,1386,"505.86188692347",2,"I",0
1314116,222478,117,"22.0323121482348",2,"I",0
1314117,222479,10,"121.187347293117",2,"I",0
1314118,222479,92,"29.8938055077401",2,"I",0
1314119,222479,2536,"55.4515499655431",2,"I",0
1314120,222479,413,"47.9190336544342",2,"I",0
1314121,222479,62,"110.903099931086",2,"I",0
1314122,222479,25,"548.511722817056",2,"I",0
1314123,222479,1165,"1.19797584136086",2,"I",0
1314124,222479,24,"16.6354649896629",2,"I",0
1314125,222480,10,"41.8744749209263",2,"I",0
1314126,222480,25,"0.8860810392824",2,"I",0
1314127,222480,463,"161.257221396286",2,"I",0
1314128,222480,459,"750.882222643505",2,"I",0
1314129,222481,223275,"3.41429065743945",0,"I",0
1314130,222481,6916,"372.818512110727",0,"I",0
1314131,222481,6928,"578.667197231834",0,"I",0
1314132,222482,1088373,"707.632414664981",2,"I",0
1314133,222482,1088378,"5.75949431099874",2,"I",0
1314134,222482,1088348,"12.9588621997472",2,"I",0
1314135,222482,1088375,"34.6878634639697",2,"I",0
1314136,222482,1088370,"274.361365360303",2,"I",0
1314137,222483,10,"93.2999538426033",2,"I",0
1314138,222483,880,"6.72528271405493",2,"I",0
1314139,222483,27,"5.52967689822294",2,"I",0
1314140,222483,24,"26.9758562197092",2,"I",0
1314141,222483,1163,"18.5745903531041",2,"I",0
1314142,222483,338,"315.810736210478",2,"I",0
1314143,222483,28,"341.601661666282",2,"I",0
1314144,222483,117,"37.6295580429264",2,"I",0
1314145,222483,1167,"78.9526840526194",2,"I",0
1314146,222484,10,"82.5561913805034",2,"I",0
1314147,222484,25,"2.55036289161738",2,"I",0
1314148,222484,455,"11.2641027713101",2,"I",0
1314149,222484,27,"28.4979438667024",2,"I",0
1314150,222484,116,"149.337915986929",2,"I",0
1314151,222484,338,"177.958655103968",2,"I",0
1314152,222484,3386,"289.702332910759",2,"I",0
1314153,222484,117,"118.875248114832",2,"I",0
1314154,222484,1167,"74.3572469733778",2,"I",0
1314155,222485,10,"95.1757648289317",2,"I",0
1314156,222485,25,"137.977727940141",2,"I",0
1314157,222485,15,"845.946507230927",2,"I",0
1314158,222486,10,"88.4714901564757",2,"I",0
1314159,222486,494,"43.9826801750443",2,"I",0
1314160,222486,342,"129.731191973157",2,"I",0
1314161,222486,337,"231.270953730549",2,"I",0
1314162,222486,293,"198.332025930873",2,"I",0
1314163,222486,789,"240.411658033901",2,"I",0
1314164,222487,10,"91.2007788981277",2,"I",0
1314165,222487,62,"3.74797721499155",2,"I",0
1314166,222487,25,"2.99838177199324",2,"I",0
1314167,222487,27,"36.0014033595577",2,"I",0
1314168,222487,115,"79.9568472531531",2,"I",0
1314169,222487,28,"131.762221202592",2,"I",0
1314170,222487,338,"438.596622536567",2,"I",0
1314171,222487,117,"36.3866121288763",2,"I",0
1314172,222487,1167,"109.649155634142",2,"I",0
1314173,222488,10,"94.1066496014893",2,"I",0
1314174,222488,465,"6.67575775205073",2,"I",0
1314175,222488,25,"7.42947233695968",2,"I",0
1314176,222488,880,"22.3960905230089",2,"I",0
1314177,222488,387,"77.7187410553261",2,"I",0
1314178,222488,338,"270.820417709",2,"I",0
1314179,222488,28,"314.751210657979",2,"I",0
1314180,222488,117,"63.7965559369364",2,"I",0
1314181,222488,1167,"67.70510442725",2,"I",0
