"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
350542,87734,10,"1",2,"I",0
475117,185976,1088362,"514.698998418556",2,"I",0
475118,185976,1088367,"26.3152345809172",2,"I",0
475119,185976,1088368,"87.4475487612019",2,"I",0
475120,185976,1088366,"101.482340537691",2,"I",0
475121,185976,1088356,"294.055877701634",2,"I",0
475122,105596,10,"97.0011580430266",2,"I",0
475123,105596,62,"159.335235548339",2,"I",0
475124,105596,6899,"204.224660347174",2,"I",0
475125,105596,25,"155.13518540627",2,"I",0
475126,105596,386,"315.003760655189",2,"I",0
475127,378,6896,"158.24",2,"I",0
475128,378,6900,"202.83",2,"I",0
475129,378,223275,"256.79",2,"I",0
475130,378,6910,"312.84",2,"I",0
475198,185964,1088377,"1109.34221891288",2,"I",0
475199,185964,1088371,"11.4672871680318",2,"I",0
475200,185964,1088362,"29.3751054852321",2,"I",0
475201,185964,1088368,"115.615388433855",2,"I",0
475202,185969,1088377,"1080.76758887439",2,"I",0
475203,185969,1088371,"13.4606824972046",2,"I",0
475204,185969,1088348,"38.816851852404",2,"I",0
475205,185969,1088368,"126.780846775997",2,"I",0
475206,103284,10,"86.1563065565252",2,"I",0
475207,103284,24,"40.2226871181035",2,"I",0
475208,103284,92,"19.5845592846776",2,"I",0
475209,103284,62,"105.061461823786",2,"I",0
475210,103284,15,"847.974985216908",2,"I",0
475211,103285,6898,"23.3598615916955",0,"I",0
475212,103285,6897,"24.0117647058824",0,"I",0
475213,103285,6896,"115.930103806228",0,"I",0
475214,103285,6894,"935.698269896194",0,"I",0
475215,21670,10,"85.957501817888",2,"I",0
475216,21670,24,"40.2218092698823",2,"I",0
475217,21670,92,"19.6727478387331",2,"I",0
475218,21670,62,"104.763782284345",2,"I",0
475219,21670,15,"846.184158789152",2,"I",0
475220,379,6898,"23.36",2,"I",0
475221,379,6897,"24.12",2,"I",0
475222,379,6896,"115.6",2,"I",0
475223,379,6894,"933.72",2,"I",0
475237,186001,1088362,"441.877101185109",2,"I",0
475238,186001,1088360,"21.438020868221",2,"I",0
475239,186001,1088353,"74.4689145948731",2,"I",0
475240,186001,1088359,"128.205006376401",2,"I",0
475241,186001,1088377,"428.901456975396",2,"I",0
475248,381,6906,"53.38",2,"I",0
475249,381,6908,"60.71",2,"I",0
475250,381,6907,"68.91",2,"I",0
475251,381,223275,"323.46",2,"I",0
475252,381,6894,"511.83",2,"I",0
475257,21673,10,"92.6892832722074",2,"I",0
475258,21673,14,"1.38876111145646",2,"I",0
475259,21673,41,"77.9599987567601",2,"I",0
475260,21673,15,"153.500186485982",2,"I",0
475261,21673,312,"313.102505128365",2,"I",0
475262,21673,6899,"376.859265245229",2,"I",0
475263,382,6905,"2.75",2,"I",0
475264,382,6898,"9.27",2,"I",0
475265,382,6894,"182.62",2,"I",0
475266,382,6914,"372.5",2,"I",0
475267,382,6900,"448.35",2,"I",0
475273,383,6898,"6.33",2,"I",0
475274,383,6908,"34.25",2,"I",0
475275,383,6923,"48.31",2,"I",0
475276,383,6927,"95.32",2,"I",0
475277,383,6907,"105.46",2,"I",0
475278,383,6894,"768.33",2,"I",0
475291,103307,6925,"1.7",0,"I",0
