"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
186601,-1,-1,,,,,"LS",77,"S1","OCHREOUS RED","2004 - 2004","","0","A011","-8776164",,"",1,"U",,,,,,,,0,"1",,,"-7131136:70.84;-12182489:6.3;-526345:11.07;-16645630:11.79;",,,,,,,,,
186602,-1,-1,,,,,"LS",77,"S1","DARK BLUE","2004 - 2004","","0","A012","-13487332",,"",1,"U",,,,,,,,0,"1",,,"-16769491:85.1;-4291572:14.9;",,,,,,,,,
186603,-1,-1,,,,,"LS",77,"S1","PURE BLACK","2004 - 2004","","0","A002","-11194876",,"",1,"U",,,,,,,,0,"1",,,"-526345:0.77;-4291572:1.45;-16645630:97.78;",,,,,,,,,
186604,-1,-1,,,,,"LS",77,"S1","PEARL WHITE","2004 - 2009","","0","A008","-13218532",,"",1,"U",,,,,,,,0,"1",,,"-15987700:1.45;-16738485:0.13;-1:98.42;",,,,,,,,,
186605,-1,-1,,,,,"LS",77,"S1","CHERRY RED","2006 - 2009","","0","A022","-10415598",,"",1,"U",,,,,,,,0,"1",,,"-526345:15.17;-2669056:10.46;-15987700:2.64;-6747345:71.72;",,,,,,,,,
186607,-1,-1,,,,,"LS",77,"S1","COKE YELLOW","2007 - 2010","","0","A021","-5325267",,"",1,"U",,,,,,,,0,"1",,,"-1:16.13;-16738485:1.64;-70098:82.23;",,,,,,,,,
186608,-1,-1,,,,,"LS",77,"S1","ICE SNOW WHITE","2008 - 2015","","0","A028","-13218532",,"",1,"U",,,,,,,,0,"1","18:5:2016:15:32:30",,"-15987700:58.7;-16738485:28.46;-4291572:12.84;",,,,,,,,,
186609,-1,-1,,,,,"LS",77,"S1","FLAME RED","2008 - 2009","","0","A031","-3210484",,"",1,"U",,,,,,,,0,"1",,,"-65536:12;-6747345:66.48;-1:21.52;",,,,,,,,,
186610,-1,-1,,,,,"LS",77,"S1","TIANSHI WHITE SOLID","2010 - 2010","","0","-","-9344434",,"",0,"I",,,,,,,,0,"1",,,"-14451970:26.58;-14408668:50.75;-4291572:22.66;",,,,,,,,,
222420,-1,-1,,,,,"BC",77,"S1","ATELASI BROWN PEARL","2011 - 2015","","","A041","-986896",,"",0,"I",,,,,,,,0,"1",,,"-235:0.3;-2336767:3.1;-1516057:3.76;-17617:5.27;-460552:8.37;-658244:39.28;-16777216:39.94;",,,,,,,,,
222421,-1,-1,,,,,"BC",77,"S1","BINGSHAN SILVER MET","2014 - 2015","","","B09","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16777216:1.39;-1907998:32.91;-4144960:65.7;",,,,,,,,,
222422,-1,-1,,,,,"BC",77,"S1","BRILLIANCE BLACK PEARL MET","2004 - 2015","","","A001","-986896",,"",0,"I",,,,,,,,0,"1",,,"-14942153:2.78;-2236963:7.03;-16767426:11.37;-2628353:10.25;-16777216:37.95;-16777216:30.36;-792321:0.26;",,,,,,,,,
222423,-1,-1,,,,,"BC",77,"S1","CHERRY RED","2006 - 2009","","","A022","-986896",,"",0,"I",,,,,,,,0,"1",,,"-8320469:31.82;-3801088:60.89;-16777216:1.43;-460552:5.87;",,,,,,,,,
222424,-1,-1,,,,,"2K",77,"S1","CHERRY RED","2006 - 2009","","","A022","-986896",,"",0,"I",,,,,,,,0,"1",,,,,,,,,,,,
222425,-1,-1,,,,,"BC",77,"S1*","COKE YELLOW (Sous-Couche)","2007 - 2010","","","A021","-986896",,"",0,"I",,,,,,,,0,"1",,,"-1:100;",,,,,,,,,
222426,-1,-1,,,,,"BC",77,"S1","COKE YELLOW (Couche)","2007 - 2010","","","A021","-986896",,"",0,"I",,,,,,,,0,"1",,,"-1:32.69;-205036:32.05;-235:21.37;-11709141:13.88;",,,,,,,,,
222427,-1,-1,,,,,"BC",77,"S1","DARK GREEN PEARL","2004 - 2004","","","A005","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16765184:44.67;-16767426:19.95;-16777216:29.91;-3085363:5.47;",,,,,,,,,
222428,-1,-1,,,,,"BC",77,"S1","DARK NIGHT PEARL MET","2007 - 2015","","","A80","-986896",,"",0,"I",,,,,,,,0,"1",,,"-14942153:2.35;-792321:0.01;-16777216:86.85;-7981310:4.52;-16767426:5.02;-1315861:0.72;-2628353:0.27;-1447445:0.26;",,,,,,,,,
222429,-1,-1,,,,,"BC",77,"S1*","FLAME RED (Sous-Couche)","2008 - 2009","","","A031","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16777216:0.38;-1:99.62;",,,,,,,,,
222430,-1,-1,,,,,"BC",77,"S1","FLAME RED (Couche)","2008 - 2009","","","A031","-986896",,"",0,"I",,,,,,,,0,"1",,,"-3801088:84.13;-8320469:5.43;-9890257:10.44;",,,,,,,,,
222431,-1,-1,,,,,"BC",77,"S1","GANLAN GREEN MET","2011 - 2015","","","A99","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16777216:56.84;-16761826:11.63;-460552:8.49;-3801088:3.44;-16767426:19.6;",,,,,,,,,
222432,-1,-1,,,,,"BC",77,"S1","GEM GREY PEARL MET","2006 - 2014","","","A017","-986896",,"",0,"I",,,,,,,,0,"1",,,"-1907998:1.1;-792321:0.65;-2628353:25.81;-16777152:13.82;-460552:9.49;-2368549:5.52;-14942153:2.22;-3801088:1.01;-4144960:40.37;",,,,,,,,,
222433,-1,-1,,,,,"BC",77,"S1","GREEN MET","2004 - 2004","","","A009","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16768993:16.12;-4144960:72.4;-16777216:5.7;-16771281:0.58;-16765184:5.2;",,,,,,,,,
222434,-1,-1,,,,,"BC",77,"S1","GREY SILVER PEARL MET","2004 - 2004","","","A010","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16777216:24.42;-16777216:40.57;-4144960:16.08;-14942153:7.57;-16767426:6.91;-1907998:4.45;",,,,,,,,,
222435,-1,-1,,,,,"BC",77,"S1","HORIZON BLUE PEARL","2006 - 2009","","","A019","-986896",,"",0,"I",,,,,,,,0,"1",,,"-2628353:35.04;-792321:0.88;-16767426:19.1;-16777216:6.88;-16768993:16.18;-9890257:6.75;-460552:3.65;-16777216:11.52;",,,,,,,,,
222436,-1,-1,,,,,"BC",77,"S1","ICE SNOW WHITE","2008 - 2015","","","A028","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16777216:1.09;-1401344:8.68;-1:89.31;-8388608:0.93;",,,,,,,,,
222437,-1,-1,,,,,"2K",77,"S1","ICE SNOW WHITE","2008 - 2015","","","A028","-986896",,"",0,"I",,,,,,,,0,"1",,,,,,,,,,,,
222438,-1,-1,,,,,"BC",77,"S1","IRON SILVER GREY MET","2008 - 2015","","","A032","-986896",,"",0,"I",,,,,,,,0,"1",,,"-2697514:49.17;-1315861:37.57;-16777216:11.13;-3085363:1.3;-7981310:0.83;",,,,,,,,,
