"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
932,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",6,"S1","XIANGYU VIOLET","2004 - 2006","","0","2021","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
933,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",6,"S1","LEMON YELLOW","2009 - 2009","","0","EF","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
23518,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",6,"S1","QIANG RED PEARL (Couche)","2004 - 2009","","0","2015","-5496794","","",0,"0",,,,,,,,,"1",,,"-4653056:9.27;-3801088:26.52;-2151168:21.7;-8320469:42.52;",,,,,,,,,
23522,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",6,"S1","XIANGYU VIOLET","2004 - 2006","","0","2021","-4553332","","",0,"0",,,,,,,,,"1",,,"-12582912:4.15;-1:85.04;-9890257:10.82;",,,,,,,,,
23526,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",6,"S1","APRICOT YELLOW PEARL MET","2003 - 2015","","0","ED - 4004  ED","-3290944","","",0,"0",,,,,,,,,"1",,,"-16761826:0.23;-17617:4.37;-2368549:29.09;-4144960:48.9;-1907998:7.27;-41969:10.15;",,,,,,,,,
23527,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",6,"S1","LEMON YELLOW","2009 - 2009","","0","EF","-1911668","","",0,"0",,,,,,,,,"1",,,"-13092808:4.09;-4227838:2.4;-1:73.82;-235:19.69;",,,,,,,,,
23529,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",6,"S1","JAZZ BLUE PEARL MET","2004 - 2006","","0","5005","-11050372","","",0,"0",,,,,,,,,"1",,,"-2628353:49.12;-16771281:25.83;-1:8.37;-14942153:12.38;-792321:4.3;",,,,,,,,,
23534,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",6,"S1","ELEGANCE GREEN PEARL MET","2004 - 2015","","0","FN - 6007  FN","-3354933","","",0,"0",,,,,,,,,"1",,,"-4144960:30.33;-11709141:11.13;-2368549:34.98;-16768993:4.92;-460552:6.46;-1907998:8.74;-16761826:3.45;",,,,,,,,,
23538,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",6,"S1","YIN YUE FEN PEARL MET","2009 - 2009","","0","DE","-2305582","","",0,"0",,,,,,,,,"1",,,"-61681:11.85;-1315861:22.77;-1907998:7.35;-4144960:16.12;-2368549:29.4;-460552:5.05;-3801088:0.87;-9890257:6.58;",,,,,,,,,
23540,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",6,"S1","JADE BLUE PEARL MET","2006 - 2009","","0","GE - GE","-3355443","","",0,"0",,,,,,,,,"1",,,"-4144960:63.41;-1513767:15.76;-1907998:7.82;-16767426:5.75;-14942153:3.45;-16777216:3.03;-9890257:0.79;",,,,,,,,,
23553,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",6,"S1","CLEAR BLUE PEARL MET","2010 - 2017","","0","VD","-7169372","","",0,"0",,,,,,,,,"1",,,"-16767426:17.83;-4144960:35.04;-2628353:12.96;-9890257:6.97;-16777216:12.3;-792321:5.16;-460552:9.75;",,,,,,,,,
87736,-1,-1,,,,,"BC",6,"S1","Special Color"," - ","","0","-","-2830136",,"",0,"I",,,,,,,,,"1",,,,,,,,,,,,
103517,-1,-1,,,,,"BC",6,"S1","CHARM GOLD PEARL (Couche)","2011 - 2017","","0","ND","-986896",,"",0,"I",,,,,,,,,"1",,,"-2151168:33.3;-1907998:0.83;-2649856:62.55;-2368549:3.33;",,,,,,,,,
103518,-1,-1,,,,,"BC",6,"S1","CLEAR BLUE MET","2013 - 2013","","0","314","-986896",,"",0,"I",,,,,,,,,"1",,,"-9890257:1.16;-16777216:9.56;-460552:9.67;-1516057:10.45;-16767426:12.18;-1907998:7.74;-4408132:29.02;-16777152:20.22;",,,,,,,,,
103519,-1,-1,,,,,"BC",6,"S1","CROWN GOLD PEARL MET","2011 - 2014","","0","EK","-986896",,"",0,"I",,,,,,,,,"1",,,"-2368549:22.42;-4144960:35.49;-1:1.41;-1516057:4.62;-41969:27.24;-13691136:1.51;-11709141:1.71;-1907998:5.6;",,,,,,,,,
103527,-1,-1,,,,,"2K",6,"S1","INK BLACK","2009 - 2017","","0","CE","-986896",,"",0,"I",,,,,,,,,"1",,,,,,,,,,,,
103529,-1,-1,,,,,"2K",6,"S2","INK BLACK","2009 - 2017","Y","0","CE","-986896",,"",0,"I",,,,,,,,,"1",,,,,,,,,,,,
