"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
934,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",7,"S1","BLACK","2004 - 2004","","0","040","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
935,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",7,"S2","BLACK","2004 - 2004","","0","040","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
936,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",7,"S3","BLACK","2004 - 2004","","0","040","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
937,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",7,"S1","BLACK (+ Lacquer)","1990 - 1990","","0","0X3 - VAH50X3","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
938,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",7,"S1","BLACK","1950 - 1953","","0","1","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
939,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",7,"S1","SUMAC RED (Couche)","1946 - 1947","","0","10 - 41Y51","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
941,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",7,"S1","POLAR WHITE","1971 - 1973","","0","108","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
942,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",7,"S1","LIMOUSINE BLUE NO. 3","1936 - 1936","","0","125 - 125","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
943,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",7,"S1","BLACK","1942 - 1948","","0","15","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
944,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",7,"S1","PRAIRIE WIND","1973 - 1973","","0","157","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
945,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",7,"S1","PALM BEACH GREY NO. 2","1936 - 1936","","0","169 - 169","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
946,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",7,"S1","CLASSIC YELLOW","2003 - 2005","","0","1695","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
947,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",7,"S1","SUMAC RED (Couche)","1942 - 1948","","0","17 - 41Y51","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
949,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",7,"S1","NEWPORT BLUE","1940 - 1940","","0","200 - 39J22","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
