"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
552,1827,6909,"5.73",2,"U",0
553,1827,6920,"20.72",2,"U",0
554,1827,6894,"59.86",2,"U",0
555,1827,6896,"75.95",2,"U",0
556,1827,6897,"95.57",2,"U",0
557,1827,6898,"683.77",2,"U",0
25561,24617,10,"87.4",2,"U",0
25562,24617,880,"8.2",2,"U",0
25563,24617,1162,"9.2",2,"U",0
25564,24617,24,"11.2",2,"U",0
25565,24617,92,"54.2",2,"U",0
25566,24617,337,"93.2",2,"U",0
25567,24617,1167,"117.6",2,"U",0
25568,24617,465,"502.3",2,"U",0
25569,24617,117,"40.9",2,"U",0
25612,25595,10,"87.4",2,"U",0
25613,25595,880,"8.2",2,"U",0
25614,25595,1162,"9.2",2,"U",0
25615,25595,24,"11.2",2,"U",0
25616,25595,92,"54.2",2,"U",0
25617,25595,337,"93.2",2,"U",0
25618,25595,1167,"117.6",2,"U",0
25619,25595,465,"502.3",2,"U",0
25620,25595,117,"40.9",2,"U",0
25640,26080,10,"87.6",2,"U",0
25641,26080,906,"41.3",2,"U",0
25642,26080,1386,"82.6",2,"U",0
25643,26080,340,"677.6",2,"U",0
25644,26080,117,"24.8",2,"U",0
25645,26084,10,"87.7",2,"U",0
25646,26084,14,"6",2,"U",0
25647,26084,62,"15.3",2,"U",0
25648,26084,28,"74.6",2,"U",0
25649,26084,15,"924.5",2,"U",0
25704,26786,10,"88.1",2,"U",0
25705,26786,305,"9.2",2,"U",0
25706,26786,338,"13.2",2,"U",0
25707,26786,115,"17.3",2,"U",0
25708,26786,2275,"45.9",2,"U",0
25709,26786,23,"58.1",2,"U",0
25710,26786,1524,"133.9",2,"U",0
25711,26786,340,"539.1",2,"U",0
25712,26786,117,"40.7",2,"U",0
25713,26787,10,"88.3",2,"U",0
25714,26787,789,"3.1",2,"U",0
25715,26787,115,"22.9",2,"U",0
25716,26787,1167,"27.1",2,"U",0
25717,26787,1524,"72.8",2,"U",0
25718,26787,23,"79.1",2,"U",0
25719,26787,2275,"87.4",2,"U",0
25720,26787,340,"480.8",2,"U",0
25721,26787,117,"85.3",2,"U",0
25727,26796,10,"87.3",2,"U",0
25728,26796,880,"15.2",2,"U",0
25729,26796,336,"29.3",2,"U",0
25730,26796,387,"50.7",2,"U",0
25731,26796,342,"58.4",2,"U",0
25732,26796,1385,"69.9",2,"U",0
25733,26796,906,"146",2,"U",0
25734,26796,413,"184",2,"U",0
25735,26796,1163,"232.3",2,"U",0
25736,26796,117,"76.2",2,"U",0
25737,26819,10,"87.4",2,"U",0
25738,26819,369,"5.2",2,"U",0
25739,26819,465,"18.8",2,"U",0
25740,26819,15,"54.3",2,"U",0
25741,26819,62,"68.9",2,"U",0
25742,26819,92,"86.7",2,"U",0
25743,26819,24,"620.3",2,"U",0
123270,107615,10,"88.6064215456034",2,"I",0
123271,107615,25,"86.9488529045615",2,"I",0
123272,107615,15,"936.044725549835",2,"I",0
123627,108488,10,"88.6064215456034",2,"I",0
123628,108488,25,"86.9488529045615",2,"I",0
123629,108488,15,"936.044725549835",2,"I",0
123758,108837,10,"87.7271615207711",2,"I",0
123759,108837,24,"4.9071129161162",2,"I",0
123760,108837,25,"7.57598147151408",2,"I",0
123761,108837,11,"19.3280161798046",2,"I",0
123762,108837,115,"35.6516775130075",2,"I",0
123763,108837,455,"43.8635807603856",2,"I",0
123764,108837,62,"58.9855001549477",2,"I",0
123765,108837,116,"170.046484317659",2,"I",0
123766,108837,28,"455.259904421719",2,"I",0
123767,108837,117,"37.6545807440753",2,"I",0
123768,108840,10,"87.809866119376",2,"I",0
123769,108840,1165,"10.5492402088495",2,"I",0
123770,108840,25,"25.1071916970619",2,"I",0
123771,108840,342,"41.0918023373281",2,"I",0
123772,108840,115,"49.4307255500378",2,"I",0
123773,108840,387,"69.5245164240368",2,"I",0
123774,108840,1385,"162.156892353173",2,"I",0
123775,108840,1163,"195.813992067121",2,"I",0
123776,108840,906,"273.777900658238",2,"I",0
123777,108840,117,"29.5378725847787",2,"I",0
123778,108841,10,"87.5750380517504",2,"I",0
123779,108841,341,"12.525034046303",2,"I",0
123780,108841,25,"10.6462789393575",2,"I",0
123781,108841,342,"41.7835135784667",2,"I",0
123782,108841,387,"51.1021389089161",2,"I",0
123783,108841,1385,"52.2043419049908",2,"I",0
123784,108841,1163,"246.192069214131",2,"I",0
123785,108841,906,"321.342273491949",2,"I",0
123786,108841,117,"114.729311864135",2,"I",0
123787,108842,10,"87.6313818296297",2,"I",0
123788,108842,24,"1.20042988807712",2,"I",0
123789,108842,25,"1.87066990892018",2,"I",0
123790,108842,27,"8.20293756852698",2,"I",0
123791,108842,880,"14.305122832919",2,"I",0
123792,108842,28,"336.320440309606",2,"I",0
123793,108842,338,"447.560276604753",2,"I",0
123794,108842,117,"24.4087410575681",2,"I",0
123795,108845,10,"91.9407050383904",2,"I",0
123796,108845,369,"4.31300790225859",2,"I",0
123797,108845,880,"8.83640643389565",2,"I",0
123798,108845,906,"10.9403127276803",2,"I",0
123799,108845,1163,"37.2391413999888",2,"I",0
123800,108845,1165,"68.9029311214482",2,"I",0
123801,108845,338,"176.202152104467",2,"I",0
123802,108845,340,"205.762035532141",2,"I",0
123803,108845,25,"276.295494031273",2,"I",0
123804,108845,117,"58.0678137084571",2,"I",0
123805,108846,10,"92.4625292149379",2,"I",0
123806,108846,369,"4.31281421821667",2,"I",0
123807,108846,880,"8.83600961780976",2,"I",0
123808,108846,906,"10.939821431574",2,"I",0
123809,108846,1163,"37.2374691036269",2,"I",0
123810,108846,1165,"68.8998369007785",2,"I",0
123811,108846,338,"176.089048812066",2,"I",0
123812,108846,340,"205.647604795453",2,"I",0
123813,108846,25,"276.014850436332",2,"I",0
123814,108846,117,"57.9600154692045",2,"I",0
123815,108849,10,"91.9407050383904",2,"I",0
123816,108849,369,"4.31300790225859",2,"I",0
123817,108849,880,"8.83640643389565",2,"I",0
123818,108849,906,"10.9403127276803",2,"I",0
123819,108849,1163,"37.2391413999888",2,"I",0
123820,108849,1165,"68.9029311214482",2,"I",0
123821,108849,338,"176.202152104467",2,"I",0
123822,108849,340,"205.762035532141",2,"I",0
123823,108849,25,"276.295494031273",2,"I",0
123824,108849,117,"58.0678137084571",2,"I",0
123825,108850,10,"92.4625292149379",2,"I",0
123826,108850,369,"4.31281421821667",2,"I",0
123827,108850,880,"8.83600961780976",2,"I",0
123828,108850,906,"10.939821431574",2,"I",0
123829,108850,1163,"37.2374691036269",2,"I",0
123830,108850,1165,"68.8998369007785",2,"I",0
123831,108850,338,"176.089048812066",2,"I",0
123832,108850,340,"205.647604795453",2,"I",0
123833,108850,25,"276.014850436332",2,"I",0
123834,108850,117,"57.9600154692045",2,"I",0
123835,108851,10,"88.9821344060577",2,"I",0
123836,108851,92,"64.7513014671084",2,"I",0
123837,108851,25,"105.923355418836",2,"I",0
123838,108851,62,"189.468823946995",2,"I",0
123839,108851,15,"483.496746332229",2,"I",0
123840,108851,117,"99.9776384287742",2,"I",0
123841,108852,10,"89.9584599272064",2,"I",0
123842,108852,92,"78.0188931634124",2,"I",0
123843,108852,25,"164.6528013107",2,"I",0
123844,108852,62,"219.33807563487",2,"I",0
123845,108852,15,"270.081234380995",2,"I",0
123846,108852,117,"170.550535582816",2,"I",0
123847,108853,10,"90.4489387931896",2,"I",0
123848,108853,15,"6.10582081098191",2,"I",0
123849,108853,92,"43.7756305600906",2,"I",0
123850,108853,386,"44.8105154433079",2,"I",0
123851,108853,1174,"45.7419118382034",2,"I",0
123852,108853,116,"59.0919268317063",2,"I",0
123853,108853,24,"118.701296105021",2,"I",0
123854,108853,780,"128.22223703062",2,"I",0
123855,108853,25,"184.199160363842",2,"I",0
123856,108853,117,"210.702562223037",2,"I",0
123857,108854,10,"88.1908764096587",2,"I",0
123858,108854,2335,"8.16395541620841",2,"I",0
123859,108854,880,"14.211329798585",2,"I",0
123860,108854,115,"15.2192255289811",2,"I",0
123861,108854,24,"26.5076577094174",2,"I",0
123862,108854,455,"34.5708235525862",2,"I",0
123863,108854,25,"41.2078169372445",2,"I",0
123864,108854,338,"143.221983289286",2,"I",0
123865,108854,28,"513.119716344654",2,"I",0
123866,108854,117,"36.5866150133784",2,"I",0
123867,108855,10,"88.1326934704572",2,"I",0
123868,108855,2335,"3.12598798350592",2,"I",0
123869,108855,880,"14.4198800529467",2,"I",0
123870,108855,455,"33.0749696319336",2,"I",0
123871,108855,115,"49.6124544479004",2,"I",0
123872,108855,25,"43.9705503292824",2,"I",0
123873,108855,28,"269.641673157898",2,"I",0
123874,108855,338,"310.985385197815",2,"I",0
123875,108855,117,"112.636405728262",2,"I",0
123876,108856,10,"88.3168384014709",2,"I",0
123877,108856,2335,"3.03147042567978",2,"I",0
123878,108856,880,"9.19546029122866",2,"I",0
123879,108856,455,"31.8304394696377",2,"I",0
123880,108856,25,"54.8847720569324",2,"I",0
123881,108856,115,"114.892729133264",2,"I",0
123882,108856,28,"290.111719737555",2,"I",0
123883,108856,338,"290.111719737555",2,"I",0
123884,108856,117,"40.924850746677",2,"I",0
