"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
1828,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","JAUNE AMBULANCE ALGERIE","1994 - 1994","","0","006","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1830,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S2","VERT LA REDOUTE","1987 - 1998","DRT","0","029F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1831,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","BEIGE MESSAGER","1987 - 1998","","0","035F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1832,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","BEIGE ARISTOCRAT","1987 - 1990","","0","036F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1833,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","BIANCO CIGNO","1995 - 1998","","0","058","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1834,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S2","BLU ACCIAIO","2011 - 2011","R","0","089","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1835,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","ROUGE POMPIERS (Couche)","1980 - 1997","","0","107F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1837,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","ROUGE CHERRY","1990 - 1998","","0","123F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1838,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","ROUGE SANGRO","1981 - 1990","","0","149F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1839,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S2","ROUGE SANGRO","1981 - 1990","D+R","0","149F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1840,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S3","ROUGE SANGRO","1981 - 1990","R","0","149F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1841,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S4","ROUGE SANGRO","1981 - 1990","R+D","0","149F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1842,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","ROUGE SANGRO","1990 - 1990","","0","150F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1843,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S2","ROUGE SANGRO","1990 - 1990","Y","0","150F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1844,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","COQ DE ROCHE","1995 - 1998","","0","152A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1845,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","ROUGE BRILLANT (Couche)","1994 - 2000","","0","172","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1846,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S2","ROUGE BRILLANT (Couche)","1994 - 2000","D+Y","0","172","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1849,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","ROUGE ALPINE (Couche)","2010 - 2010","","0","178","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1850,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S2","ROUGE ALPINE (Couche)","2010 - 2010","L","0","178","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1853,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","ROUGE TIZIANO (Couche)","2000 - 2015","","0","199A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1854,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S2","ROUGE TIZIANO (Couche)","2000 - 2015","D+R","0","199A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1855,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S3","ROUGE TIZIANO (Couche)","2000 - 2015","R","0","199A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1859,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","ROUGE ADEN","2004 - 2017","","0","1N","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1860,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S2","ROUGE ADEN (Couche)","2004 - 2017","B","0","1N","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1861,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S3","ROUGE ADEN (Couche)","2004 - 2017","Y","0","1N","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1864,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","ROUGE TIZIANO (Couche)","1999 - 2015","","0","1X","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1865,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S2","ROUGE TIZIANO (Couche)","1999 - 2015","D+R","0","1X","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1866,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S3","ROUGE TIZIANO (Couche)","1999 - 2015","R","0","1X","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1870,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","JAUNE SERVICE CITROEN (Couche)","1983 - 1993","","0","206F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1871,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S2","JAUNE SERVICE CITROEN (Couche)","1983 - 1993","CL","0","206F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1872,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S3","JAUNE SERVICE CITROEN (Couche)","1983 - 1993","L","0","206F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1876,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","ORANGE PONTS ET CHAUSSEES (Couche)","1968 - 1998","","0","207F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1877,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S2","ORANGE PONTS ET CHAUSSEES (Couche)","1968 - 1998","L","0","207F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1878,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S3","ORANGE PONTS ET CHAUSSEES (Couche)","1968 - 1998","DRT","0","207F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1882,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","BLANC","1994 - 1997","","0","210","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1883,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S2","BLANC","1994 - 1997","R","0","210","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1884,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S3","BLANC","1994 - 1997","L+CL","0","210","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1885,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S4","BLANC","1994 - 1997","L","0","210","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1886,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","BEIGE TROPIC","1991 - 2000","","0","216F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1887,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S2","BEIGE TROPIC","1991 - 2000","Y","0","216F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1888,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S3","BEIGE TROPIC","1991 - 2000","D+Y","0","216F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1889,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S1","BLANC CORFOU","1979 - 1997","","0","224F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1890,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S2","BLANC CORFOU","1979 - 1997","L+R","0","224F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
1891,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",8,"S3","BLANC CORFOU","1979 - 1997","R+DRT","0","224F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
