"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
558,2920,6905,"13.85",2,"U",0
559,2920,6912,"25.72",2,"U",0
560,2920,6898,"9.6",2,"U",0
561,2920,6894,"1044.03",2,"U",0
562,2922,6912,"2.46",2,"U",0
563,2922,6905,"19.67",2,"U",0
564,2922,6898,"8.44",2,"U",0
565,2922,6894,"1055.93",2,"U",0
566,2988,6905,"13.85",2,"U",0
567,2988,6912,"25.72",2,"U",0
568,2988,6898,"9.6",2,"U",0
569,2988,6894,"1044.03",2,"U",0
570,2990,6912,"2.46",2,"U",0
571,2990,6905,"19.67",2,"U",0
572,2990,6898,"8.44",2,"U",0
573,2990,6894,"1055.93",2,"U",0
25860,29606,10,"85.1",2,"U",0
25861,29606,14,"14",2,"U",0
25862,29606,32,"59.4",2,"U",0
25863,29606,41,"73.7",2,"U",0
25864,29606,15,"846.8",2,"U",0
25865,29608,10,"87.4",2,"U",0
25866,29608,14,"11.2",2,"U",0
25867,29608,27,"20.8",2,"U",0
25868,29608,41,"129.4",2,"U",0
25869,29608,15,"844.4",2,"U",0
25870,29610,10,"89.6",2,"U",0
25871,29610,32,"32.5",2,"U",0
25872,29610,14,"15.6",2,"U",0
25873,29610,41,"111.5",2,"U",0
25874,29610,15,"837.3",2,"U",0
25875,29615,10,"87.4",2,"U",0
25876,29615,13,"1.9",2,"U",0
25877,29615,41,"5.5",2,"U",0
25878,29615,1385,"42.5",2,"U",0
25879,29615,340,"736.7",2,"U",0
25880,29615,117,"32.5",2,"U",0
25881,29616,10,"87.4",2,"U",0
25882,29616,906,"9.4",2,"U",0
25883,29616,1385,"104.4",2,"U",0
25884,29616,340,"670.9",2,"U",0
25885,29616,117,"41.1",2,"U",0
25886,29617,10,"74.1",2,"U",0
25887,29617,14,"14.1",2,"U",0
25888,29617,62,"23.7",2,"U",0
25889,29617,41,"166.1",2,"U",0
25890,29617,15,"800",2,"U",0
25891,29618,10,"85.6",2,"U",0
25892,29618,62,"42.7",2,"U",0
25893,29618,41,"171.1",2,"U",0
25894,29618,15,"785",2,"U",0
25972,29752,10,"107.7",2,"U",0
25973,29752,463,"15.5",2,"U",0
