"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
3004,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S1","PURE WHITE","1981 - 1987","","0","033","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3005,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S2","PURE WHITE","1981 - 1987","G","0","033","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3006,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S3","PURE WHITE","1981 - 1987","R","0","033","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3007,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S1","WHITE IMPULSE","1982 - 2002","","0","038","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3008,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S2","WHITE IMPULSE","1982 - 2002","L+Y","0","038","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3009,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S3","WHITE IMPULSE","1982 - 2002","Y","0","038","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3026,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S1","WHITE","1984 - 1992","","0","041","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3027,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S1","WHITE","1988 - 2003","","0","045","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3043,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S1","WHITE","2003 - 2003","","0","068","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3044,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S1","DARK GREY","1997 - 1997","","0","156S","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3045,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S1","BLACK","2004 - 2014","","0","202","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
3046,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S2","BLACK","2004 - 2014","L","0","202","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3047,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S3","BLACK","2004 - 2014","DRT+Y","0","202","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3048,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S4","BLACK","2004 - 2014","B","0","202","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3049,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S5","BLACK","2004 - 2014","D","0","202","0","","",0,"0",,,,,,,,,"0",,,,,,,,,,,,
3050,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S1","RED (Couche)","1995 - 2002","","0","391","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3052,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S1","ORANGE (Couche)","1984 - 1992","","0","3D3","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3054,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S1","RED","1984 - 2002","","0","3E7","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3055,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S2","RED","1984 - 2002","D","0","3E7","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3056,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S3","RED (Couche)","1984 - 2002","L+DRT","0","3E7","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3060,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S3","SUPER RED (Couche)","2008 - 2017","Y","0","3P0","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3061,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S4","SUPER RED (Couche)","2008 - 2017","L","0","3P0","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3062,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S5","SUPER RED (Couche)","2008 - 2017","CL+Y","0","3P0","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3068,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S1","GREY","2000 - 2003","","0","5177","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3069,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S1","RED","1995 - 2003","","0","5364","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3070,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S1","RED","2000 - 2003","","0","5391","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3071,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S1","YELLOW","1980 - 2011","","0","541","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3072,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",12,"S3","YELLOW","1980 - 2011","L+G","0","541","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
