"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
26461,30565,10,"71",2,"U",0
26462,30565,465,"11.6",2,"U",0
26463,30565,455,"7.8",2,"U",0
26464,30565,342,"23.4",2,"U",0
26465,30565,880,"36.3",2,"U",0
26466,30565,24,"24.7",2,"U",0
26467,30565,338,"324.8",2,"U",0
26468,30565,28,"401.2",2,"U",0
26469,30565,117,"17.8",2,"U",0
97276,96118,6903,"3.3",2,"I",0
97277,96118,6912,"6",2,"I",0
97278,96118,6898,"8.6",2,"I",0
97279,96118,6905,"14.6",2,"I",0
97280,96118,6894,"1057.5",2,"I",0
97281,96119,6898,"6.6",2,"I",0
97282,96119,6905,"8.3",2,"I",0
97283,96119,6912,"8.6",2,"I",0
97284,96119,6894,"1061.6",2,"I",0
97285,96121,6912,"3.7",2,"I",0
97286,96121,6903,"4.3",2,"I",0
97287,96121,6905,"16.8",2,"I",0
97288,96121,6898,"27.8",2,"I",0
97289,96121,6894,"1049.2",2,"I",0
97309,96125,6898,"20.3",2,"I",0
97310,96125,6896,"23.9",2,"I",0
97311,96125,6903,"41.3",2,"I",0
97312,96125,6894,"1002.5",2,"I",0
97313,96127,6912,"47.5",2,"I",0
97314,96127,6898,"68.1",2,"I",0
97315,96127,6905,"158.3",2,"I",0
97316,96127,6894,"796.2",2,"I",0
97317,96129,6910,"0.3",2,"I",0
97318,96129,6898,"7.1",2,"I",0
97319,96129,6903,"7.4",2,"I",0
97320,96129,6912,"25.2",2,"I",0
97321,96129,6905,"28.9",2,"I",0
97322,96129,6894,"1020.7",2,"I",0
97323,96131,6925,"3.3",2,"I",0
97324,96131,6903,"4.6",2,"I",0
97325,96131,6898,"19.1",2,"I",0
97326,96131,6896,"19.8",2,"I",0
97327,96131,6894,"1036.7",2,"I",0
97328,96133,6903,"3.3",2,"I",0
97329,96133,6898,"19.7",2,"I",0
97330,96133,6896,"27.6",2,"I",0
97331,96133,6894,"1039",2,"I",0
97332,96135,6898,"16.5",2,"I",0
97333,96135,6896,"30.4",2,"I",0
97334,96135,6894,"1038.9",2,"I",0
97335,96146,6898,"17.5",2,"I",0
97336,96146,6896,"18.2",2,"I",0
97337,96146,6905,"22.5",2,"I",0
97338,96146,6894,"1067.2",2,"I",0
97347,96150,10,"86.9",2,"I",0
97348,96150,6940,"0.7",2,"I",0
97349,96150,27,"8.3",2,"I",0
97415,96150,41,"18.6",2,"I",0
97416,96150,15,"1003.5",2,"I",0
97417,96152,10,"88.1",2,"I",0
97418,96152,1386,"105.5",2,"I",0
97419,96152,340,"645.4",2,"I",0
97420,96152,117,"77",2,"I",0
97421,96154,10,"79.2",2,"I",0
97422,96154,6940,"3",2,"I",0
97423,96154,41,"69.5",2,"I",0
97424,96154,32,"120.8",2,"I",0
97425,96154,15,"846",2,"I",0
97426,96155,10,"87.4",2,"I",0
97427,96155,906,"24.7",2,"I",0
97428,96155,1386,"145.1",2,"I",0
97429,96155,340,"643",2,"I",0
97430,96155,117,"16.7",2,"I",0
97442,96164,10,"87.6",2,"I",0
97443,96164,13,"13.4",2,"I",0
97444,96164,41,"117",2,"I",0
97445,96164,32,"117",2,"I",0
97446,96164,15,"732.6",2,"I",0
97447,96166,10,"87.2",2,"I",0
97448,96166,1165,"9.3",2,"I",0
97449,96166,1386,"151.9",2,"I",0
97450,96166,340,"618.7",2,"I",0
97451,96166,117,"50.6",2,"I",0
97452,96168,10,"84.7",2,"I",0
97453,96168,14,"9.4",2,"I",0
97454,96168,13,"14.2",2,"I",0
97455,96168,32,"132.5",2,"I",0
97456,96168,41,"137.4",2,"I",0
97457,96168,15,"684.9",2,"I",0
97458,96170,10,"87.6",2,"I",0
97459,96170,413,"20",2,"I",0
97460,96170,1386,"144.4",2,"I",0
97461,96170,340,"624.3",2,"I",0
97462,96170,117,"41.4",2,"I",0
97521,96172,10,"84.7",2,"I",0
97522,96172,6940,"5.1",2,"I",0
97523,96172,27,"27.4",2,"I",0
97524,96172,14,"67.9",2,"I",0
97525,96172,41,"207.4",2,"I",0
97526,96172,15,"664.9",2,"I",0
97527,96174,10,"87.3",2,"I",0
97528,96174,1385,"92",2,"I",0
97529,96174,340,"672.1",2,"I",0
97530,96174,117,"61.7",2,"I",0
97531,96207,10,"81.6",2,"I",0
97532,96207,27,"6.2",2,"I",0
97533,96207,369,"6.2",2,"I",0
97534,96207,24,"20.6",2,"I",0
97535,96207,115,"22.7",2,"I",0
97536,96207,780,"126.2",2,"I",0
97537,96207,338,"635.5",2,"I",0
97538,96207,117,"31.5",2,"I",0
97539,96209,10,"87.2",2,"I",0
97540,96209,1163,"2.9",2,"I",0
97541,96209,24,"2.9",2,"I",0
97542,96209,115,"21.3",2,"I",0
97543,96209,1167,"820",2,"I",0
97544,96209,117,"7.5",2,"I",0
97632,96267,10,"73.7",2,"I",0
97633,96267,2275,"6.2",2,"I",0
97634,96267,455,"35.5",2,"I",0
97635,96267,789,"217.1",2,"I",0
97636,96267,342,"238.7",2,"I",0
97637,96267,337,"302",2,"I",0
97638,96267,117,"73.4",2,"I",0
97639,96281,6923,"37.8",2,"I",0
97640,96281,6897,"63",2,"I",0
97641,96281,6894,"66.1",2,"I",0
97642,96281,6924,"252",2,"I",0
97643,96281,6928,"507.1",2,"I",0
97644,96290,6894,"41.2",2,"I",0
97645,96290,6923,"122.2",2,"I",0
97646,96290,6924,"128.7",2,"I",0
97647,96290,6928,"643.3",2,"I",0
97648,96306,10,"120.8",2,"I",0
97731,96306,1165,"9.2",2,"I",0
97732,96306,336,"9.2",2,"I",0
97733,96306,41,"38.7",2,"I",0
97734,96306,494,"62.7",2,"I",0
97735,96306,4615,"98.2",2,"I",0
97736,96306,340,"119.9",2,"I",0
97737,96306,293,"422.8",2,"I",0
97738,96306,117,"48.4",2,"I",0
97739,96310,10,"77.1",2,"I",0
97740,96310,1165,"13.2",2,"I",0
97741,96310,336,"14.7",2,"I",0
97742,96310,6899,"14.7",2,"I",0
97743,96310,494,"45.3",2,"I",0
97744,96310,41,"50.3",2,"I",0
97745,96310,4615,"70.9",2,"I",0
97746,96310,789,"117.7",2,"I",0
97747,96310,340,"176.5",2,"I",0
97748,96310,293,"330.4",2,"I",0
97749,96310,117,"19.7",2,"I",0
97750,96314,10,"87.3",2,"I",0
97751,96314,1165,"21.1",2,"I",0
97752,96314,465,"25.1",2,"I",0
97753,96314,336,"33.5",2,"I",0
97754,96314,494,"35.1",2,"I",0
97755,96314,4615,"60.2",2,"I",0
97756,96314,6899,"61.9",2,"I",0
97757,96314,789,"86.3",2,"I",0
97758,96314,340,"154.6",2,"I",0
97759,96314,293,"320.2",2,"I",0
97760,96314,117,"47.5",2,"I",0
97837,96365,10,"74.7",2,"I",0
97838,96365,880,"11.3",2,"I",0
97839,96365,338,"14.4",2,"I",0
97840,96365,386,"22.1",2,"I",0
97841,96365,1163,"39.6",2,"I",0
97842,96365,411,"50.1",2,"I",0
97843,96365,340,"97.6",2,"I",0
97844,96365,28,"238.6",2,"I",0
97845,96365,451,"298.8",2,"I",0
97846,96365,117,"95.4",2,"I",0
97950,96460,10,"118",2,"I",0
97951,96460,1385,"82.9",2,"I",0
97952,96460,451,"90.1",2,"I",0
97953,96460,340,"791.7",2,"I",0
97962,96463,10,"61.3",2,"I",0
97963,96463,14,"4.7",2,"I",0
97964,96463,6940,"18.9",2,"I",0
97965,96463,62,"21",2,"I",0
97966,96463,41,"105.1",2,"I",0
97967,96463,15,"692.4",2,"I",0
97980,96466,10,"87",2,"I",0
97981,96466,14,"14.5",2,"I",0
97982,96466,62,"27",2,"I",0
97983,96466,13,"38.9",2,"I",0
97984,96466,41,"108.7",2,"I",0
97985,96466,15,"803.7",2,"I",0
97998,96469,10,"88.9",2,"I",0
97999,96469,1385,"16.5",2,"I",0
98000,96469,451,"66.4",2,"I",0
98001,96469,340,"741.6",2,"I",0
119090,96144,6898,"12.3",2,"I",0
119091,96144,6912,"14.6",2,"I",0
119092,96144,6905,"16.9",2,"I",0
119093,96144,6894,"1018.4",2,"I",0
121240,103862,10,"82.7",2,"I",0
