"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
3181,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","BIANCO","1983 - 1991","","0","100","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3182,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S2","BIANCO","1983 - 1991","D","0","100","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3183,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","BIANCO AVUS","1997 - 2007","","0","100","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3184,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S2","BIANCO AVUS","1997 - 2007","L+G","0","100","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3185,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","BIANCO POLO PARK","1981 - 1996","","0","100","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3186,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","GIALLO","1991 - 1996","","0","102","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3187,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","GIALLO MODENA","1981 - 1996","","0","102","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3188,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","GIALLO MODENA (Couche)","1992 - 2017","","0","102","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3190,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","NERO TROPICALE","1981 - 2007","","0","1240","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
3191,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","NERO","1998 - 2018","","0","1250","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3192,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","BLU GHIBLI","2009 - 2011","","0","136729","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3193,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","AZZURRO CIELO","1967 - 1969","","0","1466150","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3194,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","VERDE","2008 - 2011","","0","159931","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3195,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","BIANCO","2009 - 2011","","0","161104","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3196,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","AVORIO","2007 - 2018","","0","190","0","","",1,"U",,,,,,,,,"1",,0,"",,,,,,,,,
3197,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","BLU ULTRASCURO","1967 - 1969","","0","20A174","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3198,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","AZZURRO DINO","1972 - 1978","","0","20A349","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3199,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","VERDE SCURO","1967 - 1969","","0","20G186","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3200,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO (Couche)","1967 - 1969","","0","20R187","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3202,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","AMARANTO","1967 - 1969","","0","20R188","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3203,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO CHIARO","1967 - 1972","","0","20R190","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3204,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO DINO","1977 - 1979","","0","20R350","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3205,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S2","ROSSO DINO (Couche)","1977 - 1979","CL","0","20R350","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3207,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","BIANCO SARATOGA","1967 - 1969","","0","20W157","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3208,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","GIALLO FLY (Couche)","1967 - 1969","","0","20Y191","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3210,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","GIALLO DINO","1975 - 1979","","0","20Y348","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3211,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","AVORIO GIALLO","1974 - 1981","","0","20Y490","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3212,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","BIANCO AVUS","2004 - 2018","","0","229025","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3213,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S2","BIANCO AVUS","2004 - 2018","L+G","0","229025","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3214,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO CORSA","2004 - 2012","","0","229120","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3215,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO MUGELLO (Couche)","2007 - 2018","","0","229136","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3217,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO SCUDERIA (Couche)","2004 - 2018","","0","229172","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3218,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S2","ROSSO SCUDERIA (Couche)","2004 - 2018","CL","0","229172","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3221,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","GIALLO MODENA","2010 - 2012","","0","229211","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3222,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO FORMULA 1","1998 - 2001","","0","234143","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3223,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO","1982 - 2007","","0","300","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3224,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S2","ROSSO","1982 - 2007","L","0","300","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3225,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S3","ROSSO","1982 - 2007","D+Y","0","300","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3226,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S4","ROSSO (Couche)","1982 - 2007","L+Y","0","300","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3228,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO CORSA","1981 - 1992","","0","300 12","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3229,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S2","ROSSO CORSA","1981 - 1992","L","0","300 12","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3230,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO","1995 - 1995","","0","300 9","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3231,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO CORSA (Couche)","1983 - 2007","","0","300 06","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3233,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO DINO","1981 - 2018","","0","301","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3234,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO","1985 - 1993","","0","304","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3235,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S2","ROSSO","1985 - 1993","D","0","304","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3236,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO FUOCO","1988 - 1988","","0","308","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3238,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","AMARANTO","1991 - 1993","","0","310","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3239,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO BARCHETTA (Couche)","1994 - 1996","","0","312","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3241,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO BARCHETTA","1998 - 2007","","0","320","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3242,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO CORSA","1998 - 2007","","0","322","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3243,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S2","ROSSO CORSA (Couche)","1998 - 2007","L+Y","0","322","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3245,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",14,"S1","ROSSO SCUDERIA (Couche)","2002 - 2017","","0","137377","0","","",1,"U",,,,,,,,,"1",,0,"",,,,,,,,,
