"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
350415,87742,10,"1",2,"I",0
350984,111242,10,"79.594301421689",2,"I",0
350985,111242,465,"1.5499463048897",2,"I",0
350986,111242,387,"9.84671770165224",2,"I",0
350987,111242,369,"49.7532763869595",2,"I",0
350988,111242,338,"149.597170415472",2,"I",0
350989,111242,24,"405.703003970482",2,"I",0
350990,111242,25,"164.604297579287",2,"I",0
350991,111242,117,"27.3519936157008",2,"I",0
350992,111242,1167,"37.399292603868",2,"I",0
351054,103930,10,"84.5080161598979",2,"I",0
351055,103930,6470,"1.92940676164151",2,"I",0
351056,103930,115,"6.75292366574527",2,"I",0
351057,103930,1385,"96.084456729747",2,"I",0
351058,103930,340,"718.125196682968",2,"I",0
351059,103928,10,"83.8417665615142",2,"I",0
351060,103928,2275,"2.10561514195584",2,"I",0
351061,103928,115,"4.4983596214511",2,"I",0
351062,103928,413,"9.57097791798107",2,"I",0
351063,103928,1385,"123.609179810726",2,"I",0
351064,103928,340,"686.334826498423",2,"I",0
351065,103928,1165,"0.239274447949527",2,"I",0
356525,3185,6896,"13.69",2,"I",0
356526,3185,6898,"2.86",2,"I",0
356527,3185,6903,"73.55",2,"I",0
356528,3185,6894,"1005.7",2,"I",0
356529,3183,6903,"24.14",2,"I",0
356530,3183,6898,"9.56",2,"I",0
356531,3183,6912,"23.6",2,"I",0
356532,3183,6894,"975.5",2,"I",0
356533,30661,10,"91.8342637893583",2,"I",0
356534,30661,13,"6.16421770640898",2,"I",0
356535,30661,41,"61.0131752573134",2,"I",0
356536,30661,32,"251.076554538257",2,"I",0
356537,30661,15,"622.711788708662",2,"I",0
356538,30659,10,"93.7573253933825",2,"I",0
356539,30659,62,"19.1145344480814",2,"I",0
356540,30659,14,"13.7112079504673",2,"I",0
356541,30659,13,"18.8368931655953",2,"I",0
356542,30659,41,"54.1400500847892",2,"I",0
356543,30659,15,"883.539988957684",2,"I",0
356544,3181,6896,"21.17",2,"I",0
356545,3181,6905,"25.31",2,"I",0
356546,3181,6903,"52.15",2,"I",0
356547,3181,6898,"6",2,"I",0
356548,3181,6894,"978.48",2,"I",0
356549,30663,10,"92.5143659371514",2,"I",0
356550,30663,62,"12.749701911612",2,"I",0
356551,30663,41,"26.6163198584561",2,"I",0
356552,30663,13,"27.3960536943729",2,"I",0
356553,30663,15,"936.523558598408",2,"I",0
356577,3182,6896,"26.08",2,"I",0
356578,3182,6903,"72.44",2,"I",0
356579,3182,6898,"6.19",2,"I",0
356580,3182,6894,"978.19",2,"I",0
356581,30660,10,"93.8961579530175",2,"I",0
356582,30660,62,"23.554338369058",2,"I",0
