"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
3273,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","VERDE SCREG","1987 - 2002","","0","001","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3274,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","BLU TURCHIA","1996 - 1997","","0","002A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3275,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","ROSSO SCALA","1997 - 1998","","0","003A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3276,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","ROSSO TORNOL","1987 - 1999","","0","004","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3277,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","BLU INTERRENT","1984 - 1987","","0","005","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3278,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","GIALLO CADMIUM","1980 - 1998","","0","006","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3279,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S2","GIALLO CADMIUM","1980 - 1998","L+Y","0","006","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3280,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","BLU SAVIEM","1999 - 2002","","0","007","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3281,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","VERDE TORNOL","1987 - 1987","","0","008","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3282,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","BLU POLICE","1987 - 1987","","0","009","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3283,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","GIALLO CATERPILLAR (Couche)","1999 - 2002","","0","010E","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3285,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","VERDE ABETE","1984 - 1987","","0","013","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3286,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","ROSSO POMPIERI","1999 - 2002","","0","016","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3287,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S2","ROSSO POMPIERI","1999 - 2002","L","0","016","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3288,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","GIALLO (Couche)","1989 - 2002","","0","017","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3290,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","BLU FHL","1997 - 1997","","0","019A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
3291,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",15,"S1","VERDE MERCEDES","1987 - 2002","","0","020","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
