"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
600,3738,6903,"33.28",2,"U",0
601,3738,6898,"7.31",2,"U",0
602,3738,6912,"8.37",2,"U",0
603,3738,6894,"1024.34",2,"U",0
604,3742,6896,"14.51",2,"U",0
605,3742,6903,"28.9",2,"U",0
606,3742,6898,"5.21",2,"U",0
607,3742,6894,"1050.18",2,"U",0
608,3784,6898,"10.19",2,"U",0
609,3784,6903,"15.94",2,"U",0
610,3784,6912,"22.66",2,"U",0
611,3784,6894,"1077.01",2,"U",0
612,3786,6925,"2.82",2,"U",0
613,3786,6896,"12.79",2,"U",0
614,3786,6898,"17.23",2,"U",0
615,3786,6894,"1097.66",2,"U",0
616,4103,6917,"213.28",2,"U",0
617,4103,6898,"262.32",2,"U",0
618,4103,223275,"453.51",2,"U",0
619,4105,6927,"95.97",2,"U",0
620,4105,6898,"264.37",2,"U",0
621,4105,223275,"562.76",2,"U",0
622,4111,6917,"213.28",2,"U",0
623,4111,6898,"262.32",2,"U",0
624,4111,223275,"453.51",2,"U",0
625,4113,6927,"95.97",2,"U",0
626,4113,6898,"264.37",2,"U",0
627,4113,223275,"562.76",2,"U",0
628,4119,6917,"213.28",2,"U",0
629,4119,6898,"262.32",2,"U",0
630,4119,223275,"453.51",2,"U",0
631,4121,6927,"95.97",2,"U",0
632,4121,6898,"264.37",2,"U",0
633,4121,223275,"562.76",2,"U",0
634,4250,6924,"3.35",2,"U",0
635,4250,6896,"9.94",2,"U",0
636,4250,6898,"1.44",2,"U",0
637,4250,223275,"121.46",2,"U",0
638,4250,6906,"127.83",2,"U",0
639,4250,223475,"168.95",2,"U",0
640,4250,6894,"593.43",2,"U",0
641,4252,6924,"3.17",2,"U",0
642,4252,6896,"79.86",2,"U",0
643,4252,6906,"126.02",2,"U",0
644,4252,6898,"149.1",2,"U",0
645,4252,223475,"159.28",2,"U",0
646,4252,6894,"496.97",2,"U",0
647,4310,6898,"8.13",2,"U",0
648,4310,6894,"16.37",2,"U",0
649,4310,6915,"327.52",2,"U",0
650,4310,6924,"621.08",2,"U",0
651,4311,6898,"9.16",2,"U",0
652,4311,6894,"36.75",2,"U",0
653,4311,6916,"231.64",2,"U",0
654,4311,6928,"259.12",2,"U",0
655,4311,6924,"394.42",2,"U",0
26568,31166,10,"87.4",2,"U",0
26569,31166,24,"23",2,"U",0
26570,31166,465,"47",2,"U",0
26571,31166,789,"49.1",2,"U",0
26572,31166,338,"120.7",2,"U",0
26573,31166,337,"241.6",2,"U",0
26574,31166,342,"344.5",2,"U",0
26575,31166,117,"19.9",2,"U",0
26576,31169,10,"87.4",2,"U",0
26577,31169,455,"16.1",2,"U",0
26578,31169,293,"19.8",2,"U",0
26579,31169,92,"40.6",2,"U",0
26580,31169,341,"48.9",2,"U",0
26581,31169,338,"71.5",2,"U",0
26582,31169,337,"213.7",2,"U",0
26583,31169,342,"432.8",2,"U",0
26596,31173,10,"87.4",2,"U",0
26597,31173,24,"23",2,"U",0
26598,31173,465,"47",2,"U",0
26599,31173,789,"49.1",2,"U",0
26600,31173,338,"120.7",2,"U",0
26601,31173,337,"241.6",2,"U",0
26602,31173,342,"344.5",2,"U",0
26603,31173,117,"19.9",2,"U",0
26604,31176,10,"87.4",2,"U",0
26605,31176,455,"16.1",2,"U",0
26606,31176,293,"19.8",2,"U",0
26607,31176,92,"40.6",2,"U",0
26608,31176,341,"48.9",2,"U",0
26609,31176,338,"71.5",2,"U",0
26610,31176,337,"213.7",2,"U",0
26611,31176,342,"432.8",2,"U",0
26624,31180,10,"87.4",2,"U",0
26625,31180,24,"23",2,"U",0
26626,31180,465,"47",2,"U",0
26627,31180,789,"49.1",2,"U",0
26628,31180,338,"120.7",2,"U",0
26629,31180,337,"241.6",2,"U",0
26630,31180,342,"344.5",2,"U",0
26631,31180,117,"19.9",2,"U",0
26632,31183,10,"87.4",2,"U",0
26633,31183,455,"16.1",2,"U",0
26634,31183,293,"19.8",2,"U",0
26635,31183,92,"40.6",2,"U",0
26636,31183,341,"48.9",2,"U",0
26637,31183,338,"71.5",2,"U",0
26638,31183,337,"213.7",2,"U",0
26639,31183,342,"432.8",2,"U",0
26643,31396,10,"88",2,"U",0
26644,31396,789,"20.5",2,"U",0
26645,31396,116,"27.7",2,"U",0
26646,31396,293,"72.8",2,"U",0
26647,31396,338,"101",2,"U",0
26648,31396,342,"610.5",2,"U",0
26657,31398,10,"87.5",2,"U",0
26658,31398,293,"72.9",2,"U",0
26659,31398,338,"123.9",2,"U",0
26660,31398,342,"627.4",2,"U",0
26682,31620,10,"86.7",2,"U",0
26683,31620,13,"24.9",2,"U",0
26684,31620,41,"91.1",2,"U",0
26685,31620,32,"104.3",2,"U",0
26686,31620,15,"766.3",2,"U",0
26687,31624,10,"90",2,"U",0
26688,31624,62,"12.4",2,"U",0
26689,31624,13,"24.7",2,"U",0
26690,31624,41,"74.2",2,"U",0
26691,31624,15,"897.5",2,"U",0
26708,31731,10,"87.4",2,"U",0
26709,31731,24,"9.4",2,"U",0
26710,31731,13,"14.7",2,"U",0
26711,31731,27,"20.9",2,"U",0
26712,31731,15,"993.4",2,"U",0
26713,31733,10,"87.4",2,"U",0
26714,31733,305,"2.6",2,"U",0
26715,31733,62,"11.8",2,"U",0
26716,31733,24,"15.9",2,"U",0
26717,31733,15,"1012.8",2,"U",0
26718,32665,4896,"924",2,"U",0
26723,32671,10,"96.9",2,"U",0
26724,32671,4896,"813.6",2,"U",0
26725,32671,455,"12.6",2,"U",0
26726,32673,4896,"924",2,"U",0
26731,32679,10,"96.9",2,"U",0
26732,32679,4896,"813.6",2,"U",0
26733,32679,455,"12.6",2,"U",0
26734,32681,4896,"924",2,"U",0
26739,32687,10,"96.9",2,"U",0
26740,32687,4896,"813.6",2,"U",0
26741,32687,455,"12.6",2,"U",0
26742,32689,4896,"924",2,"U",0
26743,32723,10,"87.6",2,"U",0
26744,32723,24,"5.6",2,"U",0
26745,32723,115,"62.7",2,"U",0
26746,32723,780,"251.8",2,"U",0
26747,32723,338,"444.8",2,"U",0
26748,32723,117,"75.7",2,"U",0
26749,32724,10,"87.9",2,"U",0
26750,32724,32,"9.2",2,"U",0
26751,32724,115,"32.5",2,"U",0
26752,32724,780,"40.6",2,"U",0
26753,32724,338,"270.2",2,"U",0
26754,32724,28,"417.2",2,"U",0
26755,32724,117,"67.5",2,"U",0
26756,32733,10,"87.6",2,"U",0
26757,32733,24,"5.6",2,"U",0
26758,32733,115,"62.7",2,"U",0
26759,32733,780,"251.8",2,"U",0
26760,32733,338,"444.8",2,"U",0
26761,32733,117,"75.7",2,"U",0
26762,32734,10,"87.9",2,"U",0
26763,32734,32,"9.2",2,"U",0
26764,32734,115,"32.5",2,"U",0
26765,32734,780,"40.6",2,"U",0
26766,32734,338,"270.2",2,"U",0
26767,32734,28,"417.2",2,"U",0
26768,32734,117,"67.5",2,"U",0
26769,32738,10,"87.6",2,"U",0
26770,32738,24,"5.6",2,"U",0
26771,32738,115,"62.7",2,"U",0
26772,32738,780,"251.8",2,"U",0
26773,32738,338,"444.8",2,"U",0
26774,32738,117,"75.7",2,"U",0
26775,32739,10,"87.9",2,"U",0
26776,32739,32,"9.2",2,"U",0
26777,32739,115,"32.5",2,"U",0
26778,32739,780,"40.6",2,"U",0
26779,32739,338,"270.2",2,"U",0
26780,32739,28,"417.2",2,"U",0
26781,32739,117,"67.5",2,"U",0
26793,33549,10,"87.6",2,"U",0
26794,33549,906,"41.3",2,"U",0
26795,33549,1386,"82.6",2,"U",0
26796,33549,340,"677.6",2,"U",0
26797,33549,117,"24.8",2,"U",0
26798,33553,10,"87.7",2,"U",0
26799,33553,14,"6",2,"U",0
26800,33553,62,"15.3",2,"U",0
26801,33553,28,"74.6",2,"U",0
26802,33553,15,"924.5",2,"U",0
26825,33646,10,"80.4",2,"U",0
26826,33646,24,"16.2",2,"U",0
26827,33646,28,"418.8",2,"U",0
26828,33646,338,"361",2,"U",0
26829,33646,117,"43.5",2,"U",0
26830,33647,10,"84.4",2,"U",0
26831,33647,24,"9.7",2,"U",0
26832,33647,27,"10.4",2,"U",0
26833,33647,13,"29",2,"U",0
26834,33647,115,"11.8",2,"U",0
26835,33647,28,"358.6",2,"U",0
26836,33647,116,"375.4",2,"U",0
26837,33647,117,"39.4",2,"U",0
26838,33648,10,"87.4",2,"U",0
26839,33648,24,"9.3",2,"U",0
26840,33648,27,"14.1",2,"U",0
26841,33648,338,"368.6",2,"U",0
26842,33648,28,"390.8",2,"U",0
26843,33648,117,"55.2",2,"U",0
26854,33657,10,"87.4",2,"U",0
26855,33657,24,"7.4",2,"U",0
26856,33657,15,"14.9",2,"U",0
26857,33657,294,"298.1",2,"U",0
26858,33657,293,"565.3",2,"U",0
26859,33658,10,"87.4",2,"U",0
26860,33658,24,"8.3",2,"U",0
26861,33658,15,"33.3",2,"U",0
26862,33658,463,"209.9",2,"U",0
26863,33658,459,"234.8",2,"U",0
26864,33658,293,"357.4",2,"U",0
26895,33669,10,"87.4",2,"U",0
26896,33669,336,"6.3",2,"U",0
26897,33669,3639,"18.8",2,"U",0
26898,33669,340,"56.5",2,"U",0
26899,33669,463,"99.3",2,"U",0
26900,33669,494,"280.3",2,"U",0
26901,33669,293,"364",2,"U",0
26902,33669,117,"26.2",2,"U",0
26903,33670,10,"87.4",2,"U",0
26904,33670,336,"6.2",2,"U",0
26905,33670,459,"19.8",2,"U",0
26906,33670,3639,"34.3",2,"U",0
26907,33670,340,"103",2,"U",0
26908,33670,494,"220.6",2,"U",0
26909,33670,293,"428.6",2,"U",0
