"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
656,4337,6905,"24.27",2,"U",0
657,4337,6917,"319.97",2,"U",0
658,4337,223275,"587.75",2,"U",0
659,4339,6917,"66.24",2,"U",0
660,4339,6895,"139.98",2,"U",0
661,4339,223275,"719.99",2,"U",0
662,4341,6896,"8.62",2,"U",0
663,4341,6897,"27.29",2,"U",0
664,4341,6895,"87.84",2,"U",0
665,4341,223275,"801.95",2,"U",0
666,4392,6894,"15.42",2,"U",0
667,4392,6897,"76.65",2,"U",0
668,4392,6915,"211",2,"U",0
669,4392,6924,"653.83",2,"U",0
670,4394,6894,"57.55",2,"U",0
671,4394,6916,"85.19",2,"U",0
672,4394,6898,"17.09",2,"U",0
673,4394,6924,"328.84",2,"U",0
674,4394,6928,"452.15",2,"U",0
675,4514,6924,"3.73",2,"U",0
676,4514,6909,"58.94",2,"U",0
677,4514,6898,"174.96",2,"U",0
678,4514,223475,"188.79",2,"U",0
679,4514,6927,"189.78",2,"U",0
680,4514,6894,"368.8",2,"U",0
681,4516,6924,"4.76",2,"U",0
682,4516,6910,"6.46",2,"U",0
683,4516,6898,"2.05",2,"U",0
684,4516,6896,"138.54",2,"U",0
685,4516,223475,"241.49",2,"U",0
686,4516,6909,"277.43",2,"U",0
687,4516,6894,"307.47",2,"U",0
688,4526,6903,"17.23",2,"U",0
689,4526,6912,"10.6",2,"U",0
690,4526,6898,"18.39",2,"U",0
691,4526,6894,"998.68",2,"U",0
692,4528,6912,"4.7",2,"U",0
693,4528,6898,"12.01",2,"U",0
694,4528,6894,"1057.59",2,"U",0
695,4530,6903,"54.39",2,"U",0
696,4530,6905,"85.97",2,"U",0
697,4530,6898,"9.76",2,"U",0
698,4530,6912,"9.98",2,"U",0
699,4530,6894,"881.7",2,"U",0
700,4532,6912,"14.33",2,"U",0
701,4532,6898,"16.06",2,"U",0
702,4532,6894,"1090.51",2,"U",0
703,4576,6903,"17.23",2,"U",0
704,4576,6912,"10.6",2,"U",0
705,4576,6898,"18.39",2,"U",0
706,4576,6894,"998.68",2,"U",0
707,4578,6912,"4.7",2,"U",0
708,4578,6898,"12.01",2,"U",0
709,4578,6894,"1057.59",2,"U",0
710,4580,6903,"54.39",2,"U",0
711,4580,6905,"85.97",2,"U",0
712,4580,6898,"9.76",2,"U",0
713,4580,6912,"9.98",2,"U",0
714,4580,6894,"881.7",2,"U",0
715,4582,6912,"14.33",2,"U",0
716,4582,6898,"16.06",2,"U",0
717,4582,6894,"1090.51",2,"U",0
718,4631,6924,"3.73",2,"U",0
719,4631,6909,"58.94",2,"U",0
720,4631,6898,"174.96",2,"U",0
721,4631,223475,"188.79",2,"U",0
722,4631,6927,"189.78",2,"U",0
723,4631,6894,"368.8",2,"U",0
724,4633,6924,"4.76",2,"U",0
725,4633,6910,"6.46",2,"U",0
726,4633,6898,"2.05",2,"U",0
727,4633,6896,"138.54",2,"U",0
728,4633,223475,"241.49",2,"U",0
729,4633,6909,"277.43",2,"U",0
730,4633,6894,"307.47",2,"U",0
731,4682,6898,"11.26",2,"U",0
732,4682,6894,"29.36",2,"U",0
733,4682,6928,"433.51",2,"U",0
