"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
5692,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",17,"S1","ALASKAN WHITE","1989 - 1989","","0","002","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
5693,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",17,"S2","ALASKAN WHITE","1989 - 1989","R","0","002","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
5694,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",17,"S1","MIDNIGHT BLACK","1999 - 2006","","0","24S - B3","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
5695,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",17,"S2","MIDNIGHT BLACK","1999 - 2006","D","0","24S - B3","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
5696,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",17,"S3","MIDNIGHT BLACK","1999 - 2006","L","0","24S - B3","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
5697,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",17,"S1","ONTARIO BLUE","1996 -","","0","26","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
5698,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",17,"S2","ONTARIO BLUE","1996 -","L+R","0","26","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
5699,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",17,"S3","ONTARIO BLUE","1996 -","D+G","0","26","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
5701,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",17,"S1","GLACIAL BLUE","1985 - 1986","","0","3","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
5704,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",17,"S1","ALASKAN WHITE","1992 -","","0","3L3","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
5705,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",17,"S2","ALASKAN WHITE","1992 -","R","0","3L3","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
5706,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",17,"S1","SIERRA RED (Couche)","1988 - 1989","","0","465","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
