"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
1078,6102,6898,"12.88",2,"U",0
1079,6102,6905,"32.95",2,"U",0
1080,6102,6912,"4.72",2,"U",0
1081,6102,6894,"1047.75",2,"U",0
1082,6104,6896,"5.94",2,"U",0
1083,6104,6905,"35.32",2,"U",0
1084,6104,6898,"3.66",2,"U",0
1085,6104,6894,"1058.17",2,"U",0
1086,6108,6903,"7.5",2,"U",0
1087,6108,6912,"16.52",2,"U",0
1088,6108,6898,"5.48",2,"U",0
1089,6108,6894,"1071.6",2,"U",0
1090,6109,6903,"7.5",2,"U",0
1091,6109,6912,"16.52",2,"U",0
1092,6109,6898,"5.48",2,"U",0
1093,6109,6894,"1071.6",2,"U",0
1094,6110,6903,"6.61",2,"U",0
1095,6110,6898,"5.55",2,"U",0
1096,6110,6912,"17.79",2,"U",0
1097,6110,6894,"1024.85",2,"U",0
1098,6111,6909,"3.04",2,"U",0
1099,6111,6896,"14.87",2,"U",0
1100,6111,6905,"44.95",2,"U",0
1101,6111,6894,"1049.54",2,"U",0
29859,37607,10,"87.9",2,"U",0
29860,37607,24,"11.1",2,"U",0
29861,37607,14,"28.4",2,"U",0
29862,37607,32,"67.8",2,"U",0
29863,37607,15,"903.1",2,"U",0
29864,37609,10,"87.9",2,"U",0
29865,37609,62,"5.2",2,"U",0
29866,37609,14,"30.9",2,"U",0
29867,37609,41,"53.4",2,"U",0
29868,37609,15,"925.7",2,"U",0
29876,37615,10,"87.8",2,"U",0
29877,37615,13,"6.4",2,"U",0
29878,37615,27,"14.1",2,"U",0
29879,37615,41,"78",2,"U",0
29880,37615,15,"914.8",2,"U",0
29881,37622,10,"87.8",2,"U",0
29882,37622,13,"6.4",2,"U",0
29883,37622,27,"14.1",2,"U",0
29884,37622,41,"78",2,"U",0
29885,37622,15,"914.8",2,"U",0
29886,37623,10,"87.6",2,"U",0
29887,37623,13,"4.5",2,"U",0
29888,37623,41,"63",2,"U",0
29889,37623,32,"201.9",2,"U",0
29890,37623,15,"697.8",2,"U",0
29891,37624,10,"87.8",2,"U",0
