"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
6116,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S1","FIRE RED (Couche)","1993 - 1998","","0","0","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
6121,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S1","ONTARIO BLUE","2000 - 2002","","0","0 - KZZAWWA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
6122,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S2","ONTARIO BLUE","2000 - 2002","L+R","0","0 - KZZAWWA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
6123,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S3","ONTARIO BLUE","2000 - 2002","D+G","0","0 - KZZAWWA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
6128,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S1","SIGNAL ORANGE (Couche)","1979 - 1980","","0","0 - XSC1260A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
6131,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S1","DEEP NAVY","2004 - 2009","","0","0 - 4CWAWWA","0","","1*",0,"0",,,,,,,,,"0",,,,,,,,,,,,
6133,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S2","DEEP NAVY","2004 - 2009","L+B","0","0 - 4CWAWWA","0","","1*",0,"0",,,,,,,,,"0",,,,,,,,,,,,
6135,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S3","DEEP NAVY","2004 - 2009","G","0","0 - 4CWAWWA","0","","1*",0,"0",,,,,,,,,"0",,,,,,,,,,,,
6137,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S1","DUNKELGRAU MATT (+ Lacquer)","1994 - 1997","","0","10005","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
6138,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S1","GREY MAT (+ Lacquer)","1994 - 1994","","0","10009","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
6139,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S1","GREY MAT (+ Lacquer)","1997 - 1997","","0","10011","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
6140,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S1","DARK GREY MAT (+ Lacquer)","1993 - 1993","","0","10012","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
6141,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S1","DARK GREY MAT (+ Lacquer)","1982 - 1998","","0","10013 - XSC1823A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
6142,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S1","DARK WARM BLUE MAT (+ Lacquer)","1997 - 1997","","0","10016 - XSC2825A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
6143,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S1","GRAU MATT (+ Lacquer)","1996 - 1997","","0","10018","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
6144,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S1","DUNKELGRAU MATT (+ Lacquer)","2009 - 2010","","0","10022","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
6146,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S1","BRILLIANT BLACK","1995 - 2003","","0","14K - UAWAWHA","0","","Ford america 3* UA",1,"U",,,,,,,,,"0",,,,,,,,,,,,
6148,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",18,"S2","BRILLIANT BLACK","1995 - 2003","Y","0","14K - UAWAWHA","0","","Ford america 3* UA",0,"0",,,,,,,,,"0",,,,,,,,,,,,
