"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
1102,6131,6927,"5.75",2,"U",0
1103,6131,6895,"136.36",2,"U",0
1104,6131,6910,"170.06",2,"U",0
1105,6131,223275,"187.41",2,"U",0
1106,6131,223475,"420.23",2,"U",0
1107,6133,6924,"4.8",2,"U",0
1108,6133,6898,"2.07",2,"U",0
1109,6133,6895,"115.56",2,"U",0
1110,6133,6927,"141.73",2,"U",0
1111,6133,223275,"150.88",2,"U",0
1112,6133,223475,"243.57",2,"U",0
1113,6133,6911,"264.49",2,"U",0
1114,6135,6924,"3.75",2,"U",0
1115,6135,6898,"1.6",2,"U",0
1116,6135,6895,"82.85",2,"U",0
1117,6135,223275,"143.11",2,"U",0
1118,6135,223475,"188.29",2,"U",0
1119,6135,6927,"189.31",2,"U",0
1120,6135,6910,"311.2",2,"U",0
1121,6148,6905,"24.27",2,"U",0
1122,6148,6917,"319.97",2,"U",0
1123,6148,223275,"587.75",2,"U",0
1124,6150,6917,"66.24",2,"U",0
1125,6150,6895,"139.98",2,"U",0
1126,6150,223275,"719.99",2,"U",0
1127,6152,6896,"8.62",2,"U",0
1128,6152,6897,"27.29",2,"U",0
1129,6152,6895,"87.84",2,"U",0
1130,6152,223275,"801.95",2,"U",0
1131,6222,6898,"0.24",2,"U",0
1132,6222,6923,"26.81",2,"U",0
1133,6222,223475,"29.01",2,"U",0
1134,6222,223275,"173.86",2,"U",0
1135,6222,6894,"270.72",2,"U",0
1136,6222,6909,"467.75",2,"U",0
1137,6224,6925,"16.94",2,"U",0
1138,6224,6923,"64.44",2,"U",0
1139,6224,223275,"136.8",2,"U",0
1140,6224,6894,"213.01",2,"U",0
1141,6224,6909,"530.82",2,"U",0
1142,6228,6898,"0.24",2,"U",0
1143,6228,6923,"26.81",2,"U",0
1144,6228,223475,"29.01",2,"U",0
1145,6228,223275,"173.86",2,"U",0
1146,6228,6894,"270.72",2,"U",0
1147,6228,6909,"467.75",2,"U",0
1148,6230,6925,"16.94",2,"U",0
1149,6230,6923,"64.44",2,"U",0
1150,6230,223275,"136.8",2,"U",0
1151,6230,6894,"213.01",2,"U",0
1152,6230,6909,"530.82",2,"U",0
1153,6248,6898,"11.26",2,"U",0
1154,6248,6894,"29.36",2,"U",0
1155,6248,6928,"433.51",2,"U",0
1156,6248,6924,"462.98",2,"U",0
1157,6250,6898,"3.55",2,"U",0
1158,6250,6895,"161.69",2,"U",0
1159,6250,6916,"348.68",2,"U",0
1160,6250,6924,"414.48",2,"U",0
1161,6323,6894,"20.87",2,"U",0
1162,6323,6898,"3.8",2,"U",0
1163,6323,6916,"238.06",2,"U",0
1164,6323,6924,"655.27",2,"U",0
1165,6325,6894,"22.77",2,"U",0
1166,6325,6898,"4.25",2,"U",0
1167,6325,6916,"140.87",2,"U",0
1168,6325,6924,"166.92",2,"U",0
1169,6329,6894,"10.82",2,"U",0
1170,6329,6897,"143.32",2,"U",0
1171,6329,6916,"184.7",2,"U",0
1172,6329,6924,"578.07",2,"U",0
1173,6497,6927,"5.75",2,"U",0
1174,6497,6895,"136.36",2,"U",0
1175,6497,6910,"170.06",2,"U",0
1176,6497,223275,"187.41",2,"U",0
1177,6497,223475,"420.23",2,"U",0
1178,6499,6924,"4.8",2,"U",0
1179,6499,6898,"2.07",2,"U",0
1180,6499,6895,"115.56",2,"U",0
1181,6499,6927,"141.73",2,"U",0
1182,6499,223275,"150.88",2,"U",0
1183,6499,223475,"243.57",2,"U",0
1184,6499,6911,"264.49",2,"U",0
1185,6501,6924,"3.75",2,"U",0
1186,6501,6898,"1.6",2,"U",0
1187,6501,6895,"82.85",2,"U",0
1188,6501,223275,"143.11",2,"U",0
1189,6501,223475,"188.29",2,"U",0
1190,6501,6927,"189.31",2,"U",0
1191,6501,6910,"311.2",2,"U",0
1192,6582,6916,"61.56",2,"U",0
1193,6582,6898,"4.85",2,"U",0
1194,6582,6895,"147.49",2,"U",0
1195,6582,6924,"691.11",2,"U",0
1196,6584,6895,"50.71",2,"U",0
1197,6584,6898,"7.94",2,"U",0
1198,6584,6928,"206.23",2,"U",0
1199,6584,6924,"643.72",2,"U",0
1200,6674,6898,"1.3",2,"U",0
1201,6674,6914,"135.71",2,"U",0
1202,6674,6925,"90.51",2,"U",0
1203,6674,6894,"379.38",2,"U",0
1204,6674,6900,"392.7",2,"U",0
1205,6677,6897,"9.36",2,"U",0
1206,6677,6898,"1.52",2,"U",0
1207,6677,6894,"306.64",2,"U",0
1208,6677,6900,"361.33",2,"U",0
1209,6677,6925,"387.95",2,"U",0
1210,6817,6898,"11.26",2,"U",0
1211,6817,6894,"29.36",2,"U",0
1212,6817,6928,"433.51",2,"U",0
1213,6817,6924,"462.98",2,"U",0
1214,6819,6898,"3.55",2,"U",0
1215,6819,6895,"161.69",2,"U",0
1216,6819,6916,"348.68",2,"U",0
1217,6819,6924,"414.48",2,"U",0
1218,6872,6916,"61.56",2,"U",0
1219,6872,6898,"4.85",2,"U",0
