"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
8617,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",20,"S1","CARBON BLACK","1993 - 2006","","0","07L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
8618,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",20,"S2","CARBON BLACK","1993 - 2006","Y","0","07L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
8619,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",20,"S3","CARBON BLACK","1993 - 2006","R","0","07L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
8620,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",20,"S1","CASABLANCA WHITE","1991 - 2005","","0","10L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
8621,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",20,"S10","CASABLANCA WHITE","1991 - 2005","L+Y","0","10L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
8622,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",20,"S2","CASABLANCA WHITE","1991 - 2005","R","0","10L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
8623,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",20,"S3","CASABLANCA WHITE","1991 - 2005","D+G","0","10L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
8624,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",20,"S4","CASABLANCA WHITE","1991 - 2005","G","0","10L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
8625,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",20,"S5","CASABLANCA WHITE","1991 - 2005","L+CL","0","10L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
8626,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",20,"S6","CASABLANCA WHITE","1991 - 2005","Y","0","10L","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
