"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
1478,8842,6894,"112.57",2,"U",0
1479,8842,6898,"17.74",2,"U",0
1480,8842,6908,"298.07",2,"U",0
1481,8842,6906,"497.93",2,"U",0
1482,8843,223275,"6.46",2,"U",0
1483,8843,6911,"78.01",2,"U",0
1484,8843,6894,"444.2",2,"U",0
1485,8843,6910,"476.52",2,"U",0
1486,8844,6898,"8.16",2,"U",0
1487,8844,6894,"78.36",2,"U",0
1488,8844,6924,"372.28",2,"U",0
1489,8844,6916,"483.81",2,"U",0
32671,43935,10,"70.9",2,"U",0
32672,43935,24,"6.8",2,"U",0
32673,43935,115,"25.4",2,"U",0
32674,43935,13,"27.3",2,"U",0
32675,43935,28,"251.6",2,"U",0
32676,43935,338,"527.1",2,"U",0
32677,43935,117,"18.4",2,"U",0
32678,43936,10,"68.6",2,"U",0
32679,43936,24,"5.8",2,"U",0
32680,43936,115,"80.1",2,"U",0
32681,43936,28,"396.1",2,"U",0
32682,43936,338,"327.3",2,"U",0
32683,43936,117,"48.2",2,"U",0
32684,43937,10,"75.8",2,"U",0
32685,43937,62,"5.9",2,"U",0
32686,43937,24,"13.8",2,"U",0
32687,43937,115,"123.4",2,"U",0
32688,43937,338,"687.3",2,"U",0
32689,43937,117,"24.5",2,"U",0
32690,43938,10,"65.6",2,"U",0
32691,43938,27,"10.2",2,"U",0
32692,43938,24,"21.6",2,"U",0
32693,43938,338,"234.3",2,"U",0
32694,43938,115,"106.8",2,"U",0
32695,43938,3386,"455.9",2,"U",0
32696,43938,117,"44.2",2,"U",0
32697,43939,10,"87.4",2,"U",0
32698,43939,880,"1",2,"U",0
32699,43939,27,"4.1",2,"U",0
32700,43939,338,"275.4",2,"U",0
32701,43939,28,"554",2,"U",0
32702,43986,10,"70.9",2,"U",0
32703,43986,24,"6.8",2,"U",0
32704,43986,115,"25.4",2,"U",0
32705,43986,13,"27.3",2,"U",0
32706,43986,28,"251.6",2,"U",0
32707,43986,338,"527.1",2,"U",0
32708,43986,117,"18.4",2,"U",0
32709,43987,10,"68.6",2,"U",0
32710,43987,24,"5.8",2,"U",0
32711,43987,115,"80.1",2,"U",0
32712,43987,28,"396.1",2,"U",0
32713,43987,338,"327.3",2,"U",0
