"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
1454,7852,6905,"13.85",2,"U",0
1455,7852,6912,"25.72",2,"U",0
1456,7852,6898,"9.6",2,"U",0
1457,7852,6894,"1044.03",2,"U",0
1458,7853,6912,"2.46",2,"U",0
1459,7853,6905,"19.67",2,"U",0
1460,7853,6898,"8.44",2,"U",0
1461,7853,6894,"1055.93",2,"U",0
1462,7900,6905,"13.85",2,"U",0
1463,7900,6912,"25.72",2,"U",0
1464,7900,6898,"9.6",2,"U",0
1465,7900,6894,"1044.03",2,"U",0
1466,7901,6912,"2.46",2,"U",0
1467,7901,6905,"19.67",2,"U",0
1468,7901,6898,"8.44",2,"U",0
1469,7901,6894,"1055.93",2,"U",0
1470,8574,6905,"13.85",2,"U",0
1471,8574,6912,"25.72",2,"U",0
1472,8574,6898,"9.6",2,"U",0
1473,8574,6894,"1044.03",2,"U",0
1474,8575,6912,"2.46",2,"U",0
1475,8575,6905,"19.67",2,"U",0
1476,8575,6898,"8.44",2,"U",0
1477,8575,6894,"1055.93",2,"U",0
32066,40680,10,"85.1",2,"U",0
32067,40680,14,"14",2,"U",0
32068,40680,32,"59.4",2,"U",0
32069,40680,41,"73.7",2,"U",0
32070,40680,15,"846.8",2,"U",0
32071,40681,10,"87.4",2,"U",0
32072,40681,14,"11.2",2,"U",0
32073,40681,27,"20.8",2,"U",0
32074,40681,41,"129.4",2,"U",0
32075,40681,15,"844.4",2,"U",0
32076,40682,10,"89.6",2,"U",0
32077,40682,32,"32.5",2,"U",0
32078,40682,14,"15.6",2,"U",0
32079,40682,41,"111.5",2,"U",0
32080,40682,15,"837.3",2,"U",0
32090,40999,10,"85.1",2,"U",0
32091,40999,14,"14",2,"U",0
32092,40999,32,"59.4",2,"U",0
32093,40999,41,"73.7",2,"U",0
32094,40999,15,"846.8",2,"U",0
32095,41000,10,"87.4",2,"U",0
32096,41000,14,"11.2",2,"U",0
32097,41000,27,"20.8",2,"U",0
32098,41000,41,"129.4",2,"U",0
32099,41000,15,"844.4",2,"U",0
32100,41001,10,"89.6",2,"U",0
32101,41001,32,"32.5",2,"U",0
32102,41001,14,"15.6",2,"U",0
32103,41001,41,"111.5",2,"U",0
32104,41001,15,"837.3",2,"U",0
32220,41278,10,"75",2,"U",0
32221,41278,1524,"10.3",2,"U",0
32222,41278,92,"12.3",2,"U",0
32223,41278,24,"22.6",2,"U",0
32224,41278,1385,"53.2",2,"U",0
32225,41278,115,"60.9",2,"U",0
32226,41278,789,"133.8",2,"U",0
32227,41278,337,"279.6",2,"U",0
32228,41278,342,"289.7",2,"U",0
32229,41279,10,"118.2",2,"U",0
32230,41279,24,"35",2,"U",0
32231,41279,293,"32.4",2,"U",0
32232,41279,115,"81",2,"U",0
32233,41279,455,"86.4",2,"U",0
32234,41279,337,"162",2,"U",0
32235,41279,342,"367.7",2,"U",0
32236,41279,117,"48.7",2,"U",0
32265,41323,10,"87.4",2,"U",0
32266,41323,27,"6.2",2,"U",0
32267,41323,880,"9.3",2,"U",0
32268,41323,24,"72.8",2,"U",0
32269,41323,115,"61.2",2,"U",0
32270,41323,338,"664.3",2,"U",0
32271,41323,117,"29.9",2,"U",0
32314,41357,10,"107.7",2,"U",0
32315,41357,463,"15.5",2,"U",0
32316,41357,2275,"15.5",2,"U",0
32317,41357,92,"19.7",2,"U",0
32318,41357,293,"39.4",2,"U",0
32319,41357,3386,"87.9",2,"U",0
32320,41357,4615,"147.9",2,"U",0
32321,41357,340,"492.9",2,"U",0
32322,41357,117,"16.4",2,"U",0
32323,41358,10,"90.5",2,"U",0
32324,41358,342,"21.7",2,"U",0
32325,41358,789,"46.7",2,"U",0
32326,41358,2335,"29",2,"U",0
32327,41358,4615,"53.8",2,"U",0
32328,41358,28,"83.5",2,"U",0
32329,41358,338,"106.4",2,"U",0
32330,41358,115,"182.1",2,"U",0
32331,41358,455,"240.5",2,"U",0
32332,41358,117,"100.4",2,"U",0
32341,41360,10,"91.7",2,"U",0
32342,41360,41,"5.7",2,"U",0
32343,41360,789,"87.7",2,"U",0
32344,41360,4615,"62.9",2,"U",0
32345,41360,338,"99.6",2,"U",0
32346,41360,28,"111.5",2,"U",0
32347,41360,455,"167.7",2,"U",0
32348,41360,340,"266.3",2,"U",0
32349,41360,117,"43.9",2,"U",0
32350,41366,10,"87.4",2,"U",0
32351,41366,13,"1.9",2,"U",0
32352,41366,41,"5.5",2,"U",0
32353,41366,1385,"42.5",2,"U",0
32354,41366,340,"736.7",2,"U",0
32355,41366,117,"32.5",2,"U",0
32356,41367,10,"87.4",2,"U",0
32357,41367,906,"9.4",2,"U",0
32358,41367,1385,"104.4",2,"U",0
32359,41367,340,"670.9",2,"U",0
32360,41367,117,"41.1",2,"U",0
32361,41368,10,"74.1",2,"U",0
32362,41368,14,"14.1",2,"U",0
32363,41368,62,"23.7",2,"U",0
32364,41368,41,"166.1",2,"U",0
32365,41368,15,"800",2,"U",0
32366,41369,10,"85.6",2,"U",0
32367,41369,62,"42.7",2,"U",0
32368,41369,41,"171.1",2,"U",0
32369,41369,15,"785",2,"U",0
32438,42396,10,"70.6",2,"U",0
32439,42396,27,"2.2",2,"U",0
32440,42396,115,"45.1",2,"U",0
32441,42396,41,"80.8",2,"U",0
32442,42396,116,"645.9",2,"U",0
32443,42396,117,"77.9",2,"U",0
32444,42641,10,"70.9",2,"U",0
32445,42641,24,"6.8",2,"U",0
32446,42641,115,"25.4",2,"U",0
32447,42641,13,"27.3",2,"U",0
32448,42641,28,"251.6",2,"U",0
32449,42641,338,"527.1",2,"U",0
32450,42641,117,"18.4",2,"U",0
32451,42642,10,"68.6",2,"U",0
32452,42642,24,"5.8",2,"U",0
32453,42642,115,"80.1",2,"U",0
32454,42642,28,"396.1",2,"U",0
32455,42642,338,"327.3",2,"U",0
32456,42642,117,"48.2",2,"U",0
32457,42643,10,"75.8",2,"U",0
32458,42643,62,"5.9",2,"U",0
32459,42643,24,"13.8",2,"U",0
32460,42643,115,"123.4",2,"U",0
32461,42643,338,"687.3",2,"U",0
32462,42643,117,"24.5",2,"U",0
32463,42644,10,"65.6",2,"U",0
32464,42644,27,"10.2",2,"U",0
32465,42644,24,"21.6",2,"U",0
32466,42644,338,"234.3",2,"U",0
32467,42644,115,"106.8",2,"U",0
32468,42644,3386,"455.9",2,"U",0
32469,42644,117,"44.2",2,"U",0
32470,42645,10,"87.4",2,"U",0
32471,42645,880,"1",2,"U",0
32472,42645,27,"4.1",2,"U",0
32473,42645,338,"275.4",2,"U",0
32474,42645,28,"553.9",2,"U",0
32566,43717,10,"85.1",2,"U",0
32567,43717,14,"14",2,"U",0
32568,43717,32,"59.4",2,"U",0
32569,43717,41,"73.7",2,"U",0
32570,43717,15,"846.8",2,"U",0
32571,43718,10,"87.4",2,"U",0
32572,43718,14,"11.2",2,"U",0
32573,43718,27,"20.8",2,"U",0
32574,43718,41,"129.4",2,"U",0
32575,43718,15,"844.4",2,"U",0
32576,43719,10,"89.6",2,"U",0
32577,43719,32,"32.5",2,"U",0
32578,43719,14,"15.6",2,"U",0
32579,43719,41,"111.5",2,"U",0
32580,43719,15,"837.3",2,"U",0
32615,43875,10,"87.4",2,"U",0
32616,43875,27,"6.2",2,"U",0
32617,43875,880,"9.3",2,"U",0
32618,43875,24,"72.8",2,"U",0
32619,43875,115,"61.2",2,"U",0
32620,43875,338,"664.3",2,"U",0
32621,43875,117,"29.9",2,"U",0
96146,93680,6912,"0.7",2,"I",0
96147,93680,6898,"2.6",2,"I",0
96148,93680,6903,"78.6",2,"I",0
96149,93680,6905,"93.6",2,"I",0
96150,93680,6894,"935.8",2,"I",0
96155,93682,6912,"0.4",2,"I",0
96156,93682,6898,"4.8",2,"I",0
96157,93682,6905,"4.3",2,"I",0
96158,93682,6894,"1069.6",2,"I",0
96163,93685,6912,"0.4",2,"I",0
96164,93685,6898,"4.8",2,"I",0
96165,93685,6905,"4.3",2,"I",0
96166,93685,6894,"1069.6",2,"I",0
96167,93698,6923,"20.4",2,"I",0
96168,93698,6908,"55.4",2,"I",0
96169,93698,6927,"74.4",2,"I",0
96170,93698,6894,"393.8",2,"I",0
96171,93698,6909,"437.5",2,"I",0
96177,93700,6923,"20.4",2,"I",0
96178,93700,6908,"55.4",2,"I",0
96179,93700,6927,"74.4",2,"I",0
96180,93700,6894,"393.8",2,"I",0
96181,93700,6909,"437.5",2,"I",0
96182,93701,6923,"31.8",2,"I",0
96183,93701,6927,"37.3",2,"I",0
96184,93701,6908,"62.6",2,"I",0
96185,93701,6894,"379.2",2,"I",0
96186,93701,6909,"477.3",2,"I",0
96192,93703,6923,"31.8",2,"I",0
96193,93703,6927,"37.3",2,"I",0
96194,93703,6908,"62.6",2,"I",0
96195,93703,6894,"379.2",2,"I",0
96196,93703,6909,"477.3",2,"I",0
96197,93707,10,"85.9",2,"I",0
96198,93707,1163,"8.8",2,"I",0
96199,93707,2275,"10.8",2,"I",0
96200,93707,24,"26.1",2,"I",0
96201,93707,115,"29.1",2,"I",0
96202,93707,116,"81.9",2,"I",0
96203,93707,23,"83.3",2,"I",0
96204,93707,28,"228.6",2,"I",0
96205,93707,11,"374.5",2,"I",0
96215,93709,10,"85.9",2,"I",0
96216,93709,1163,"8.8",2,"I",0
96232,93709,2275,"10.8",2,"I",0
96233,93709,24,"26.1",2,"I",0
96234,93709,115,"29.1",2,"I",0
96235,93709,116,"81.9",2,"I",0
96236,93709,23,"83.3",2,"I",0
96237,93709,28,"228.6",2,"I",0
96238,93709,11,"374.5",2,"I",0
96244,93712,6898,"24.8",2,"I",0
96245,93712,6927,"51.3",2,"I",0
96246,93712,6906,"100.5",2,"I",0
96247,93712,6894,"194.8",2,"I",0
96248,93712,6909,"578.8",2,"I",0
96249,93710,6898,"24.8",2,"I",0
96250,93710,6927,"51.3",2,"I",0
96251,93710,6906,"100.5",2,"I",0
96252,93710,6894,"194.8",2,"I",0
96253,93710,6909,"578.8",2,"I",0
96259,93724,6897,"70.9",2,"I",0
96260,93724,6902,"105.6",2,"I",0
96261,93724,6925,"150.9",2,"I",0
96262,93724,6900,"354.2",2,"I",0
96263,93724,6894,"356.6",2,"I",0
96264,93722,6897,"70.9",2,"I",0
96265,93722,6902,"105.6",2,"I",0
96266,93722,6925,"150.9",2,"I",0
96267,93722,6900,"354.2",2,"I",0
96268,93722,6894,"356.6",2,"I",0
96269,93744,10,"69.6",2,"I",0
96270,93744,4615,"4.9",2,"I",0
96271,93744,24,"35.6",2,"I",0
96272,93744,789,"40.8",2,"I",0
96273,93744,337,"81.6",2,"I",0
96274,93744,341,"85.8",2,"I",0
96275,93744,494,"110",2,"I",0
96276,93744,342,"457.6",2,"I",0
96277,93744,117,"48.9",2,"I",0
96287,93746,341,"11.3",2,"I",0
96288,93746,465,"16.9",2,"I",0
96289,93746,342,"29.3",2,"I",0
96290,93746,340,"844",2,"I",0
96309,93801,6894,"18.6",2,"I",0
96310,93801,6910,"67.4",2,"I",0
96311,93801,6927,"366.8",2,"I",0
96312,93801,6909,"467.6",2,"I",0
96345,93843,10,"61.1",2,"I",0
96346,93843,27,"3.3",2,"I",0
96347,93843,115,"46.6",2,"I",0
96348,93843,780,"320.4",2,"I",0
96349,93843,116,"450.3",2,"I",0
96350,93843,117,"45",2,"I",0
96357,93842,10,"61.1",2,"I",0
96358,93842,27,"3.3",2,"I",0
96359,93842,115,"46.6",2,"I",0
96360,93842,780,"320.4",2,"I",0
96361,93842,116,"450.3",2,"I",0
96362,93842,117,"45",2,"I",0
96363,93877,6896,"7.9",2,"I",0
96364,93877,6903,"13.7",2,"I",0
96365,93877,6898,"15.7",2,"I",0
96366,93877,6894,"1060.3",2,"I",0
96367,93879,6896,"7.9",2,"I",0
96368,93879,6903,"13.7",2,"I",0
96369,93879,6898,"15.7",2,"I",0
96370,93879,6894,"1060.3",2,"I",0
96375,93878,6896,"7.9",2,"I",0
96376,93878,6903,"13.7",2,"I",0
96377,93878,6898,"15.7",2,"I",0
96378,93878,6894,"1060.3",2,"I",0
96379,93882,10,"92.1",2,"I",0
96380,93882,41,"37.6",2,"I",0
96381,93882,15,"70.3",2,"I",0
96382,93882,305,"88.7",2,"I",0
96383,93882,312,"133.3",2,"I",0
96384,93882,3386,"177.8",2,"I",0
96385,93882,6899,"258.9",2,"I",0
96386,93882,117,"93.8",2,"I",0
96395,93888,10,"87.4",2,"I",0
96396,93888,24,"3.7",2,"I",0
96397,93888,62,"17.7",2,"I",0
96398,93888,15,"1023.6",2,"I",0
96399,93891,10,"85",2,"I",0
96400,93891,1386,"7.1",2,"I",0
96401,93891,14,"14.3",2,"I",0
96402,93891,32,"16.8",2,"I",0
96403,93891,1385,"170.8",2,"I",0
96404,93891,340,"623.2",2,"I",0
96405,93894,10,"87.7",2,"I",0
96406,93894,14,"10.1",2,"I",0
96407,93894,62,"18.7",2,"I",0
96408,93894,41,"147.9",2,"I",0
96409,93894,15,"821.3",2,"I",0
96410,93897,10,"87.4",2,"I",0
96411,93897,14,"2.7",2,"I",0
96412,93897,1385,"159.2",2,"I",0
96413,93897,340,"611.1",2,"I",0
