"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
196023,-1,-1,,,,,"LS",80,"S1","TOYOTA  WHITE","2005 - 2008","","0","-","-5735602",,"",1,"U",,,,,,,,0,"1",,,"-14451970:3.12;-38366:3.78;-1:93.1;",,,,,,,,,
196027,-1,-1,,,,,"LS",80,"S1","TRIUMPH RED SOLID","2007 - 2010","","0","040","-10612213",,"",1,"U",,,,,,,,0,"1",,,"-12182489:3.55;-1:20.97;-3014656:47.32;-2669056:28.16;",,,,,,,,,
196029,-1,-1,,,,,"LS",80,"S1","BLACK SOLID","2009 - 2009","","0","BS","-6333169",,"",1,"U",,,,,,,,0,"1",,,"-38366:1.46;-4291572:1.04;-16645630:97.5;",,,,,,,,,
196030,-1,-1,,,,,"LS",80,"S1","SNOW WHITE","2009 - 2016","","0","208","-10327268",,"",1,"U",,,,,,,,0,"1",,,"-1:97.86;-15987700:1.58;-4291572:0.56;",,,,,,,,,
196031,-1,-1,,,,,"LS",80,"S1","PINEAPPLE YELLOW SOLID","2009 - 2012","","0","201","-8035822",,"",1,"U",,,,,,,,0,"1",,,"-70098:30.96;-32768:0.37;-1:68.67;",,,,,,,,,
196032,-1,-1,,,,,"LS",80,"S1","CHINESE RED SOLID","2009 - 2013","","0","207","-10415598",,"",1,"U",,,,,,,,0,"1",,,"-2669056:29.46;-15987700:1.49;-6747345:69.04;",,,,,,,,,
196033,-1,-1,,,,,"LS",80,"S2","TRIUMPH RED SOLID","2007 - 2010","L","0","040","-9889524",,"",1,"U",,,,,,,,0,"1",,,"-6747345:24.53;-3014656:28.65;-2669056:46.32;-15987700:0.51;",,,,,,,,,
196034,-1,-1,,,,,"LS",80,"S1","WHEAT YELLOW SOLID","2010 - 2010","","0","314","-3629024",,"",1,"U",,,,,,,,0,"1",,,"-32768:0.64;-14408668:3.24;-1:96.11;",,,,,,,,,
196035,-1,-1,,,,,"LS",80,"S1","LEMON GREEN SOLID","2010 - 2010","","0","283","-5199571",,"",1,"U",,,,,,,,0,"1",,,"-15987700:1.94;-175:9.7;-16763136:1.47;-1:86.89;",,,,,,,,,
196036,-1,-1,,,,,"LS",80,"S1","ATHENS WHITE","2010 - 2016","","0","080","-11774906",,"",2,"U",,,,,,,,0,"1",,,"-14451970:1.59;-15987700:0.82;-1:97.59;",,,,,,,,,
196037,-1,-1,,,,,"LS",80,"S1","KAISER YELLOW","2010 - 2011","","0","318","-2905058",,"",1,"U",,,,,,,,0,"1",,,"-32768:1.64;-1:11.72;-4291572:19.31;-70098:67.33;",,,,,,,,,
196038,-1,-1,,,,,"LS",80,"S1","GEELY BLACK","2010 - 2010","","0","-","-11194876",,"",1,"U",,,,,,,,0,"1",,,"-526345:0.66;-7131136:0.66;-16645630:98.67;",,,,,,,,,
196039,-1,-1,,,,,"LS",80,"S1","ZHONGDONG YELLOW SOLID","2011 - 2012","","0","-","-8368624",,"",1,"U",,,,,,,,0,"1",,,"-15987700:8.2;-175:83.45;-2669056:8.35;",,,,,,,,,
196040,-1,-1,,,,,"LS",80,"S1","XUANCAI ORANGE SOLID","2011 - 2012","","0","-","-8694506",,"",1,"U",,,,,,,,0,"1",,,"-175:59.86;-70098:35.92;-15987700:4.22;",,,,,,,,,
196041,-1,-1,,,,,"LS",80,"S1","GLAMOUR BLACK SOLID","2012 - 2012","","0","-","-8106490",,"",1,"U",,,,,,,,0,"1",,,"-16645630:99.56;-7131136:0.44;",,,,,,,,,
196042,-1,-1,,,,,"LS",80,"S1","FENGSHANG WHITE SOLID","2012 - 2012","","0","-","-10139636",,"",1,"U",,,,,,,,0,"1",,,"-15987700:1.16;-1:98.84;",,,,,,,,,
223703,-1,-1,,,,,"BC",80,"S1","AETHER BLUE PEARL","2009 - 2011","","","206","-986896",,"",0,"I",,,,,,,,0,"1",,,"-792321:0.15;-16771281:26.16;-9890257:8.73;-2628353:6.09;-16768993:58.86;",,,,,,,,,
223704,-1,-1,,,,,"BC",80,"S1","ALPS SILVER MET","2010 - 2016","","","101","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16777216:5.27;-1907998:13.21;-2368549:52.84;-1:1.73;-3775744:0.27;-16767426:0.26;-4144960:26.42;",,,,,,,,,
223705,-1,-1,,,,,"BC",80,"S1","APPLE GREEN","2005 - 2005","","","MG-03-056","-986896",,"",0,"I",,,,,,,,0,"1",,,"-11709141:31.55;-41969:9.02;-16765184:7.89;-1:51.54;",,,,,,,,,
223706,-1,-1,,,,,"BC",80,"S1","ATHENS WHITE","2010 - 2016","","","080","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16777216:1.34;-1401344:3.83;-1:94.84;",,,,,,,,,
223707,-1,-1,,,,,"2K",80,"S1","ATHENS WHITE","2010 - 2016","","","080","-986896",,"",0,"I",,,,,,,,0,"1",,,,,,,,,,,,
223708,-1,-1,,,,,"BC",80,"S1","BLACK SOLID","2009 - 2009","","","BS","-986896",,"",0,"I",,,,,,,,0,"1",,,"-460552:24.47;-16777216:75.53;",,,,,,,,,
223709,-1,-1,,,,,"2K",80,"S1","BLACK SOLID","2009 - 2009","","","BS","-986896",,"",0,"I",,,,,,,,0,"1",,,,,,,,,,,,
223710,-1,-1,,,,,"BC",80,"S1","CHINESE RED SOLID","2009 - 2013","","","207","-986896",,"",0,"I",,,,,,,,0,"1",,,"-2604543:6.42;-9890257:7.48;-13092808:4.87;-3801088:81.23;",,,,,,,,,
223711,-1,-1,,,,,"2K",80,"S1","CHINESE RED SOLID","2009 - 2013","","","207","-986896",,"",0,"I",,,,,,,,0,"1",,,,,,,,,,,,
223712,-1,-1,,,,,"BC",80,"S1*","KAISER YELLOW (Sous-Couche)","2010 - 2011","","","318","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16777216:0.38;-1:99.62;",,,,,,,,,
223713,-1,-1,,,,,"BC",80,"S1","KAISER YELLOW (Couche)","2010 - 2011","","","318","-986896",,"",0,"I",,,,,,,,0,"1",,,"-235:43.85;-41969:38.35;-1:9.56;-13092808:8.23;",,,,,,,,,
223714,-1,-1,,,,,"BC",80,"S1","LEMON GREEN SOLID","2010 - 2010","","","283","-986896",,"",0,"I",,,,,,,,0,"1",,,"-1:90.79;-4227838:5.01;-16777216:3.59;-16761826:0.61;",,,,,,,,,
223715,-1,-1,,,,,"2K",80,"S1","LEMON GREEN SOLID","2010 - 2010","","","283","-986896",,"",0,"I",,,,,,,,0,"1",,,,,,,,,,,,
