"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
198786,-1,-1,,,,,"LS",81,"S1","DIAMOND WHITE SOLID","2010 - 2015","","0","N9B2","-10861523",,"",1,"U",,,,,,,,0,"1",,,"-4291572:0.26;-1:98.99;-14451970:0.53;-38366:0.22;",,,,,,,,,
198787,-1,-1,,,,,"LS",81,"S1","DEEP BLACK SOLID","2010 - 2015","","0","N1B1","-11194876",,"",1,"U",,,,,,,,0,"1",,,"-526345:2.82;-4291572:3.8;-16645630:93.38;",,,,,,,,,
198788,-1,-1,,,,,"LS",81,"S1","PASSION YELLOW SOLID","2011 - 2012","","0","2B2","-7773666",,"",2,"U",,,,,,,,0,"1",,,"-1:49.9;-14408668:2.4;-32768:8.95;-4291572:38.75;",,,,,,,,,
224076,-1,-1,,,,,"BC",81,"S1","AGATE RED PEARL","2010 - 2010","","","8P1","-986896",,"",0,"I",,,,,,,,0,"1",,,"-4653056:37.47;-12845056:17.31;-8320469:10.81;-460552:8.8;-9890257:7.96;-3801088:10.28;-16777216:5.48;-16777216:1.9;",,,,,,,,,
224077,-1,-1,,,,,"BC",81,"S1","AMBER GOLD MET","2011 - 2015","","","1M1","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16777216:44.82;-13691136:12.29;-41969:9.87;-12845056:15.19;-460552:10.12;-2368549:7.71;",,,,,,,,,
224078,-1,-1,,,,,"BC",81,"S1","BEACH GOLD MET","2014 - 2015","","","N8M1","-986896",,"",0,"I",,,,,,,,0,"1",,,"-1907998:16.77;-2368549:67.07;-3775744:7.91;-16777216:2.62;-1:1.46;-16744193:0.79;-3085363:3.38;",,,,,,,,,
224079,-1,-1,,,,,"BC",81,"S1","BORDEAUX RED PEARL","2014 - 2017","","","8M1","-986896",,"",0,"I",,,,,,,,0,"1",,,"-460552:7.28;-792321:2.57;-12582912:26.41;-12845056:18.2;-4653056:24.16;-16777216:21.38;",,,,,,,,,
224080,-1,-1,,,,,"BC",81,"S1","COFFEE GOLD PEARL MET","2013 - 2015","","","C1P3","-986896",,"",0,"I",,,,,,,,0,"1",,,"-7981310:6.53;-2368549:18.16;-3775744:28.68;-16777216:27.24;-235:0.93;-2649856:6.83;-9830400:5.86;-792321:5.77;",,,,,,,,,
224081,-1,-1,,,,,"BC",81,"S1","CRYSTAL BLUE MET","2014 - 2015","","","C6M5","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16771281:11.5;-4144960:31.89;-792321:15.93;-16777216:0.72;-14942153:3.59;-1907998:35.18;-235:1.19;",,,,,,,,,
224082,-1,-1,,,,,"BC",81,"S1*","DAZZLING RED (Sous-Couche)","2012 - 2015","","","C0P1","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16777216:100;",,,,,,,,,
224083,-1,-1,,,,,"BC",81,"S1","DAZZLING RED (Couche)","2012 - 2015","","","C0P1","-986896",,"",0,"I",,,,,,,,0,"1",,,"-4653056:41.58;-5895422:33.25;-8320469:21.08;-9890257:2.73;-16777216:1.35;",,,,,,,,,
224084,-1,-1,,,,,"BC",81,"S1","DEEP BLACK SOLID","2010 - 2015","","","N1B1","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16777216:84.16;-460552:7.4;-7981310:3.24;-4227838:5.2;",,,,,,,,,
224085,-1,-1,,,,,"2K",81,"S1","DEEP BLACK SOLID","2010 - 2015","","","N1B1","-986896",,"",0,"I",,,,,,,,0,"1",,,,,,,,,,,,
224086,-1,-1,,,,,"BC",81,"S1","DEEP PURPLE PEARL","2010 - 2014","","","7P1","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16777216:80.22;-792321:9;-460552:4.73;-1516057:6.04;",,,,,,,,,
224087,-1,-1,,,,,"BC",81,"S1","DIAMOND WHITE SOLID","2010 - 2015","","","N9B2","-986896",,"",0,"I",,,,,,,,0,"1",,,"-13092808:50.07;-1401344:40.15;-8388608:9.78;",,,,,,,,,
224088,-1,-1,,,,,"2K",81,"S1","DIAMOND WHITE SOLID","2010 - 2015","","","N9B2","-986896",,"",0,"I",,,,,,,,0,"1",,,,,,,,,,,,
224089,-1,-1,,,,,"BC",81,"S1*","DREAMY BLUE PEARL MET (Sous-Couche)","2012 - 2016","","","C6P2","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16777216:100;",,,,,,,,,
224090,-1,-1,,,,,"BC",81,"S1","DREAMY BLUE PEARL MET (Couche)","2012 - 2016","","","C6P2","-986896",,"",0,"I",,,,,,,,0,"1",,,"-2628353:46.17;-2368549:1.53;-16777216:3.08;-16771281:20.79;-16767426:27.26;-792321:1.15;",,,,,,,,,
