"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
904589,198787,1088371,"4.77159481618619",2,"I",0
904590,198787,1088378,"28.0993916953187",2,"I",0
904591,198787,1088368,"37.9076699285903",2,"I",0
904592,198787,1088362,"931.521343559905",2,"I",0
1443002,198786,1088372,"2.71425848020268",2,"I",0
1443003,198786,1088357,"6.61600504549403",2,"I",0
1443004,198786,1088377,"1239.39827852255",2,"I",0
1443005,198786,1088368,"3.27068146864423",2,"I",0
1443006,198786,1088348,"11.5271164831108",2,"I",0
1459950,224076,10,"79.8271131909915",2,"I",0
1459951,224076,24,"45.3450921322024",2,"I",0
1459952,224076,25,"15.691102661597",2,"I",0
1459953,224076,459,"85.0391927464171",2,"I",0
1459954,224076,465,"65.8367943843229",2,"I",0
1459955,224076,115,"72.786233791557",2,"I",0
1459956,224076,293,"89.4557443696987",2,"I",0
1459957,224076,342,"143.195027785902",2,"I",0
1459958,224076,337,"309.99986155796",2,"I",0
1459959,224076,117,"30.7238373793507",2,"I",0
1459960,224077,10,"107.86436984727",2,"I",0
1459961,224077,338,"50.0983770353491",2,"I",0
1459962,224077,6899,"64.1022540806633",2,"I",0
1459963,224077,115,"65.7048104326798",2,"I",0
1459964,224077,455,"79.7888152955948",2,"I",0
1459965,224077,342,"98.6311797883436",2,"I",0
1459966,224077,1167,"123.59407681014",2,"I",0
1459967,224077,25,"291.048888239319",2,"I",0
1459968,224077,117,"46.9672284706398",2,"I",0
1459969,224078,10,"91.7193429560301",2,"I",0
1459970,224078,6940,"5.50316057736181",2,"I",0
1459971,224078,15,"10.1677443048399",2,"I",0
1459972,224078,880,"10.1677443048399",2,"I",0
1459973,224078,25,"18.2390464849706",2,"I",0
1459974,224078,411,"23.5849739029792",2,"I",0
1459975,224078,27,"55.1049812479829",2,"I",0
1459976,224078,340,"117.924869514896",2,"I",0
1459977,224078,338,"467.338878440188",2,"I",0
1459978,224078,117,"25.3145386558643",2,"I",0
1459979,224078,1167,"116.834719610047",2,"I",0
1459980,224079,10,"88.9918865635426",2,"I",0
1459981,224079,1165,"17.2898522466311",2,"I",0
1459982,224079,115,"48.9201113566446",2,"I",0
1459983,224079,463,"48.9201113566446",2,"I",0
1459984,224079,340,"61.0230079292864",2,"I",0
1459985,224079,341,"177.576953074223",2,"I",0
1459986,224079,342,"122.381642402184",2,"I",0
1459987,224079,337,"162.44324710776",2,"I",0
1459988,224079,25,"143.770206681399",2,"I",0
1459989,224079,117,"67.5829812816847",2,"I",0
1459990,224080,10,"103.838787313668",2,"I",0
1459991,224080,305,"5.93364498935245",2,"I",0
1459992,224080,1524,"43.43428132206",2,"I",0
1459993,224080,789,"37.2632905331334",2,"I",0
1459994,224080,1165,"36.717395194113",2,"I",0
1459995,224080,92,"41.5473822154459",2,"I",0
1459996,224080,338,"115.539935232671",2,"I",0
1459997,224080,340,"172.90641498973",2,"I",0
1459998,224080,27,"182.423981552652",2,"I",0
1459999,224080,25,"173.309902849006",2,"I",0
1460000,224080,1167,"28.8849838081677",2,"I",0
1460001,224081,10,"91.2902131351784",2,"I",0
1460002,224081,305,"3.33861350894367",2,"I",0
1460003,224081,25,"2.0031681053662",2,"I",0
1460004,224081,387,"10.0471400284774",2,"I",0
1460005,224081,880,"16.6930675447183",2,"I",0
1460006,224081,6931,"32.1341550235828",2,"I",0
1460007,224081,1165,"44.5183245083207",2,"I",0
1460008,224081,28,"89.1409806887959",2,"I",0
1460009,224081,340,"157.123498264661",2,"I",0
1460010,224081,338,"393.288671353564",2,"I",0
1460011,224081,1167,"98.322167838391",2,"I",0
1460012,224082,10,"89.3814974119705",2,"I",0
1460013,224082,25,"32.165108988846",2,"I",0
1460014,224082,15,"996.853393599184",2,"I",0
1460015,224083,10,"88.1508846727777",2,"I",0
1460016,224083,25,"8.21131528458751",2,"I",0
1460017,224083,465,"16.6037625239821",2,"I",0
1460018,224083,293,"128.150858026007",2,"I",0
1460019,224083,494,"202.123135791942",2,"I",0
1460020,224083,337,"252.709265615007",2,"I",0
1460021,224083,342,"248.150778085696",2,"I",0
1460022,224084,10,"129.550369693179",2,"I",0
1460023,224084,92,"25.8060770822307",2,"I",0
1460024,224084,62,"41.4501756243083",2,"I",0
1460025,224084,115,"58.9810742754495",2,"I",0
1460026,224084,25,"670.512303324833",2,"I",0
1460027,224085,6897,"21.3056727446073",0,"I",0
1460028,224085,6896,"30.7993922059349",0,"I",0
1460029,224085,6895,"43.8256584435705",0,"I",0
1460030,224085,223275,"830.369276605887",0,"I",0
1460031,224086,10,"111.092536988981",2,"I",0
1460032,224086,92,"12.3832506827167",2,"I",0
1460033,224086,115,"23.4415445022621",2,"I",0
1460034,224086,336,"29.9261891498988",2,"I",0
1460035,224086,1165,"44.6153743733272",2,"I",0
1460036,224086,340,"256.837791937829",2,"I",0
1460037,224086,25,"397.487058951401",2,"I",0
1460038,224086,117,"61.9162534135837",2,"I",0
1460039,224087,10,"92.9695301827397",2,"I",0
1460040,224087,14,"16.1104733809816",2,"I",0
1460041,224087,32,"66.118741214437",2,"I",0
1460042,224087,41,"82.4626997168821",2,"I",0
1460043,224087,15,"814.438555504959",2,"I",0
1460044,224088,6905,"33.7277545112707",0,"I",0
1460045,224088,6912,"4.98317574557826",0,"I",0
1460046,224088,6898,"10.3582866621571",0,"I",0
1460047,224088,6894,"1023.03078308099",0,"I",0
1460048,224089,10,"95.1757648289317",2,"I",0
1460049,224089,25,"137.977727940141",2,"I",0
1460050,224089,15,"845.946507230927",2,"I",0
1460051,224090,10,"99.1451473378387",2,"I",0
1460052,224090,338,"12.1605947306823",2,"I",0
1460053,224090,25,"24.4346278450463",2,"I",0
1460054,224090,6931,"164.712533105883",2,"I",0
1460055,224090,1163,"215.986682530029",2,"I",0
1460056,224090,413,"365.816099696868",2,"I",0
1460057,224090,117,"41.8587635785612",2,"I",0
1460058,224090,1165,"9.14540249242169",2,"I",0
1460059,224090,1167,"3.04014868267057",2,"I",0
1460068,224092,10,"90.5663944133395",2,"I",0
1460069,224092,24,"12.5861412121852",2,"I",0
1460070,224092,880,"13.145065246279",2,"I",0
1460071,224092,455,"23.9871564631902",2,"I",0
1460072,224092,28,"127.931501137014",2,"I",0
1460073,224092,338,"526.713449017831",2,"I",0
1460074,224092,117,"4.19193025570314",2,"I",0
1460075,224092,1167,"131.678362254458",2,"I",0
1460076,224093,10,"91.3269469828527",2,"I",0
1460077,224093,27,"7.52534043138706",2,"I",0
1460078,224093,41,"67.3210066330743",2,"I",0
1460079,224093,15,"933.726705952686",2,"I",0
1460080,224094,6912,"12.4309760245789",0,"I",0
1460081,224094,6898,"7.78444615131398",0,"I",0
1460082,224094,6894,"1079.68457782411",0,"I",0
1460083,224095,1088377,"1202.74790167636",2,"I",0
1460084,224095,1088357,"26.5943804089907",2,"I",0
1460085,224095,1088368,"7.00455065541417",2,"I",0
1460086,224095,1088348,"6.85316725923991",2,"I",0
1460087,224096,10,"90.2119735532886",2,"I",0
1460088,224096,14,"4.39203436956582",2,"I",0
1460089,224096,27,"13.7843895589425",2,"I",0
1460090,224096,41,"38.291116545933",2,"I",0
1460091,224096,15,"962.02048597227",2,"I",0
1460092,224097,6905,"8.17409715746604",0,"I",0
1460093,224097,6912,"21.9894726348734",0,"I",0
1460094,224097,6898,"4.27585871025759",0,"I",0
1460095,224097,6894,"1074.2605714974",0,"I",0
