"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
44889,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",21,"S1","LIGHT GREEN MET","1987 - 1988","","0","-","-3225664","","",0,"0",,,,,,,,,"1",,,"-1907998:8.9;-3775744:15.53;-16777216:5.94;-2368549:44.5;-13691136:1.06;-4144960:24.07;",,,,,,,,,
87749,-1,-1,,,,,"BC",21,"S1","Special Color"," - ","","0","-","-2830136",,"",0,"I",,,,,,,,,"1",,,,,,,,,,,,
95967,-1,-1,,,,,"BC",21,"S1","HINO YELLOW (Couche)","2011 - 2011","","0","","-986896",,"",0,"I",,,,,,,,,"1",,,"-41969:47.88;-205036:20.3;-4227838:16.28;-235:13.53;-2604543:2.02;",,,,,,,,,
95968,-1,-1,,,,,"2K",21,"S1","HINO YELLOW (Couche)","2011 - 2011","","0","","-986896",,"",0,"I",,,,,,,,,"1",,,,,,,,,,,,
118966,-1,-1,,,,,"BC",21,"S1","CHAMPAGNE MET","1987 - 1988","","0","-","-2895668",,"",0,"I",,,,,,,,1,"1",,,"-2368549:15.97;-16777216:1.24;-13691136:2.12;-3775744:2.83;-4144960:69.91;-460552:5.77;-16777216:2.15;",,,,,,,,,
118967,-1,-1,,,,,"BC",21,"S1","DARK RED MET","1987 - 1988","","0","-","-6060924",,"",0,"I",,,,,,,,1,"1",,,"-2368549:5.54;-16777216:8.02;-460552:4.8;-9890257:45.92;-1907998:1.11;-4144960:1.86;-7981310:32.74;",,,,,,,,,
118968,-1,-1,,,,,"BC",21,"S1","GOLD MET","1987 - 1988","","0","-","-4211784",,"",0,"I",,,,,,,,1,"1",,,"-16777216:1.08;-16777216:1.89;-460552:18.76;-13691136:27.54;-3775744:1.2;-1907998:3.13;-4144960:30.72;-2368549:15.67;",,,,,,,,,
142654,-1,-1,,,,,"2K",21,"S1*","HINO YELLOW (Sous-Couche)","2011 - 2011","","0","","-986896",,"",0,"I",,,,,,,,1,"1",,,"-16777216:0.6;-1:99.4;",,,,,,,,,
145304,-1,-1,,,,,"BC",21,"S1*","HINO YELLOW (Sous-Couche)","2011 - 2011","","0","","-986896",,"",0,"I",,,,,,,,1,"1",,,"-16777216:100;",,,,,,,,,
150465,-1,-1,,,,,"BC",21,"S1","BLACK","2005 - 2005","","0","202","-986896",,"",1,"U",,,,,,,,0,"1",,,,,,,,,,,,
150466,-1,-1,,,,,"2K",21,"S1","BLACK","2005 - 2005","","0","202","-986896",,"",0,"I",,,,,,,,0,"1",,,,,,,,,,,,
150467,-1,-1,,,,,"BC",21,"S1","WHITE","2005 - 2005","","0","058","-986896",,"",0,"I",,,,,,,,0,"1",,,"-1:97.9;-4227838:2.1;",,,,,,,,,
150468,-1,-1,,,,,"2K",21,"S1","WHITE","2005 - 2005","","0","058","-986896",,"",0,"I",,,,,,,,0,"1",,,,,,,,,,,,
198782,-1,-1,,,,,"LS",21,"S1","WHITE","1980 -","","0","-","-12695992",,"",1,"U",,,,,,,,0,"1",,,"-1:92.57;-15987700:1.61;-14451970:5.81;",,,,,,,,,
198783,-1,-1,,,,,"LS",21,"S1","WHITE","2001 -","","0","-","-12695992",,"",1,"U",,,,,,,,0,"1",,,"-15987700:16.68;-14451970:60.05;-4291572:23.27;",,,,,,,,,
198784,-1,-1,,,,,"LS",21,"S1","HINO RED","2009 - 2009","","0","-","-6550000",,"",1,"U",,,,,,,,0,"1",,,"-3014656:32.75;-12182489:12.46;-6747345:10.22;-2669056:35.68;-15987700:8.89;",,,,,,,,,
198785,-1,-1,,,,,"LS",21,"S1","HINO YELLOW","2011 - 2011","","0","-","-8765431",,"",1,"U",,,,,,,,0,"1",,,"-2669056:2.41;-1:12.01;-32768:15.14;-70098:69.42;-15987700:1.03;",,,,,,,,,
224121,-1,-1,,,,,"LS",21,"S1","BLACK","2005 - 2005","","","202","-986896",,"",0,"I",,,,,,,,0,"0",,,,,,,,,,,,
224122,-1,-1,,,,,"LS",21,"S1","PENSKE YELLOW","2011 - 2011","","","C52","-986896",,"",0,"I",,,,,,,,0,"1",,,"-14408668:6.11;-1:17.85;-32768:18.77;-38366:57.27;",,,,,,,,,
224123,-1,-1,,,,,"LS",21,"S1","WHITE","2005 - 2005","","","058","-986896",,"",0,"I",,,,,,,,0,"1",,,"-16738485:0.68;-4291572:1.73;-1:97.59;",,,,,,,,,
229279,-1,-1,,,,,"LS",21,"S1","HINO RED","2006 - 2006","","","C31","-986896",,"",0,"I",,,,,,,,0,"0","12:8:2016:15:29:18",,"-1:11.34;-3014656:45.14;-15987700:12.25;-6747345:14.08;-12182489:17.19;",,,,,,,,,
