"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
1490,8954,6903,"10.13",2,"U",0
1491,8954,6912,"5.98",2,"U",0
1492,8954,6898,"12.68",2,"U",0
1493,8954,6894,"1026.71",2,"U",0
1494,8956,6903,"18.3",2,"U",0
1495,8956,6912,"10.86",2,"U",0
1496,8956,6898,"12.31",2,"U",0
1497,8956,6894,"1004.33",2,"U",0
1498,8958,6912,"14.21",2,"U",0
1499,8958,6898,"15.95",2,"U",0
1500,8958,6894,"1090.74",2,"U",0
1501,8965,6903,"18.07",2,"U",0
1502,8965,6912,"6.5",2,"U",0
1503,8965,6894,"1087.23",2,"U",0
1504,8967,6903,"12.55",2,"U",0
1505,8967,6898,"1.13",2,"U",0
1506,8967,6912,"6.36",2,"U",0
1507,8967,6894,"1091.06",2,"U",0
1508,8969,6903,"5.64",2,"U",0
1509,8969,6912,"8.09",2,"U",0
1510,8969,6898,"4.71",2,"U",0
1511,8969,6894,"1076.46",2,"U",0
1512,8971,6903,"15.45",2,"U",0
1513,8971,6898,"0.73",2,"U",0
1514,8971,6912,"3.98",2,"U",0
1515,8971,6894,"1097.84",2,"U",0
1516,8973,6905,"20.93",2,"U",0
1517,8973,6903,"33.98",2,"U",0
1518,8973,6912,"9.33",2,"U",0
1519,8973,6894,"1023.37",2,"U",0
1520,8977,6903,"3.43",2,"U",0
1521,8977,6898,"5.61",2,"U",0
1522,8977,6912,"9.23",2,"U",0
1523,8977,6894,"1064.92",2,"U",0
1524,8979,6912,"7.35",2,"U",0
1525,8979,6898,"6.29",2,"U",0
1526,8979,6894,"1072.95",2,"U",0
1527,8981,6898,"7.39",2,"U",0
1528,8981,6912,"9.05",2,"U",0
1529,8981,6894,"1062.56",2,"U",0
1530,8983,6903,"19.2",2,"U",0
1531,8983,6905,"31.78",2,"U",0
1532,8983,6898,"4.97",2,"U",0
1533,8983,6912,"9.94",2,"U",0
1534,8983,6894,"1005.52",2,"U",0
1535,9121,6894,"17.26",2,"U",0
1536,9121,6928,"72.18",2,"U",0
1537,9121,6898,"4.87",2,"U",0
1538,9121,6924,"492.89",2,"U",0
1539,9121,6916,"354.2",2,"U",0
