"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
9276,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","BRIGHT BLUE MAT","2006 - 2011","","0","2B","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9281,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","DARK GREY MAT","2006 - 2011","","0","2M","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9288,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","DARK BLUE MAT","2006 - 2011","","0","3E","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9300,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","SHEER YELLOW","2005 - 2010","","0","3W","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9309,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","REDFIRE PEARL MAT","2007 - 2008","","0","5F","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9310,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","DARK RED MAT","2006 - 2011","","0","5R","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9317,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","SILVER MAT","2006 - 2011","","0","5S","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9323,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","SILVER MAT","2007 - 2009","","0","6M","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9331,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S2","CRYSTAL WHITE","2006 - 2012","B","0","7F","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
9332,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S3","CRYSTAL WHITE","2006 - 2012","DRT","0","7F","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
9336,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","CHERRY MAT","2007 - 2008","","0","7P","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9337,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","BEIGE MAT","2006 - 2010","","0","9G","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9345,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","AMBASSADOR BLUE","1985 - 1987","","0","AB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9346,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S2","AMBASSADOR BLUE","1985 - 1987","L","0","AB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9347,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S3","AMBASSADOR BLUE","1985 - 1987","L+R","0","AB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9348,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","REDDISH BEIGE","1997 - 1997","","0","AO","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9349,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","BEIGE","2007 - 2011","","0","AR","0","","",0,"0",,,,,,,,,"0",,,,,,,,,,,,
9350,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","CANTON CHERRY MAT","1999 - 2005","","0","AR","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9354,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","GREYISH PURPLE","1997 - 1997","","0","AS","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9355,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","INDIAN RED","1997 - 1997","","0","AV","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9356,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","GRACE BEIGE MAT","2006 - 2008","","0","B7","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9360,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","SLATE BLUE MAT","2006 - 2010","","0","BF","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9362,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","BAHAMAS GOLD","1986 - 1990","","0","BG","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9369,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","ELECTRIC RED (Couche)","2009 - 2014","","0","BH","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9371,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","AQUA SILVER MAT","2006 - 2009","","0","BU","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9376,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","CHAMPAGNE SILVER MAT","2006 - 2009","","0","BW","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9383,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","BRIGHT SILVER MAT","1998 - 2004","","0","BX","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9388,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","CREAM BEIGE","1988 - 1992","","0","CB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9389,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","COMET BLUE","1997 - 2001","","0","CE","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9390,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","CREAM BEIGE","1989 - 1991","","0","CI","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9391,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S2","CREAM BEIGE","1989 - 1991","L","0","CI","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9392,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","CLEAN SILVER MAT","2000 - 2006","","0","CS","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9397,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","CORONA BLUE","2004 - 2008","","0","CT","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9398,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","VIVID RED","2004 - 2006","","0","DH","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9400,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","RIO RED MAT","2007 - 2010","","0","DR","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9408,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","VERY DARK RED","1989 - 1990","","0","DS","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9410,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","OCHRE BEIGE MAT","2001 - 2004","","0","DV","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9413,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","EBONY BLACK","1984 - 2018","","0","EB","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
9414,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S2","EBONY BLACK","1984 - 2018","L","0","EB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9415,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S3","EBONY BLACK","1984 - 2018","Y","0","EB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9416,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S4","EBONY BLACK","1984 - 2018","L+B","0","EB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9420,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S2","CAPTIVA WHITE","2008 - 2009","B","0","EC","0","","2*",0,"0",,,,,,,,,"0",,,,,,,,,,,,
9421,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S3","CAPTIVA WHITE","2008 - 2009","DRT","0","EC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9424,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","VIRTUAL YELLOW","2008 - 2011","","0","ES","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9425,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S2","VIRTUAL YELLOW","2008 - 2011","DRT","0","ES","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9426,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S3","VIRTUAL YELLOW","2008 - 2011","R","0","ES","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9427,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","EBONY BLACK","2006 - 2010","","0","F1","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9428,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S2","EBONY BLACK","2006 - 2010","L","0","F1","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9429,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S3","EBONY BLACK","2006 - 2010","Y","0","F1","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9430,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S4","EBONY BLACK","2006 - 2010","L+B","0","F1","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9431,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","CHARCOAL GREY MAT","2007 - 2009","","0","F2","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9434,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","FOREST GREEN","1984 - 1984","","0","FG","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9436,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","CORAL BLUE","2000 - 2000","","0","FQ","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9441,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","FLAMING ROSE","1987 - 1989","","0","FR","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9442,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S2","FLAMING ROSE","1987 - 1989","R","0","FR","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9443,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S3","FLAMING ROSE","1987 - 1989","D+R","0","FR","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9444,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S4","FLAMING ROSE","1987 - 1989","D+Y","0","FR","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9445,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",24,"S1","BLUISH RED (Couche)","1997 - 2000","","0","FW","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
