"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
1562,9420,6896,"4.01",2,"U",0
1563,9420,6898,"9.55",2,"U",0
1564,9420,6905,"10.53",2,"U",0
1565,9420,6894,"1103.51",2,"U",0
1566,9471,6898,"2.32",2,"U",0
1567,9471,6916,"39.4",2,"U",0
1568,9471,6924,"90.84",2,"U",0
1569,9471,6894,"45.1",2,"U",0
1570,9471,6928,"778.04",2,"U",0
1571,9473,6894,"32.24",2,"U",0
1572,9473,6898,"3.25",2,"U",0
1573,9473,6920,"232.75",2,"U",0
1574,9473,6928,"673.56",2,"U",0
1575,9477,223275,"3.49",2,"U",0
1576,9477,6894,"19.74",2,"U",0
1577,9477,6924,"73.71",2,"U",0
1578,9477,6928,"856.47",2,"U",0
1579,9481,6924,"8.01",2,"U",0
1580,9481,6894,"58.75",2,"U",0
1581,9481,6898,"9.29",2,"U",0
1582,9481,6928,"869.34",2,"U",0
1583,9505,6925,"11.39",2,"U",0
1584,9505,6916,"228.43",2,"U",0
1585,9505,6920,"113.34",2,"U",0
1586,9505,6898,"4.9",2,"U",0
1587,9505,6928,"430.68",2,"U",0
1588,9505,6924,"129.66",2,"U",0
1589,9508,6895,"14.24",2,"U",0
1590,9508,6928,"45.82",2,"U",0
1591,9508,6897,"97.15",2,"U",0
1592,9508,6916,"334.73",2,"U",0
1593,9508,6924,"435.96",2,"U",0
1594,9521,6925,"11.39",2,"U",0
1595,9521,6916,"228.43",2,"U",0
1596,9521,6920,"113.34",2,"U",0
1597,9521,6898,"4.9",2,"U",0
1598,9521,6928,"430.68",2,"U",0
1599,9521,6924,"129.66",2,"U",0
1600,9524,6895,"14.24",2,"U",0
1601,9524,6928,"45.82",2,"U",0
1602,9524,6897,"97.15",2,"U",0
1603,9524,6916,"334.73",2,"U",0
1604,9524,6924,"435.96",2,"U",0
1605,9582,6894,"4",2,"U",0
1606,9582,6924,"4.86",2,"U",0
1607,9582,6925,"61.94",2,"U",0
1608,9582,6928,"889.79",2,"U",0
1609,9584,6928,"949.6",2,"U",0
1610,9724,6894,"34.37",2,"U",0
1611,9724,6923,"162.36",2,"U",0
1612,9724,223275,"185.24",2,"U",0
1613,9724,6927,"541.13",2,"U",0
1614,9726,6924,"5.41",2,"U",0
1615,9726,6894,"25.83",2,"U",0
1616,9726,6898,"95.94",2,"U",0
1617,9726,6897,"102.89",2,"U",0
1618,9726,223275,"161.4",2,"U",0
1619,9726,6908,"256.46",2,"U",0
1620,9726,223475,"277.87",2,"U",0
1621,9728,6894,"46.24",2,"U",0
1622,9728,223275,"298.87",2,"U",0
1623,9728,6909,"582.29",2,"U",0
1624,9736,6912,"12.67",2,"U",0
1625,9736,6900,"70.69",2,"U",0
1626,9736,6910,"118.76",2,"U",0
1627,9736,6916,"126.29",2,"U",0
1628,9736,6909,"136.46",2,"U",0
1629,9736,6894,"568.44",2,"U",0
1630,9741,6923,"19.61",2,"U",0
1631,9741,6907,"44.14",2,"U",0
1632,9741,223275,"175.25",2,"U",0
1633,9741,6909,"273.17",2,"U",0
1634,9741,6894,"499.24",2,"U",0
1635,9742,6894,"160.95",2,"U",0
1636,9742,223275,"181.88",2,"U",0
1637,9742,6927,"299.32",2,"U",0
1638,9742,6906,"305.15",2,"U",0
34167,46705,10,"87.4",2,"U",0
34168,46705,880,"7",2,"U",0
34169,46705,28,"232.3",2,"U",0
34170,46705,338,"558.2",2,"U",0
34171,46705,117,"43",2,"U",0
34172,46706,10,"87.5",2,"U",0
34173,46706,24,"2.3",2,"U",0
34174,46706,115,"50",2,"U",0
34175,46706,28,"169.6",2,"U",0
34176,46706,338,"618.1",2,"U",0
34177,46710,10,"87.4",2,"U",0
34178,46710,115,"50.3",2,"U",0
34179,46710,32,"60.5",2,"U",0
34180,46710,28,"110.8",2,"U",0
34181,46710,3386,"594.2",2,"U",0
34182,46710,117,"35.1",2,"U",0
34208,46751,10,"83.4",2,"U",0
34209,46751,24,"3",2,"U",0
34210,46751,32,"31.3",2,"U",0
34211,46751,13,"44.1",2,"U",0
34212,46751,115,"100",2,"U",0
34213,46751,413,"143.1",2,"U",0
34214,46751,338,"247",2,"U",0
34215,46751,116,"270.7",2,"U",0
34216,46751,117,"3.9",2,"U",0
34217,46752,10,"87.5",2,"U",0
34218,46752,1163,"2",2,"U",0
34219,46752,24,"6.2",2,"U",0
34220,46752,413,"21.6",2,"U",0
34221,46752,115,"117.3",2,"U",0
34222,46752,28,"233.5",2,"U",0
34223,46752,116,"401.2",2,"U",0
34224,46752,117,"50.4",2,"U",0
34307,46850,10,"87.5",2,"U",0
34308,46850,1386,"79.8",2,"U",0
34309,46850,340,"715",2,"U",0
34310,46850,117,"27.8",2,"U",0
34311,46866,10,"87.5",2,"U",0
34312,46866,1386,"106",2,"U",0
34313,46866,340,"677.5",2,"U",0
34314,46866,117,"42.4",2,"U",0
34315,46869,10,"87.4",2,"U",0
34316,46869,24,"20.3",2,"U",0
34317,46869,62,"29.2",2,"U",0
34318,46869,15,"989.3",2,"U",0
34323,46871,10,"87.4",2,"U",0
34324,46871,24,"17.5",2,"U",0
34325,46871,27,"19.5",2,"U",0
34326,46871,115,"34.9",2,"U",0
34327,46871,28,"204.5",2,"U",0
34328,46871,338,"542.4",2,"U",0
34329,46871,117,"21.5",2,"U",0
34330,46872,10,"87.4",2,"U",0
34331,46872,24,"13.4",2,"U",0
34332,46872,27,"16.4",2,"U",0
34333,46872,28,"74.2",2,"U",0
34334,46872,115,"75.1",2,"U",0
34335,46872,338,"644.4",2,"U",0
34336,46872,117,"18.5",2,"U",0
34348,46922,10,"72.6",2,"U",0
34349,46922,23,"7.6",2,"U",0
34350,46922,115,"19",2,"U",0
34351,46922,24,"20.8",2,"U",0
34352,46922,27,"31.6",2,"U",0
34353,46922,451,"108.2",2,"U",0
34354,46922,28,"150.7",2,"U",0
34355,46922,3386,"455.8",2,"U",0
34356,46922,117,"72.8",2,"U",0
34397,46964,10,"76.2",2,"U",0
34398,46964,41,"18.8",2,"U",0
34399,46964,115,"52.4",2,"U",0
34400,46964,28,"154.3",2,"U",0
34401,46964,338,"516.4",2,"U",0
34402,46964,117,"104.6",2,"U",0
34420,47015,10,"72.7",2,"U",0
34421,47015,14,"11.4",2,"U",0
34422,47015,32,"72.1",2,"U",0
34423,47015,41,"137.5",2,"U",0
34424,47015,15,"798.3",2,"U",0
34425,47017,10,"88.4",2,"U",0
34426,47017,62,"3.7",2,"U",0
