"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
9743,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","MIDNIGHT BLACK","1989 - 1990","","0","0001-P5","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9746,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S10","CASABLANCA WHITE","1990 - 1993","L+Y","0","10U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9748,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S2","CASABLANCA WHITE","1990 - 1993","R","0","10U","0","","Nissan 5* Z36",0,"0",,,,,,,,,"0",,,,,,,,,,,,
9749,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S3","CASABLANCA WHITE","1990 - 1993","D+G","0","10U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9750,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S4","CASABLANCA WHITE","1990 - 1993","G","0","10U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9751,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S5","CASABLANCA WHITE","1990 - 1993","L+CL","0","10U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9753,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S6","CASABLANCA WHITE","1990 - 1993","Y","0","10U","0","","Nissan 5* Z36",0,"0",,,,,,,,,"0",,,,,,,,,,,,
9754,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S7","CASABLANCA WHITE","1990 - 1993","Y+L","0","10U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9755,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S8","CASABLANCA WHITE","1990 - 1993","Y+CL","0","10U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9756,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S9","CASABLANCA WHITE","1990 - 1993","L","0","10U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9757,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","CARGO WHITE","1988 - 1991","","0","12U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9762,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","DARK GREY MAT","2005 - 2009","","0","14I - 9780","0","","",0,"0",,,,,,,,,"0",,,,,,,,,,,,
9763,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","LIGHT GREY (+ Lacquer)","2005 - 2009","","0","14I - 9781","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9767,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","PORTO BLUE","1990 - 1993","","0","15U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9768,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S2","PORTO BLUE","1990 - 1993","R","0","15U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9769,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","ARC WHITE","1997 - 2008","","0","16U - 152D  W301-P801-0","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9770,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","CARGO BLUE","1988 - 1990","","0","17U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9771,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","NORDIC BLUE","1990 - 1991","","0","18U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9772,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S2","NORDIC BLUE","1990 - 1991","L+R","0","18U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9773,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S3","NORDIC BLUE","1990 - 1991","D+R","0","18U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9774,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S4","NORDIC BLUE","1990 - 1991","Y+DRT","0","18U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9775,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S5","NORDIC BLUE","1990 - 1991","G+DRT","0","18U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9776,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","BLACK","2004 - 2006","","0","19U - 848","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
9781,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","PACE BLUE","2007 - 2008","","0","20 - 408P","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9782,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","DARK CHARCOAL","2005 - 2006","","0","207D","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9783,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","CAMEL BEIGE","1986 - 1986","","0","2160-P1","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9784,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","ISUZU BLUE","2005 - 2008","","0","23U - 349D","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9788,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","SLATE GREEN","1988 - 1990","","0","32U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9789,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","ONYX BLACK","2003 - 2009","","0","41U - 8555  8555","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9791,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S1","YELLOW","2005 - 2007","","0","43U - 5456","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
9792,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",25,"S2","YELLOW (Couche)","2005 - 2007","G","0","43U - 5456","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
