"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
1639,9748,6903,"34.6",2,"U",0
1640,9748,6912,"2.83",2,"U",0
1641,9748,6905,"53.1",2,"U",0
1642,9748,6898,"7.63",2,"U",0
1643,9748,6894,"958.44",2,"U",0
1644,9753,223275,"5.33",2,"U",0
1645,9753,6912,"1.37",2,"U",0
1646,9753,6903,"26.96",2,"U",0
1647,9753,6894,"1074.84",2,"U",0
1648,10032,6903,"10.13",2,"U",0
1649,10032,6912,"5.98",2,"U",0
1650,10032,6898,"12.68",2,"U",0
1651,10032,6894,"1026.71",2,"U",0
1652,10034,6903,"18.3",2,"U",0
1653,10034,6912,"10.86",2,"U",0
1654,10034,6898,"12.31",2,"U",0
1655,10034,6894,"1004.33",2,"U",0
1656,10036,6912,"14.21",2,"U",0
1657,10036,6898,"15.95",2,"U",0
1658,10036,6894,"1090.74",2,"U",0
1659,10038,6903,"3.43",2,"U",0
1660,10038,6898,"5.61",2,"U",0
1661,10038,6912,"9.23",2,"U",0
1662,10038,6894,"1064.92",2,"U",0
1663,10040,6912,"7.35",2,"U",0
1664,10040,6898,"6.29",2,"U",0
1665,10040,6894,"1072.95",2,"U",0
1666,10042,6898,"7.39",2,"U",0
1667,10042,6912,"9.05",2,"U",0
1668,10042,6894,"1062.56",2,"U",0
1669,10044,6903,"19.2",2,"U",0
1670,10044,6905,"31.78",2,"U",0
1671,10044,6898,"4.97",2,"U",0
1672,10044,6912,"9.94",2,"U",0
1673,10044,6894,"1005.52",2,"U",0
35268,47979,10,"69.8",2,"U",0
35269,47979,62,"0.90000000000001",2,"U",0
35270,47979,13,"3.9",2,"U",0
35271,47979,24,"33.3",2,"U",0
35272,47979,15,"1015",2,"U",0
35273,47982,10,"93.5",2,"U",0
35274,47982,13,"27.3",2,"U",0
35275,47982,32,"37.2",2,"U",0
35276,47982,14,"41.9",2,"U",0
35277,47982,41,"100.4",2,"U",0
35278,47982,15,"756.3",2,"U",0
35284,48013,10,"86.6",2,"U",0
35285,48013,32,"14.3",2,"U",0
35286,48013,24,"24.2",2,"U",0
35287,48013,1385,"218.8",2,"U",0
35288,48013,780,"239.5",2,"U",0
35289,48013,338,"316.3",2,"U",0
35290,48013,117,"44.6",2,"U",0
35291,48014,10,"70.6",2,"U",0
35292,48014,27,"2.2",2,"U",0
35293,48014,115,"45.1",2,"U",0
35294,48014,41,"80.8",2,"U",0
35295,48014,116,"645.9",2,"U",0
35296,48014,117,"77.9",2,"U",0
35437,48670,10,"70.8",2,"U",0
35438,48670,13,"7.4",2,"U",0
35439,48670,32,"72.8",2,"U",0
35440,48670,41,"154.4",2,"U",0
35441,48670,15,"750.1",2,"U",0
35442,48672,10,"75.7",2,"U",0
35443,48672,13,"12.6",2,"U",0
35444,48672,32,"124.6",2,"U",0
35445,48672,41,"141.3",2,"U",0
35446,48672,15,"691.6",2,"U",0
35447,48674,10,"87.8",2,"U",0
35448,48674,27,"13.1",2,"U",0
35449,48674,24,"14.7",2,"U",0
35450,48674,15,"1005.3",2,"U",0
35451,48677,10,"88",2,"U",0
35452,48677,24,"15.8",2,"U",0
35453,48677,115,"95.5",2,"U",0
35454,48677,338,"691.9",2,"U",0
35455,48677,117,"38",2,"U",0
35456,48678,10,"87.9",2,"U",0
35457,48678,24,"8.4",2,"U",0
35458,48678,115,"38",2,"U",0
35459,48678,338,"769.5",2,"U",0
35460,48678,117,"25.7",2,"U",0
35468,48682,10,"86.1",2,"U",0
35469,48682,13,"2.6",2,"U",0
35470,48682,41,"70.9",2,"U",0
35471,48682,32,"116.6",2,"U",0
35472,48682,15,"807",2,"U",0
35473,48684,10,"86.2",2,"U",0
35474,48684,32,"94.3",2,"U",0
35475,48684,41,"80.7",2,"U",0
35476,48684,15,"825.4",2,"U",0
35477,48686,10,"86.2",2,"U",0
35478,48686,41,"91.5",2,"U",0
35479,48686,32,"112",2,"U",0
35480,48686,15,"789.3",2,"U",0
35481,48688,10,"85.9",2,"U",0
35482,48688,13,"14.5",2,"U",0
35483,48688,14,"24",2,"U",0
35484,48688,41,"62.5",2,"U",0
35485,48688,32,"125.1",2,"U",0
35486,48688,15,"759.4",2,"U",0
35495,48697,10,"83.9",2,"U",0
35496,48697,24,"60",2,"U",0
35497,48697,337,"84.2",2,"U",0
35498,48697,465,"240.3",2,"U",0
35499,48697,293,"404.1",2,"U",0
35500,48697,117,"32.5",2,"U",0
35501,48698,10,"82.4",2,"U",0
35502,48698,24,"116.2",2,"U",0
35503,48698,337,"119.9",2,"U",0
35504,48698,341,"135.4",2,"U",0
35505,48698,293,"459.1",2,"U",0
35530,48731,10,"85.9",2,"U",0
35531,48731,27,"4.7",2,"U",0
35532,48731,24,"3.6",2,"U",0
35533,48731,115,"102.6",2,"U",0
35534,48731,116,"655.7",2,"U",0
35535,48731,117,"68.7",2,"U",0
96278,93745,10,"69.6",2,"I",0
96279,93745,4615,"4.9",2,"I",0
96280,93745,24,"35.6",2,"I",0
96281,93745,789,"40.8",2,"I",0
96282,93745,337,"81.6",2,"I",0
96283,93745,341,"85.8",2,"I",0
96284,93745,494,"110",2,"I",0
96285,93745,342,"457.6",2,"I",0
96286,93745,117,"48.9",2,"I",0
96291,93747,341,"11.3",2,"I",0
96292,93747,465,"16.9",2,"I",0
96293,93747,342,"29.3",2,"I",0
96294,93747,340,"844",2,"I",0
120332,102492,6903,"11.4",2,"I",0
120333,102492,6898,"22.8",2,"I",0
120334,102492,6894,"1088.7",2,"I",0
129325,120602,10,"87.6211122592666",2,"I",0
129326,120602,11,"2.10772434987927",2,"I",0
129327,120602,25,"19.5365973668571",2,"I",0
129328,120602,115,"47.8754530901147",2,"I",0
129329,120602,338,"177.048845389858",2,"I",0
129330,120602,1167,"577.014632735995",2,"I",0
129331,120602,117,"26.095634808029",2,"I",0
129454,120842,10,"80.6655041775768",2,"I",0
129455,120842,880,"11.8124946750805",2,"I",0
129456,120842,411,"14.1537098359073",2,"I",0
129457,120842,1163,"35.6503217671349",2,"I",0
129458,120842,413,"49.4847749902022",2,"I",0
129459,120842,906,"68.8530095024963",2,"I",0
129460,120842,386,"136.854668037419",2,"I",0
129461,120842,24,"145.261758842206",2,"I",0
129462,120842,25,"340.747903827694",2,"I",0
129463,120842,117,"53.3158543442823",2,"I",0
129464,120843,10,"80.977183967112",2,"I",0
