"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
10061,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",26,"S1","BLU FIORDO","1985 - 2001","","0","014 - 52166","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10062,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",26,"S1","GIALLO INDIANA","1987 - 1990","","0","052","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10063,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",26,"S1","VERDE","1983 - 2009","","0","052 - 50052","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10064,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",26,"S1","AZZURRO LINEA","1985 - 2009","","0","078 - 51078","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10065,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",26,"S1","BIANCO","1985 - 2018","","0","082 - 50027","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10066,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",26,"S1","BLU PANTONE","1986 - 1996","","0","123 - 52316","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10067,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",26,"S1","VERDE GRAN BRETAGNA","1985 - 2001","","0","140 - 50039","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10068,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",26,"S1","ROSSO","1988 - 2018","","0","186 - 52048","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10069,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",26,"S1","BIANCO","1988 - 2018","","0","194 - 50105","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10070,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",26,"S1","NERO","1990 - 2018","","0","248 - 52062","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
