"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
1674,10161,6928,"117.02",2,"U",0
1675,10161,6898,"7.26",2,"U",0
1676,10161,6895,"158.64",2,"U",0
1677,10161,6916,"198.26",2,"U",0
1678,10161,6924,"437.02",2,"U",0
1679,10162,6898,"4.44",2,"U",0
1680,10162,6928,"79.44",2,"U",0
1681,10162,6895,"201.26",2,"U",0
1682,10162,6916,"282.95",2,"U",0
1683,10162,6924,"357.52",2,"U",0
1684,10165,6898,"59.14",2,"U",0
1685,10165,6895,"121.27",2,"U",0
1686,10165,6896,"182.73",2,"U",0
1687,10165,6910,"568.16",2,"U",0
1688,10166,6909,"46.1",2,"U",0
1689,10166,6894,"110.61",2,"U",0
1690,10166,6923,"117.45",2,"U",0
1691,10166,6907,"663.34",2,"U",0
35536,48837,465,"16.1",2,"U",0
35537,48837,41,"65.7",2,"U",0
35538,48837,15,"156.4",2,"U",0
35539,48837,387,"253.6",2,"U",0
35540,48837,1174,"445.9",2,"U",0
35541,48913,10,"87.6",2,"U",0
35542,48913,27,"12.2",2,"U",0
35543,48913,115,"113.6",2,"U",0
35544,48913,28,"276.6",2,"U",0
35545,48913,338,"402.7",2,"U",0
35546,48913,117,"28.5",2,"U",0
35547,48914,10,"87.6",2,"U",0
35548,48914,24,"9.3",2,"U",0
35549,48914,27,"14.1",2,"U",0
35550,48914,338,"367.4",2,"U",0
35551,48914,28,"389.5",2,"U",0
35552,48914,117,"55",2,"U",0
35553,48915,10,"87.5",2,"U",0
35554,48915,24,"2.5",2,"U",0
35555,48915,27,"6.7",2,"U",0
35556,48915,115,"24.9",2,"U",0
35557,48915,14,"49.8",2,"U",0
35558,48915,28,"228.2",2,"U",0
35559,48915,116,"497.9",2,"U",0
35560,48915,117,"19.9",2,"U",0
35561,48916,10,"87.3",2,"U",0
35562,48916,62,"7.8",2,"U",0
35563,48916,14,"9.2",2,"U",0
35564,48916,13,"11.8",2,"U",0
35565,48916,24,"24",2,"U",0
35566,48916,780,"54.5",2,"U",0
35567,48916,115,"76.6",2,"U",0
35568,48916,338,"595",2,"U",0
35569,48916,117,"59.6",2,"U",0
35570,48917,10,"87.8",2,"U",0
35571,48917,27,"10",2,"U",0
35572,48917,14,"50.1",2,"U",0
35573,48917,115,"67.7",2,"U",0
35574,48917,338,"310.6",2,"U",0
35575,48917,28,"392.6",2,"U",0
35576,48917,117,"4.1",2,"U",0
35577,48919,10,"87.4",2,"U",0
35578,48919,780,"9.4",2,"U",0
35579,48919,11,"19",2,"U",0
35580,48919,455,"19",2,"U",0
35581,48919,115,"73.9",2,"U",0
35582,48919,28,"93.8",2,"U",0
35583,48919,338,"608.3",2,"U",0
35584,48919,117,"14.2",2,"U",0
35585,48923,10,"87.5",2,"U",0
35586,48923,24,"16.7",2,"U",0
35587,48923,2335,"43.9",2,"U",0
35588,48923,115,"62",2,"U",0
35589,48923,340,"133.7",2,"U",0
35590,48923,337,"198.4",2,"U",0
35591,48923,342,"394.3",2,"U",0
35592,48924,10,"87.3",2,"U",0
35593,48924,1524,"6.5",2,"U",0
35594,48924,92,"26.1",2,"U",0
35595,48924,115,"80.8",2,"U",0
35596,48924,293,"188.2",2,"U",0
35597,48924,337,"221.3",2,"U",0
35598,48924,342,"317",2,"U",0
35599,48925,10,"87.4",2,"U",0
35600,48925,4615,"23.7",2,"U",0
35601,48925,293,"36.5",2,"U",0
35602,48925,494,"41.6",2,"U",0
35603,48925,340,"71",2,"U",0
35604,48925,115,"90.7",2,"U",0
35605,48925,337,"141.5",2,"U",0
35606,48925,341,"142.9",2,"U",0
35607,48925,342,"249.4",2,"U",0
35608,48925,117,"49.8",2,"U",0
35609,48927,10,"87.5",2,"U",0
35610,48927,459,"94.2",2,"U",0
35611,48927,41,"97.4",2,"U",0
35612,48927,115,"127.7",2,"U",0
35613,48927,463,"159.6",2,"U",0
35614,48927,293,"351.8",2,"U",0
35615,48928,10,"87.5",2,"U",0
35616,48928,41,"62.3",2,"U",0
35617,48928,459,"66.9",2,"U",0
35618,48928,115,"169.5",2,"U",0
35619,48928,463,"238.3",2,"U",0
35620,48928,293,"301.1",2,"U",0
35621,48932,10,"87.7",2,"U",0
35622,48932,880,"6.8",2,"U",0
35623,48932,24,"13.5",2,"U",0
35624,48932,115,"20.3",2,"U",0
35625,48932,1174,"84.6",2,"U",0
35626,48932,387,"142.2",2,"U",0
35627,48932,338,"145.5",2,"U",0
35628,48932,28,"179.4",2,"U",0
35629,48932,1163,"203",2,"U",0
35630,48932,117,"35.6",2,"U",0
35631,48933,10,"87.3",2,"U",0
35632,48933,24,"53.6",2,"U",0
35633,48933,115,"109.9",2,"U",0
35634,48933,62,"165.6",2,"U",0
35635,48933,386,"514.9",2,"U",0
96674,94266,6920,"16.2",2,"I",0
96675,94266,6902,"66",2,"I",0
96676,94266,6894,"157.2",2,"I",0
96677,94266,6906,"254.8",2,"I",0
96678,94266,6908,"448",2,"I",0
97262,96109,10,"87.5",2,"I",0
97263,96109,62,"10.3",2,"I",0
97264,96109,27,"12.3",2,"I",0
97265,96109,24,"43",2,"I",0
97266,96109,115,"118.8",2,"I",0
97267,96109,28,"183.4",2,"I",0
97268,96109,338,"425.3",2,"I",0
97269,96109,117,"47.1",2,"I",0
97270,96110,10,"87.4",2,"I",0
97271,96110,62,"13.5",2,"I",0
97272,96110,24,"40.7",2,"I",0
97273,96110,115,"132.1",2,"I",0
97274,96110,338,"610.6",2,"I",0
97275,96110,117,"43",2,"I",0
129505,120967,10,"87.9160558473664",2,"I",0
129506,120967,455,"5.72710306662844",2,"I",0
129507,120967,24,"16.0760787835184",2,"I",0
129508,120967,15,"18.3870151086492",2,"I",0
129509,120967,25,"25.0234213814704",2,"I",0
129510,120967,27,"35.6687998009315",2,"I",0
129511,120967,28,"165.58361147024",2,"I",0
129512,120967,338,"565.877973179849",2,"I",0
129513,120967,117,"8.43994136134727",2,"I",0
129514,120968,10,"87.9747728637832",2,"I",0
129515,120968,15,"9.32913782934075",2,"I",0
129516,120968,92,"10.0313309992911",2,"I",0
129517,120968,25,"16.4563985043371",2,"I",0
129518,120968,27,"22.7711213683909",2,"I",0
129519,120968,62,"22.670808058398",2,"I",0
129520,120968,115,"44.6394229468455",2,"I",0
129521,120968,28,"173.441712977744",2,"I",0
129522,120968,338,"539.58529445187",2,"I",0
129523,120969,10,"87.4999509884006",2,"I",0
129524,120969,465,"1.00114360398628",2,"I",0
129525,120969,25,"5.95680444371835",2,"I",0
129526,120969,455,"15.9181833033818",2,"I",0
129527,120969,24,"21.0240156837118",2,"I",0
129528,120969,115,"37.9433425910799",2,"I",0
129529,120969,116,"289.931187714426",2,"I",0
129530,120969,28,"429.991177912106",2,"I",0
129531,120969,117,"29.9341937591897",2,"I",0
129532,120970,10,"89.6772427440633",2,"I",0
129533,120970,1163,"1.84689973614776",2,"I",0
129534,120970,906,"53.2522757255937",2,"I",0
129535,120970,1385,"78.0828166226913",2,"I",0
129536,120970,24,"88.7537928759894",2,"I",0
129537,120970,25,"137.799241424802",2,"I",0
129538,120970,386,"429.198977572559",2,"I",0
129539,120970,117,"54.688753298153",2,"I",0
129549,120974,10,"87.465900274284",2,"I",0
129550,120974,24,"2.60196042005879",2,"I",0
129551,120974,25,"3.91294817016534",2,"I",0
129552,120974,465,"12.809651298751",2,"I",0
129553,120974,115,"57.4432800428364",2,"I",0
129554,120974,338,"57.8435816459224",2,"I",0
129555,120974,387,"127.496060582881",2,"I",0
129556,120974,28,"252.590311547246",2,"I",0
129557,120974,1163,"305.129896952279",2,"I",0
129558,120974,117,"8.50640906557682",2,"I",0
129559,120975,10,"89.2172474948046",2,"I",0
129560,120975,465,"5.61435767987901",2,"I",0
129561,120975,880,"46.0377329750079",2,"I",0
129562,120975,25,"110.541598755291",2,"I",0
129563,120975,1385,"186.090437280353",2,"I",0
129564,120975,24,"221.920247201036",2,"I",0
129565,120975,338,"278.778378613629",2,"I",0
129566,120976,10,"90.41006555202",2,"I",0
129567,120976,1167,"17.6889258688735",2,"I",0
129568,120976,92,"44.3774806885773",2,"I",0
129569,120976,465,"84.2034248962749",2,"I",0
129570,120976,789,"121.132936797958",2,"I",0
129571,120976,338,"128.580905584852",2,"I",0
129572,120976,25,"179.547769769612",2,"I",0
129573,120976,342,"254.058490841832",2,"I",0
283600,200182,1088362,"56.9722222222222",2,"I",0
283601,200182,1088378,"103.977672708169",2,"I",0
283602,200182,1088368,"178.863146834778",2,"I",0
283603,200182,1088363,"238.933149461518",2,"I",0
283604,200182,1088356,"446.753808773312",2,"I",0
283605,200183,1088374,"117.196773770492",2,"I",0
283606,200183,1088377,"128.699921311475",2,"I",0
283607,200183,1088353,"786.003304918033",2,"I",0
350548,87754,10,"1",2,"I",0
350924,199933,1088370,"925.915052708144",2,"I",0
350925,199933,1088376,"25.8041899935056",2,"I",0
350926,199933,1088377,"31.461793147162",2,"I",0
