"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
10167,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","SABLE","1968 - 1981","","0","ADR - JBC259","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10168,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","CARRIAGE BROWN","1976 - 1979","","0","ADS - JBC262","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10169,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","PORTLAND BEIGE","1981 - 1983","","0","AEA - JBC299","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10170,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S2","PORTLAND BEIGE","1981 - 1983","L+DRT","0","AEA - JBC299","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10171,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S3","PORTLAND BEIGE","1981 - 1983","L","0","AEA - JBC299","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10172,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","SIGNAL RED","1968 - 1979","","0","CDF - JBC258","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10173,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","DAMSON RED","1979 - 1983","","0","CDG - JBC211","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10174,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S2","DAMSON RED","1979 - 1983","D+Y","0","CDG - JBC211","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10175,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","SEBRING RED","1980 - 1986","","0","CDJ - JBC287","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10176,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S2","SEBRING RED","1980 - 1986","DRT+R","0","CDJ - JBC287","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10177,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","IMPERIAL CRIMSON","1982 - 1984","","0","CDM - JBC302","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10178,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","COACHLINE MAROON","1994 - 1996","","0","CDR - JBC854","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10179,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","COACHLINE RED (Couche)","1994 - 1996","","0","CDS - JBC855","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10181,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","GRENADIER RED (Couche)","1986 - 1990","","0","CEH - JBC332","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10183,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","BURGUNDY RED","1983 - 1991","","0","CEL - JBC329","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10184,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S2","BURGUNDY RED","1983 - 1991","R","0","CEL - JBC329","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10185,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","SIGNAL RED (Couche)","1988 - 1999","","0","CFC - JBC748","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10187,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","FIREGLOW","1989 - 1990","","0","CFD - JBC736","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10188,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","METEOR RED","1990 - 1994","","0","CFJ - JBC736","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10189,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","PHOENIX","1999 - 2003","","0","CGJ - JBC1898","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10190,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",27,"S1","PHOENIX","1999 - 2003","","0","CGL - JBC1924","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
