"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
10328,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","BLACK MAT (+ Lacquer)","1997 - 2004","","0","10000","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10329,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","GREY MAT (+ Lacquer)","1997 - 2004","","0","10001","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10330,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","BLACK MAT (+ Lacquer)","1997 - 2004","","0","10003","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10331,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","BLACK MAT (+ Lacquer)","2004 - 2006","","0","10005","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10332,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","BLACK MAT (+ Lacquer)","2004 - 2006","","0","10007","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10333,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","BLACK MAT (+ Lacquer)","2004 - 2006","","0","10008","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10337,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","TOMATO RED (Couche)","2009 - 2014","","0","1E","0","","1*",0,"0",,,,,,,,,"0",,,,,,,,,,,,
10340,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","BLUE STONE","2009 - 2012","","0","1H","0","","1*",0,"0",,,,,,,,,"0",,,,,,,,,,,,
10341,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","BRIGHT SILVER PRIMER","2006 - 2018","","0","3D - U38AW102","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10349,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","VOLCANIC RED MAT","2006 - 2010","","0","3P","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10354,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","SAND BEIGE MAT","2006 - 2009","","0","4Y","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10359,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","DARK RED WINE MAT","2006 - 2009","","0","5P","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10363,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","CLEAR SILVER MAT","2006 - 2012","","0","6C","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10369,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","DEEP OCEAN BLUE MAT","2006 - 2009","","0","6K","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10375,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S2","SOLID WHITE","2010 - 2012","B","0","7F","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
10376,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S3","SOLID WHITE","2010 - 2012","DRT","0","7F","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
10378,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","OLIVE GREY MAT","2006 - 2009","","0","7V","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10383,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","MIDNIGHT GREY MAT","2006 - 2009","","0","8V","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10387,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","ASPEN WHITE","1995 - 1995","","0","A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10388,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","VANILLA SHAKE","2013 - 2014","","0","A1W","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
10391,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","LIME","2010 - 2012","","0","ALM","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10395,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","YELLOW (Couche)","2000 - 2003","","0","AY","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10397,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","AEGEAN BLUE","2000 - 2000","","0","BB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10399,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","LIGHT BLUE","1998 - 2000","","0","BL","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10400,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","TURQUOISE","1993 - 1993","","0","BL","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10401,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","MISTY BLUE","1996 - 1998","","0","BM","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10402,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","OCEAN BLUE","1998 - 2000","","0","BO","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10403,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","BRIGHT RED (Couche)","2000 - 2001","","0","BR","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10405,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","DARK MONTANA BLUE","2001 - 2003","","0","BW","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10406,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","GREY MAT","2003 - 2006","","0","C5","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10413,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","CANADIAN RED (Couche)","1994 - 1996","","0","CR","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10415,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","MARBLE BEIGE","2003 - 2003","","0","CT","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10416,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","CRYSTAL WHITE","1994 - 2003","","0","CW","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10417,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","PALE VIOLET","2001 - 2003","","0","DC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10418,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","SAVANNA BEIGE","2004 - 2009","","0","DI","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10419,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","RACING RED (Couche)","2010 - 2017","","0","DRR","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10422,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S1","EBONY BLACK","1995 - 2018","","0","EB","0","","3*",0,"0",,,,,,,,,"0",,,,,,,,,,,,
10424,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S2","EBONY BLACK","1995 - 2018","CL","0","EB","0","","3*",0,"0",,,,,,,,,"0",,,,,,,,,,,,
10425,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S3","EBONY BLACK","1995 - 2018","D","0","EB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10427,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S4","EBONY BLACK","1995 - 2018","L+G","0","EB","0","","3*",0,"0",,,,,,,,,"0",,,,,,,,,,,,
10428,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",28,"S5","EBONY BLACK","1995 - 2018","D+D","0","EB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
