"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
10633,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",29,"SY","TOMATO RED (Couche)","2009 - 2011","","0","1E","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10635,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",29,"SY","BLUE STONE","2009 - 2011","","0","1H","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10636,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",29,"SY","CRYSTAL WHITE","1994 - 2003","","0","CW","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10637,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",29,"SY","SCARLET RED","2004 - 2011","","0","P9","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
50147,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",29,"SY","TOMATO RED (Couche)","2009 - 2011","","0","1E","-6150104","","",0,"0",,,,,,,,,"1",,,"-2604543:46.72;-3801088:38.11;-460552:10.23;-13092808:4.94;",,,,,,,,,
50148,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",29,"S1*","TOMATO RED (Sous-Couche)","2009 - 2011","","0","1E","-8355712","","",3,"U",,,,,,,,,"1",,,"-1:100;",,,,,,,,,
50149,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",29,"SY","BLUE STONE","2009 - 2011","","0","1H","-10988732","","",0,"0",,,,,,,,,"1",,,"-1:92.42;-16777216:3.08;-4227838:2.52;-16768993:1.98;",,,,,,,,,
50150,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",29,"","BLACK PEARL","2006 - 2011","","0","1K","-13685185","","",1,"U",,,,,,,,,"1",,,"-16777152:5.84;-1907998:0.55;-2368549:2.2;-16777216:34.97;-16777216:17.89;-792321:0.08;-4227838:2.34;-16777216:36.12;",,,,,,,,,
50151,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",29,"","SPARK BLUE MET","2005 - 2009","","0","1S","-7432538","","",2,"U",,,,,,,,,"1",,,"-2236673:29.73;-16777152:17.92;-1907998:45.61;-14942153:0.79;-16777216:5.95;",,,,,,,,,
50152,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",29,"","KOMPASS BLUE MET","2006 - 2010","","0","3A","-15723734","","",1,"U",,,,,,,,,"1",,,"-16777152:25.73;-1907998:10.64;-16767426:0.12;-14942153:1.06;-792321:5.87;-460552:14.02;-2368549:42.56;",,,,,,,,,
50153,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",29,"SY","VOLCANIC RED PEARL (Couche)","2004 - 2010","","0","3P/3H","-11388100","","",0,"0",,,,,,,,,"1",,,"-2336767:1.56;-4653056:11.16;-2368549:20.29;-8320469:4.57;-12845056:12.24;-1907998:4.06;-12582912:45.66;-16777216:0.46;",,,,,,,,,
50154,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",29,"SY*","VOLCANIC RED PEARL (Sous-Couche)","2004 - 2010","","0","3P/3H","-8355712","","",0,"0",,,,,,,,,"1",,,"-16777216:11.96;-1:88.04;",,,,,,,,,
50155,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",29,"SY","WILLOW GREEN MET","2003 - 2006","","0","3W","-10921127","","",0,"0",,,,,,,,,"1",,,"-16777216:8.72;-1513767:23.86;-16777216:20.94;-1447445:19.74;-16767426:6.52;-2236673:11.01;-13691136:0.54;-16765184:8.67;",,,,,,,,,
50156,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",29,"","ROYAL BLUE MET","1995 - 2002","","0","4A","-15328977","","",1,"U",,,,,,,,,"1",,,"-16771281:22.54;-2628353:36.15;-16767426:18.74;-16777216:13.19;-792321:0.9;-16777216:8.47;",,,,,,,,,
50157,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",29,"","BLUE BERRY MET","2003 - 2006","","0","4T","-15788252","","",1,"U",,,,,,,,,"1",,,"-14942153:3.84;-16767426:0.43;-1907998:7.96;-16771281:2.61;-16777216:2.17;-1315861:54.31;-16777216:22.29;-792321:2.15;-12582912:4.24;",,,,,,,,,
50158,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",29,"SY","SAND BEIGE MET","2004 - 2009","","0","4Y","-10396844","","",0,"0",,,,,,,,,"1",,,"-13691136:12.17;-1907998:44.35;-7981310:13.21;-4227838:7.78;-16777216:22.48;",,,,,,,,,
50159,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",29,"","PISTON GREY MET","2006 - 2011","","0","5K","-13487805","","",1,"U",,,,,,,,,"1",,,"-16777152:14.43;-1315861:4.17;-2368549:6.3;-2628353:2.1;-1907998:1.58;-16777216:14.77;-2236963:5.25;-16768993:5.48;-16777216:45.87;-792321:0.05;",,,,,,,,,
50160,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",29,"","DARK RED WINE MET","2005 - 2010","","0","5P","-16118761","","",1,"U",,,,,,,,,"1",,,"-16771281:8.74;-16777216:34.86;-14942153:16.55;-5895422:19.14;-8388544:1.52;-16767426:1.84;-12845056:14.07;-4227838:3.28;",,,,,,,,,
50161,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",29,"","WARM GREY MET","2004 - 2007","","0","6W","-15855577","","",1,"U",,,,,,,,,"1",,,"-16777216:22.01;-16777152:3.21;-14942153:0.36;-2368549:26.33;-16777216:41.39;-4144960:3.74;-12582912:1;-16767426:0.04;-460552:1.93;",,,,,,,,,
