"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
350412,87757,10,"1",2,"I",0
374677,50147,10,"69.0143919861364",2,"I",0
374678,50147,41,"18.0543979035462",2,"I",0
374679,50147,115,"37.3706623272328",2,"I",0
374680,50147,459,"139.193583837018",2,"I",0
374681,50147,463,"170.64318018513",2,"I",0
374682,50147,293,"484.323783760937",2,"I",0
374683,10633,6898,"2.09",2,"I",0
374684,10633,6895,"43.22",2,"I",0
374685,10633,6928,"53.65",2,"I",0
374686,10633,6916,"197.33",2,"I",0
374687,10633,6924,"622.31",2,"I",0
375431,10635,6908,"12.08",2,"I",0
375432,10635,6896,"27.62",2,"I",0
375433,10635,6922,"67.44",2,"I",0
375434,10635,6894,"1012.96",2,"I",0
463466,50162,10,"73.4019796658754",2,"I",0
463467,50162,24,"30.8178349084069",2,"I",0
463468,50162,494,"20.7651542974873",2,"I",0
463469,50162,455,"26.872822143593",2,"I",0
463470,50162,459,"102.81775428853",2,"I",0
463471,50162,341,"106.666547229811",2,"I",0
463472,50162,337,"73.8876606798943",2,"I",0
463473,50162,342,"166.350329197832",2,"I",0
463474,50162,293,"290.803798091996",2,"I",0
463475,50162,117,"28.3161194965737",2,"I",0
1149461,10636,6905,"1.38",2,"I",0
1149462,10636,6907,"2.3",2,"I",0
1149463,10636,6912,"24.74",2,"I",0
1149464,10636,6898,"6.59",2,"I",0
1149465,10636,6894,"1051.9",2,"I",0
1220158,50181,10,"74.3827431805071",2,"I",0
1220159,50181,465,"37.7451949930866",2,"I",0
1220160,50181,459,"126.527346647254",2,"I",0
1220161,50181,4615,"93.2127388768325",2,"I",0
1220162,50181,494,"111.062893168145",2,"I",0
1220163,50181,293,"105.13272257781",2,"I",0
1220164,50181,789,"165.976613649058",2,"I",0
1220165,50181,340,"191.537693779817",2,"I",0
1220166,50181,117,"24.9220531274895",2,"I",0
1223219,50183,10,"31.0107838421353",2,"I",0
1223220,50183,41,"21.3698074793328",2,"I",0
1223221,50183,115,"41.0406743257302",2,"I",0
1223222,50183,459,"710.024134999385",2,"I",0
1223223,50183,293,"111.454599353417",2,"I",0
1223224,10637,6898,"4.84",2,"I",0
1223225,10637,6895,"93.01",2,"I",0
1223226,10637,6928,"536.38",2,"I",0
1223227,10637,6924,"280.66",2,"I",0
1325646,50148,10,"88.3970473761911",2,"I",0
1325647,50148,15,"1029.10750234868",2,"I",0
1325648,50148,25,"12.8954502751309",2,"I",0
1325652,100081,10,"88.3970473761911",2,"I",0
1325653,100081,15,"1029.10750234868",2,"I",0
1325654,100081,25,"12.8954502751309",2,"I",0
1326080,50149,10,"83.6649329118882",2,"I",0
1326081,50149,1174,"20.5693298476057",2,"I",0
1326082,50149,62,"26.1197839334676",2,"I",0
1326083,50149,15,"957.86145143513",2,"I",0
1326084,50149,25,"31.8845018719087",2,"I",0
1326093,50150,10,"76.8316378777088",2,"I",0
1326094,50150,62,"23.4891904957454",2,"I",0
1326095,50150,338,"22.0312407408371",2,"I",0
1326096,50150,413,"33.7874070185105",2,"I",0
1326097,50150,4896,"179.350961913326",2,"I",0
1326098,50150,24,"362.092235558305",2,"I",0
1326099,50150,1165,"0.844685175462763",2,"I",0
1326100,50150,1167,"5.50781018520925",2,"I",0
1326101,50150,369,"58.5783383668525",2,"I",0
1326102,50150,25,"350.486492668043",2,"I",0
1338131,50152,10,"90.1739584084892",2,"I",0
1338132,50152,1165,"37.2239342660991",2,"I",0
1338133,50152,115,"88.8280784322431",2,"I",0
1338134,50152,340,"130.550357695873",2,"I",0
1338135,50152,338,"269.755758931296",2,"I",0
1338136,50152,117,"14.4423274374102",2,"I",0
1338137,50152,1167,"67.4389397328242",2,"I",0
1338138,50152,387,"6.70869403544213",2,"I",0
1338139,50152,1163,"0.745410448382459",2,"I",0
1338140,50152,369,"163.058535583664",2,"I",0
1338141,50152,25,"63.7740050282769",2,"I",0
1339011,50153,10,"72.4250396316147",2,"I",0
1339012,50153,4615,"8.49001660753378",2,"I",0
1339013,50153,337,"60.798914848645",2,"I",0
1339014,50153,116,"110.543481542991",2,"I",0
1339015,50153,342,"66.6639569336454",2,"I",0
1339016,50153,293,"24.8722833471729",2,"I",0
1339017,50153,341,"248.722833471729",2,"I",0
1339018,50153,789,"239.106590171359",2,"I",0
1339019,50153,117,"61.8558352834604",2,"I",0
1339020,50153,1167,"22.1086963085982",2,"I",0
1339021,50153,25,"2.5123518532498",2,"I",0
1339022,50154,10,"96.921291511027",2,"I",0
1339023,50154,15,"868.632124034181",2,"I",0
1339024,50154,25,"118.046584454792",2,"I",0
1339144,50155,10,"58.6184817842701",2,"I",0
1339145,50155,880,"2.00927731898392",2,"I",0
1339146,50155,455,"4.71743370544052",2,"I",0
1339147,50155,1162,"96.4453113112283",2,"I",0
