"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
1749,10337,6898,"2.64",2,"U",0
1750,10337,6895,"54.63",2,"U",0
1751,10337,6928,"67.79",2,"U",0
1752,10337,6916,"249.46",2,"U",0
1753,10337,6924,"544.08",2,"U",0
1754,10340,6908,"6.08",2,"U",0
1755,10340,6896,"22.58",2,"U",0
1756,10340,223275,"48.3",2,"U",0
1757,10340,6894,"1038.25",2,"U",0
1758,10422,6896,"8.61",2,"U",0
1759,10422,6897,"27.16",2,"U",0
1760,10422,6895,"87.89",2,"U",0
1761,10422,223275,"802.24",2,"U",0
1762,10424,223475,"2.54",2,"U",0
1763,10424,6895,"59.09",2,"U",0
1764,10424,6906,"144.57",2,"U",0
1765,10424,223275,"717",2,"U",0
1766,10427,6917,"213.32",2,"U",0
1767,10427,6898,"262.42",2,"U",0
1768,10427,223275,"453.56",2,"U",0
1769,10430,6896,"18.11",2,"U",0
1770,10430,6895,"152.58",2,"U",0
1771,10430,223275,"754.82",2,"U",0
1772,10433,6896,"8.61",2,"U",0
1773,10433,6897,"27.16",2,"U",0
1774,10433,6895,"87.89",2,"U",0
1775,10433,223275,"802.24",2,"U",0
1776,10435,223475,"2.54",2,"U",0
1777,10435,6895,"59.09",2,"U",0
1778,10435,6906,"144.57",2,"U",0
1779,10435,223275,"717",2,"U",0
1780,10438,6917,"213.32",2,"U",0
1781,10438,6898,"262.42",2,"U",0
1782,10438,223275,"453.56",2,"U",0
1783,10441,6896,"18.11",2,"U",0
1784,10441,6895,"152.58",2,"U",0
1785,10441,223275,"754.82",2,"U",0
1786,10450,6894,"15.66",2,"U",0
1787,10450,6924,"44.5",2,"U",0
1788,10450,6928,"900.34",2,"U",0
1789,10452,6898,"0.47",2,"U",0
1790,10452,6894,"21.53",2,"U",0
1791,10452,6923,"80.64",2,"U",0
1792,10452,6928,"856.87",2,"U",0
1793,10494,6925,"11.39",2,"U",0
1794,10494,6916,"228.43",2,"U",0
1795,10494,6920,"113.34",2,"U",0
1796,10494,6898,"4.9",2,"U",0
1797,10494,6928,"430.68",2,"U",0
1798,10494,6924,"129.66",2,"U",0
1799,10497,6895,"14.24",2,"U",0
1800,10497,6928,"45.82",2,"U",0
1801,10497,6897,"97.15",2,"U",0
1802,10497,6916,"334.73",2,"U",0
1803,10497,6924,"435.96",2,"U",0
1804,10517,6910,"26.47",2,"U",0
1805,10517,6925,"87.21",2,"U",0
1806,10517,6896,"113.57",2,"U",0
1807,10517,6894,"891.65",2,"U",0
1808,10519,6900,"9.23",2,"U",0
1809,10519,6898,"13.14",2,"U",0
1810,10519,6911,"27.59",2,"U",0
1811,10519,6913,"88.31",2,"U",0
1812,10519,6894,"964.02",2,"U",0
1813,10537,6894,"26.48",2,"U",0
1814,10537,6924,"294.99",2,"U",0
1815,10537,6898,"20.3",2,"U",0
1816,10537,6928,"585.53",2,"U",0
1817,10562,6894,"15.66",2,"U",0
1818,10562,6924,"44.5",2,"U",0
1819,10562,6928,"900.34",2,"U",0
1820,10564,6898,"0.47",2,"U",0
1821,10564,6894,"21.53",2,"U",0
1822,10564,6923,"80.64",2,"U",0
1823,10564,6928,"856.87",2,"U",0
1824,10580,6898,"0.23",2,"U",0
1825,10580,6894,"98.86",2,"U",0
1826,10580,6925,"195.07",2,"U",0
1827,10580,6900,"688.14",2,"U",0
1828,10614,6898,"17.89",2,"U",0
1829,10614,6895,"41.38",2,"U",0
1830,10614,6928,"100.96",2,"U",0
1831,10614,6916,"192.01",2,"U",0
1832,10614,6923,"203.43",2,"U",0
1833,10614,6924,"360.43",2,"U",0
1838,10632,6903,"13.12",2,"U",0
1839,10632,6912,"0.8",2,"U",0
1840,10632,6898,"0.97",2,"U",0
1841,10632,6894,"1102.7",2,"U",0
36162,49400,10,"87.4",2,"U",0
36163,49400,41,"102.1",2,"U",0
36164,49400,32,"106.8",2,"U",0
36165,49400,15,"782.9",2,"U",0
36166,49402,10,"87.4",2,"U",0
36167,49402,41,"38.1",2,"U",0
36168,49402,115,"47.3",2,"U",0
36169,49402,459,"58.7",2,"U",0
36170,49402,463,"216",2,"U",0
36171,49402,293,"471.1",2,"U",0
36185,49411,10,"88",2,"U",0
36186,49411,27,"23.5",2,"U",0
36187,49411,24,"30.9",2,"U",0
36188,49411,880,"61.9",2,"U",0
36189,49411,780,"99",2,"U",0
36190,49411,28,"123.7",2,"U",0
36191,49411,338,"445.4",2,"U",0
36192,49411,117,"61.9",2,"U",0
36238,49434,10,"90.9",2,"U",0
36239,49434,1524,"8.2",2,"U",0
36240,49434,11,"17",2,"U",0
36241,49434,780,"38.4",2,"U",0
36242,49434,338,"156.7",2,"U",0
36243,49434,23,"156.7",2,"U",0
36244,49434,906,"249.1",2,"U",0
36245,49434,6899,"178.2",2,"U",0
36246,49434,117,"38.4",2,"U",0
36247,49435,10,"88",2,"U",0
36248,49435,15,"9.3",2,"U",0
36249,49435,11,"17.2",2,"U",0
36250,49435,880,"19.3",2,"U",0
36251,49435,1524,"37.1",2,"U",0
36252,49435,2275,"50.5",2,"U",0
36253,49435,338,"161.9",2,"U",0
36254,49435,23,"252.7",2,"U",0
36255,49435,340,"261.8",2,"U",0
36256,49435,117,"37.1",2,"U",0
36257,49443,10,"87.4",2,"U",0
36258,49443,880,"7",2,"U",0
36259,49443,28,"232.3",2,"U",0
36260,49443,338,"558.2",2,"U",0
36261,49443,117,"43",2,"U",0
36262,49444,10,"87.5",2,"U",0
36263,49444,24,"2.3",2,"U",0
36264,49444,115,"50",2,"U",0
36265,49444,28,"169.6",2,"U",0
36266,49444,338,"618.1",2,"U",0
36391,49536,10,"70.5",2,"U",0
36392,49536,494,"3.2",2,"U",0
36393,49536,24,"37.4",2,"U",0
36394,49536,342,"46.2",2,"U",0
36395,49536,337,"151.4",2,"U",0
36396,49536,293,"586.3",2,"U",0
36397,49536,117,"22.9",2,"U",0
36414,49540,10,"70.5",2,"U",0
36415,49540,494,"3.2",2,"U",0
36416,49540,24,"37.4",2,"U",0
36417,49540,342,"46.2",2,"U",0
36418,49540,337,"151.4",2,"U",0
36419,49540,293,"586.3",2,"U",0
36420,49540,117,"22.9",2,"U",0
36511,49719,10,"59.5",2,"U",0
36512,49719,24,"233.3",2,"U",0
36513,49719,4896,"611.7",2,"U",0
36514,49719,115,"22.5",2,"U",0
36524,49727,10,"89.9",2,"U",0
36525,49727,115,"20.4",2,"U",0
36526,49727,4896,"817",2,"U",0
36527,49730,10,"59.5",2,"U",0
36528,49730,24,"233.3",2,"U",0
36529,49730,4896,"611.7",2,"U",0
36530,49730,115,"22.5",2,"U",0
36540,49738,10,"89.9",2,"U",0
36541,49738,115,"20.4",2,"U",0
36542,49738,4896,"817",2,"U",0
36571,49771,10,"64.8",2,"U",0
36572,49771,15,"14.6",2,"U",0
36573,49771,293,"41.5",2,"U",0
36574,49771,459,"839.6",2,"U",0
36575,49773,10,"74.7",2,"U",0
36576,49773,41,"7.1",2,"U",0
36577,49773,15,"19.7",2,"U",0
36578,49773,341,"73.8",2,"U",0
36579,49773,459,"784.2",2,"U",0
36639,49847,10,"71.1",2,"U",0
36640,49847,305,"9.7",2,"U",0
36641,49847,463,"194.5",2,"U",0
36642,49847,465,"96.5",2,"U",0
36643,49847,41,"69.5",2,"U",0
36644,49847,459,"366.7",2,"U",0
