"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
10830,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","NERO","1937 - 1976","","0","10036","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10831,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","BORDEAUX","1984 - 1990","","0","102","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10832,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","ROSSO SCURO","1984 - 1993","","0","102","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10833,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S2","ROSSO SCURO","1984 - 1993","D","0","102","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10834,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S3","ROSSO SCURO","1984 - 1993","D+R","0","102","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10835,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","BLU LANCIA","1978 - 1983","","0","105","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10836,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","ROSSO ARCOVEGGIO","1953 - 1967","","0","10593","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10837,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","GRIGIO SAINT CLOUD","1953 - 1963","","0","10702","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10838,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","VERDE SCURO ASCOT","1978 - 1981","","0","109","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10839,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","BORDEAUX","1995 - 1998","","0","110A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10840,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S2","BORDEAUX","1995 - 1998","R","0","110A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10841,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","VERDE PIMLICO","1939 - 1953","","0","12040","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10842,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","BLU LANCIA","1970 - 1981","","0","121","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10843,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","ROSSO CORSA O HUGH","1970 - 1981","","0","123","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10844,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","GRIGIO ESCOLI","1953 - 1963","","0","12386","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10845,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","BIANCO SARATOGA","1953 - 1970","","0","12435","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10846,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","ROSSO MAYA","1953 - 1963","","0","12441","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10848,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","ARANCIO FAVORITA (Couche)","1979 - 1983","","0","130","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10850,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","ROSSO BOUGAINVILLE","1995 - 1995","","0","138A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10851,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S2","ROSSO BOUGAINVILLE","1995 - 1995","D+R","0","138A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10852,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","ROSSO CORSA","1989 - 1993","","0","140","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10853,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S2","ROSSO CORSA","1989 - 1993","L","0","140","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10854,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S3","ROSSO CORSA","1989 - 1993","D","0","140","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10855,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S4","ROSSO CORSA","1989 - 1993","D+Y","0","140","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10856,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S5","ROSSO CORSA","1989 - 1993","Y","0","140","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10857,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S6","ROSSO CORSA","1989 - 1993","D+R","0","140","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10858,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","AVORIO PERGOLESI","2006 - 2006","","0","140A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10859,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S2","AVORIO PERGOLESI","2006 - 2006","Y","0","140A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10860,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","ROSSO WINDSOR","1992 - 1995","","0","141","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10861,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S2","ROSSO WINDSOR","1992 - 1995","D+R","0","141","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10862,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S3","ROSSO WINDSOR","1992 - 1995","R","0","141","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10863,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","ROSSO BORDEAUX","1993 - 1994","","0","145","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10864,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","BORDEAUX SARA","1999 - 2003","","0","145A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10865,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","ROSSO MONZA","1986 - 1989","","0","151","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
10866,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",32,"S1","AMARANTO","1989 - 1993","","0","153","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
