"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
1842,10952,6898,"10.19",2,"U",0
1843,10952,6903,"15.94",2,"U",0
1844,10952,6912,"22.66",2,"U",0
1845,10952,6894,"1077.01",2,"U",0
1846,10954,6925,"2.82",2,"U",0
1847,10954,6896,"12.79",2,"U",0
1848,10954,6898,"17.23",2,"U",0
1849,10954,6894,"1097.86",2,"U",0
1850,10958,6898,"10.19",2,"U",0
1851,10958,6903,"15.94",2,"U",0
1852,10958,6912,"22.66",2,"U",0
1853,10958,6894,"1077.01",2,"U",0
1854,10960,6925,"2.82",2,"U",0
1855,10960,6896,"12.79",2,"U",0
1856,10960,6898,"17.23",2,"U",0
1857,10960,6894,"1097.86",2,"U",0
1858,10984,6927,"143.1",2,"U",0
1859,10984,223275,"196.37",2,"U",0
1860,10984,6895,"231.51",2,"U",0
1861,10984,6909,"347.32",2,"U",0
1862,10987,6924,"5.76",2,"U",0
1863,10987,6898,"2.45",2,"U",0
1864,10987,6895,"187.92",2,"U",0
1865,10987,223275,"199.09",2,"U",0
1866,10987,6927,"232.14",2,"U",0
1867,10987,223475,"289.25",2,"U",0
1868,10990,223275,"106.75",2,"U",0
1869,10990,6895,"134.73",2,"U",0
1870,10990,6920,"303.76",2,"U",0
1871,10990,6927,"364.26",2,"U",0
1872,10993,6924,"2.36",2,"U",0
1873,10993,6898,"1.01",2,"U",0
1874,10993,223275,"103.8",2,"U",0
1875,10993,6895,"113.25",2,"U",0
1876,10993,223475,"118.87",2,"U",0
1877,10993,6927,"574.8",2,"U",0
1878,10995,223475,"75.76",2,"U",0
1879,10995,223275,"79.18",2,"U",0
1880,10995,6895,"102.85",2,"U",0
1881,10995,6927,"655.81",2,"U",0
1882,10998,223275,"104.35",2,"U",0
1883,10998,6908,"105.9",2,"U",0
1884,10998,6895,"111.42",2,"U",0
1885,10998,6927,"592.93",2,"U",0
37061,50724,10,"87.4",2,"U",0
37062,50724,24,"23",2,"U",0
37063,50724,465,"47",2,"U",0
37064,50724,789,"49.1",2,"U",0
37065,50724,338,"120.7",2,"U",0
37066,50724,337,"241.6",2,"U",0
37067,50724,342,"344.5",2,"U",0
37068,50724,117,"19.9",2,"U",0
37074,50955,10,"87.4",2,"U",0
37075,50955,24,"9.4",2,"U",0
37076,50955,13,"14.7",2,"U",0
37077,50955,27,"20.9",2,"U",0
37078,50955,15,"993.4",2,"U",0
37079,50957,10,"87.4",2,"U",0
