"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
11093,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","BLACK","1980 - 1993","","0","A02","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11094,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","LEMON YELLOW (Couche)","1990 - 1993","","0","A22","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11096,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","CALYPSO RED","1988 - 1993","","0","A23","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11097,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S2","CALYPSO RED (Couche)","1988 - 1993","R","0","A23","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11099,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","MIDNIGHT BLUE","1988 - 1993","","0","A51","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11100,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","RACING GREEN","1988 - 1993","","0","A63","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11101,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","CAMEL YELLOW (Couche)","1991 - 1993","","0","A64","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11103,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","BRITISH RACING GREEN","1990 - 1993","","0","A65","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11104,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","BLACK","1999 - 2002","","0","B02","0","","",1,"U",,,,,,,,,"1",,,,,,,,,,,,
11105,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","CALYPSO RED","1995 - 2000","","0","B03","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11106,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","NORFOLK YELLOW","1995 - 1995","","0","B05","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11107,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","SAFRON YELLOW (Couche)","2004 - 2008","","0","B106","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11109,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","PHANTOM BLACK","2006 - 2012","","0","B123","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11110,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","SCANDAL GREEN","1999 - 2002","","0","B39","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11111,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","OLD ENGLISH WHITE","2000 - 2003","","0","B71","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11112,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","ARDENT RED","2002 - 2017","","0","B94","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11113,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","TEAL BLUE MONO","2003 - 2004","","0","B96","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11114,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","CIRRUS WHITE","1969 - 1974","","0","L04","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11115,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","CARNIVAL RED","1966 - 1972","","0","L05","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
11116,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",33,"S1","PISTACHIO LIME GREEN","1972 - 1978","","0","L13","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
