"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
350435,87761,10,"1",2,"I",0
351580,201810,1088360,"687.153359477124",2,"I",0
351581,201810,1088348,"73.1187712418301",2,"I",0
351582,201810,1088358,"76.9242091503268",2,"I",0
351583,201810,1088377,"202.503660130719",2,"I",0
481142,122411,10,"127.741049411618",2,"I",0
481143,122411,115,"64.5963261229204",2,"I",0
481144,122411,62,"107.708930299341",2,"I",0
481145,122411,25,"630.053694166121",2,"I",0
481146,11093,6895,"49.15",2,"I",0
481147,11093,6896,"81.95",2,"I",0
481148,11093,223275,"799",2,"I",0
481149,201767,1088362,"908.022773946082",2,"I",0
481150,201767,1088378,"28.1228382873001",2,"I",0
481151,201767,1088368,"67.6539977666182",2,"I",0
481200,122412,10,"94.2196811793336",2,"I",0
481201,122412,337,"1.18583122765752",2,"I",0
481202,122412,25,"5.36858137612221",2,"I",0
481203,122412,27,"14.0359296219099",2,"I",0
481204,122412,115,"22.3151876477369",2,"I",0
481205,122412,28,"273.215514852292",2,"I",0
481206,122412,338,"399.042988390642",2,"I",0
481207,122412,117,"16.6555386066442",2,"I",0
481208,122412,1167,"99.7607470976605",2,"I",0
481234,122413,10,"88.9987208447867",2,"I",0
481235,122413,24,"7.68625316386794",2,"I",0
481236,122413,25,"4.42970906022916",2,"I",0
481237,122413,28,"19.4179027297716",2,"I",0
481238,122413,116,"88.5941812045831",2,"I",0
481239,122413,455,"72.2861769588765",2,"I",0
481240,122413,62,"183.559861742373",2,"I",0
481241,122413,23,"207.528835424434",2,"I",0
481242,122413,115,"238.779522630161",2,"I",0
481243,122413,1167,"17.7188362409166",2,"I",0
481452,122414,10,"89.1618872838563",2,"I",0
481453,122414,24,"106.699766479667",2,"I",0
481454,122414,28,"50.6130804353918",2,"I",0
481455,122414,455,"62.5301048918389",2,"I",0
481456,122414,116,"97.184426116914",2,"I",0
481457,122414,26,"88.8369236855552",2,"I",0
481458,122414,25,"61.4181200789022",2,"I",0
481459,122414,386,"139.125040522646",2,"I",0
481460,122414,115,"209.093765281845",2,"I",0
481461,122414,1167,"19.4368852233828",2,"I",0
481462,122415,10,"95.6780572419776",2,"I",0
481463,122415,15,"25.5503902862099",2,"I",0
481464,122415,116,"40.7718993928882",2,"I",0
481465,122415,6899,"55.2323330442325",2,"I",0
481466,122415,28,"48.8827892454467",2,"I",0
481467,122415,62,"79.1518473547269",2,"I",0
481468,122415,24,"191.290879444926",2,"I",0
481469,122415,25,"110.24721595837",2,"I",0
481470,122415,455,"285.240208152645",2,"I",0
481471,122415,1167,"8.15437987857763",2,"I",0
481550,122417,10,"60.8897135917571",2,"I",0
481551,122417,24,"39.1344708198501",2,"I",0
481552,122417,116,"36.7557496624501",2,"I",0
481553,122417,25,"22.5943834717476",2,"I",0
481554,122417,115,"143.000671328249",2,"I",0
481555,122417,1174,"609.673861193456",2,"I",0
481556,122417,1167,"7.35114993249003",2,"I",0
481664,51720,10,"90.5700160462856",2,"I",0
481665,51720,116,"44.7170090627613",2,"I",0
481666,51720,28,"78.4045110402965",2,"I",0
481667,51720,115,"147.060094469682",2,"I",0
481668,51720,23,"154.80553483852",2,"I",0
481669,51720,342,"173.250010170181",2,"I",0
481670,51720,6899,"216.149422559722",2,"I",0
481671,51720,1167,"8.94340181255226",2,"I",0
481978,51722,10,"89.0816982836495",2,"I",0
481979,51722,92,"8.71648780487805",2,"I",0
481980,51722,41,"13.3773875338753",2,"I",0
481981,51722,15,"52.5612285456188",2,"I",0
481982,51722,6899,"145.173911472448",2,"I",0
481983,51722,312,"807.88928635953",2,"I",0
481984,201770,1088366,"942.967739028414",2,"I",0
481985,201770,1088364,"10.4292611182401",2,"I",0
481986,201770,1088361,"14.3571646562786",2,"I",0
481987,201770,1088367,"33.0485676993584",2,"I",0
481988,201770,1088377,"33.5903474977085",2,"I",0
481989,11094,6897,"10.64",2,"I",0
481990,11094,6898,"1.47",2,"I",0
481991,11094,6894,"57.74",2,"I",0
481992,11094,6900,"159.48",2,"I",0
481993,11094,6914,"887.48",2,"I",0
481994,201766,1088370,"550.7871979027",2,"I",0
481995,201766,1088377,"48.5828152758576",2,"I",0
481996,201766,1088373,"204.975810517804",2,"I",0
481997,201766,1088375,"241.958796303639",2,"I",0
481998,51724,10,"65.226068409827",2,"I",0
481999,51724,15,"31.4162256102378",2,"I",0
482000,51724,459,"379.23872343787",2,"I",0
482001,51724,293,"127.908918555968",2,"I",0
482002,51724,463,"343.110063986097",2,"I",0
482003,11096,6894,"46.26",2,"I",0
482004,11096,6928,"186.14",2,"I",0
482005,11096,6924,"209.27",2,"I",0
482006,11096,6916,"505.23",2,"I",0
482018,51725,10,"69.5602556093937",2,"I",0
482019,51725,41,"13.4817814995526",2,"I",0
482020,51725,15,"40.1584980837737",2,"I",0
482021,51725,459,"328.678183721362",2,"I",0
482022,51725,293,"164.936688558356",2,"I",0
482023,51725,463,"327.084592527562",2,"I",0
482024,11097,6898,"1.92",2,"I",0
482025,11097,6894,"57.31",2,"I",0
482026,11097,6928,"156.35",2,"I",0
482027,11097,6924,"261.53",2,"I",0
482028,11097,6916,"466.78",2,"I",0
482029,201796,1088370,"490.571875",2,"I",0
482030,201796,1088361,"15.6215625",2,"I",0
482031,201796,1088377,"94.96265625",2,"I",0
482032,201796,1088373,"176.90734375",2,"I",0
482033,201796,1088375,"274.3365625",2,"I",0
483213,122422,10,"88.9814981138854",2,"I",0
483214,122422,24,"7.6847657461992",2,"I",0
483215,122422,25,"4.42885183794111",2,"I",0
483216,122422,28,"19.4141450430295",2,"I",0
483217,122422,116,"89.4870748077144",2,"I",0
483218,122422,455,"72.2721883828404",2,"I",0
483219,122422,62,"181.502033084573",2,"I",0
483220,122422,23,"209.308751245162",2,"I",0
483221,122422,115,"237.823276777112",2,"I",0
483222,122422,1167,"17.8974149615429",2,"I",0
483276,122423,10,"73.1637152150343",2,"I",0
483277,122423,369,"1.27205095771594",2,"I",0
483278,122423,24,"5.84478315865558",2,"I",0
483279,122423,25,"3.24248283339357",2,"I",0
483280,122423,115,"25.3578785688471",2,"I",0
483281,122423,116,"578.409053126129",2,"I",0
483282,122423,117,"117.228225514998",2,"I",0
483283,122423,1167,"115.681810625226",2,"I",0
483610,122424,10,"72.6710680410159",2,"I",0
483611,122424,15,"29.5821793507899",2,"I",0
483612,122424,387,"70.3260381372979",2,"I",0
483613,122424,25,"151.739178787581",2,"I",0
483614,122424,1174,"602.581535683315",2,"I",0
483615,11099,6894,"39.43",2,"I",0
483616,11099,6906,"104.15",2,"I",0
483617,11099,223275,"337.09",2,"I",0
483618,11099,6908,"446.22",2,"I",0
483619,201771,1088362,"343.391413659181",2,"I",0
483620,201771,1088359,"158.743806314399",2,"I",0
483621,201771,1088358,"240.706089574637",2,"I",0
483622,201771,1088378,"262.757530451783",2,"I",0
483780,122425,10,"84.4724802655046",2,"I",0
483781,122425,92,"5.7948698066097",2,"I",0
483782,122425,455,"15.7845334284518",2,"I",0
483783,122425,15,"28.8301980428343",2,"I",0
483784,122425,25,"19.3738930847847",2,"I",0
483785,122425,27,"24.015554969681",2,"I",0
483786,122425,62,"64.6757442760917",2,"I",0
483787,122425,28,"138.000547965034",2,"I",0
483788,122425,116,"414.962650496529",2,"I",0
483789,122425,117,"50.5969975651742",2,"I",0
483790,122425,1167,"82.9925300993058",2,"I",0
484233,51736,10,"87.6727501642216",2,"I",0
484234,51736,15,"21.792653820889",2,"I",0
484235,51736,24,"47.5120024085833",2,"I",0
484236,51736,780,"43.1835997372455",2,"I",0
484237,51736,387,"88.8477457849792",2,"I",0
484238,51736,116,"133.266597328662",2,"I",0
484239,51736,342,"448.486790015327",2,"I",0
484240,51736,117,"19.8845412743595",2,"I",0
484241,51736,1167,"26.6533194657324",2,"I",0
484271,11100,223275,"40.22",2,"I",0
484272,11100,6927,"50.5",2,"I",0
484273,11100,6895,"246.2",2,"I",0
484274,11100,6910,"586.88",2,"I",0
484275,122429,10,"89.2059742202279",2,"I",0
484276,122429,25,"22.1897320839382",2,"I",0
484277,122429,1163,"46.431811182966",2,"I",0
484278,122429,115,"226.367779684132",2,"I",0
484279,122429,386,"539.604702828736",2,"I",0
484280,201772,1088356,"822.50309903732",2,"I",0
484281,201772,1088362,"61.7177897929579",2,"I",0
484282,201772,1088378,"128.779111169722",2,"I",0
484317,11101,6897,"31.25",2,"I",0
484318,11101,6894,"120.29",2,"I",0
484319,11101,6900,"427.41",2,"I",0
484320,11101,6914,"460.95",2,"I",0
484321,201764,1088366,"822.125486681433",2,"I",0
484322,201764,1088371,"7.3905071218241",2,"I",0
484323,201764,1088361,"20.8029089355049",2,"I",0
484324,201764,1088377,"98.5400949576547",2,"I",0
484325,201764,1088367,"101.551042303583",2,"I",0
484326,51738,10,"88.3429665200957",2,"I",0
484327,51738,92,"25.810987040037",2,"I",0
484328,51738,15,"110.403639203888",2,"I",0
484329,51738,6899,"392.278870631798",2,"I",0
484330,51738,312,"423.063536604181",2,"I",0
484357,122431,10,"91.9416563220428",2,"I",0
484358,122431,15,"22.9330555062954",2,"I",0
484359,122431,312,"68.9038836673168",2,"I",0
484360,122431,25,"66.8514275580779",2,"I",0
484361,122431,386,"694.169976946267",2,"I",0
484362,11103,6894,"24.14",2,"I",0
484363,11103,6914,"72.54",2,"I",0
484364,11103,223275,"117.3",2,"I",0
484365,11103,6910,"730.81",2,"I",0
484366,201774,1088356,"543.909686346864",2,"I",0
484367,201774,1088367,"8.68865313653136",2,"I",0
484368,201774,1088378,"139.553136531365",2,"I",0
484369,201774,1088362,"153.989667896679",2,"I",0
484370,201774,1088366,"168.158856088561",2,"I",0
484399,122432,10,"86.191660787881",2,"I",0
484400,122432,15,"16.1363383210188",2,"I",0
484401,122432,780,"29.9112612779861",2,"I",0
484402,122432,28,"40.6163442616864",2,"I",0
484403,122432,62,"61.8887609995173",2,"I",0
484404,122432,24,"268.07967920395",2,"I",0
484405,122432,369,"174.543032710801",2,"I",0
484406,122432,25,"154.495600193072",2,"I",0
484407,122432,117,"95.6373222440871",2,"I",0
484418,51742,10,"82.0384017883236",2,"I",0
484419,51742,465,"50.9462221151233",2,"I",0
484420,51742,115,"88.1257261219321",2,"I",0
484421,51742,369,"89.8723199499597",2,"I",0
484422,51742,1163,"193.951518383126",2,"I",0
484423,51742,116,"311.390052449973",2,"I",0
484424,51742,117,"34.6977487015684",2,"I",0
484425,51742,1167,"62.2780104899945",2,"I",0
484616,122433,10,"109.133811536081",2,"I",0
484617,122433,15,"29.8774123220198",2,"I",0
484618,122433,780,"33.6277151239469",2,"I",0
484619,122433,1163,"118.009528167308",2,"I",0
484620,122433,386,"289.773396495572",2,"I",0
484621,122433,25,"348.478136355072",2,"I",0
484738,122434,10,"101.0062066263",2,"I",0
484739,122434,25,"2.28562616137228",2,"I",0
484740,122434,24,"50.4453854807923",2,"I",0
484741,122434,115,"60.4882883110645",2,"I",0
484742,122434,28,"679.408148251147",2,"I",0
484743,122434,117,"19.5663451693233",2,"I",0
494975,51745,4896,"924",2,"I",0
494976,11104,6930,"924",2,"I",0
495004,201776,1088373,"857.079006535948",2,"I",0
