"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
1886,11251,6905,"24.27",2,"U",0
1887,11251,6917,"319.97",2,"U",0
1888,11251,223275,"587.75",2,"U",0
1889,11253,6917,"66.24",2,"U",0
1890,11253,6895,"139.98",2,"U",0
1891,11253,223275,"719.99",2,"U",0
1892,11255,6896,"8.62",2,"U",0
1893,11255,6897,"27.29",2,"U",0
1894,11255,6895,"87.84",2,"U",0
1895,11255,223275,"801.95",2,"U",0
1896,11295,6898,"1.3",2,"U",0
1897,11295,6914,"135.71",2,"U",0
1898,11295,6925,"90.51",2,"U",0
1899,11295,6894,"379.38",2,"U",0
1900,11295,6900,"392.7",2,"U",0
1901,11298,6897,"9.36",2,"U",0
1902,11298,6898,"1.52",2,"U",0
1903,11298,6894,"306.64",2,"U",0
1904,11298,6900,"361.33",2,"U",0
1905,11298,6925,"387.95",2,"U",0
1910,11356,6905,"24.27",2,"U",0
1911,11356,6917,"319.97",2,"U",0
1912,11356,223275,"587.75",2,"U",0
1913,11358,6917,"66.24",2,"U",0
1914,11358,6895,"139.98",2,"U",0
1915,11358,223275,"719.99",2,"U",0
1916,11360,6896,"8.62",2,"U",0
1917,11360,6897,"27.29",2,"U",0
1918,11360,6895,"87.84",2,"U",0
1919,11360,223275,"801.95",2,"U",0
1920,11394,6927,"5.75",2,"U",0
1921,11394,6895,"136.36",2,"U",0
1922,11394,6910,"170.06",2,"U",0
1923,11394,223275,"187.41",2,"U",0
1924,11394,223475,"420.23",2,"U",0
1925,11396,6924,"4.8",2,"U",0
1926,11396,6898,"2.07",2,"U",0
1927,11396,6895,"115.56",2,"U",0
1928,11396,6927,"141.73",2,"U",0
1929,11396,223275,"150.88",2,"U",0
1930,11396,223475,"243.57",2,"U",0
1931,11396,6911,"264.49",2,"U",0
1932,11398,6924,"3.75",2,"U",0
1933,11398,6898,"1.6",2,"U",0
1934,11398,6895,"82.85",2,"U",0
1935,11398,223275,"143.11",2,"U",0
1936,11398,223475,"188.29",2,"U",0
1937,11398,6927,"189.31",2,"U",0
1938,11398,6910,"311.2",2,"U",0
1939,11420,6898,"1.3",2,"U",0
1940,11420,6914,"135.71",2,"U",0
1941,11420,6925,"90.51",2,"U",0
1942,11420,6894,"379.38",2,"U",0
1943,11420,6900,"392.7",2,"U",0
1944,11423,6897,"9.36",2,"U",0
1945,11423,6898,"1.52",2,"U",0
1946,11423,6894,"306.64",2,"U",0
1947,11423,6900,"361.33",2,"U",0
1948,11423,6925,"387.95",2,"U",0
1949,11470,6898,"11.26",2,"U",0
1950,11470,6894,"29.36",2,"U",0
1951,11470,6928,"433.51",2,"U",0
1952,11470,6924,"462.98",2,"U",0
1953,11472,6898,"3.55",2,"U",0
1954,11472,6895,"161.69",2,"U",0
1955,11472,6916,"348.68",2,"U",0
1956,11472,6924,"414.48",2,"U",0
1957,11566,6924,"4.1",2,"U",0
1958,11566,223303,"896.8",2,"U",0
1959,11567,6924,"9.2",2,"U",0
1960,11567,223303,"891.7",2,"U",0
1961,11673,6917,"66.24",2,"U",0
1962,11673,6895,"139.98",2,"U",0
1963,11673,223275,"719.99",2,"U",0
1964,11675,6896,"8.62",2,"U",0
1965,11675,6897,"27.29",2,"U",0
1966,11675,6895,"87.84",2,"U",0
1967,11675,223275,"801.95",2,"U",0
1968,11684,6905,"24.27",2,"U",0
1969,11684,6917,"319.97",2,"U",0
1970,11684,223275,"587.75",2,"U",0
1971,11686,6917,"66.24",2,"U",0
1972,11686,6895,"139.98",2,"U",0
1973,11686,223275,"719.99",2,"U",0
1974,11688,6896,"8.62",2,"U",0
1975,11688,6897,"27.29",2,"U",0
1976,11688,6895,"87.84",2,"U",0
1977,11688,223275,"801.95",2,"U",0
1978,11695,6898,"11.26",2,"U",0
1979,11695,6894,"29.36",2,"U",0
1980,11695,6928,"433.51",2,"U",0
1981,11695,6924,"462.98",2,"U",0
1982,11697,6898,"3.55",2,"U",0
1983,11697,6895,"161.69",2,"U",0
1984,11697,6916,"348.68",2,"U",0
1985,11697,6924,"414.48",2,"U",0
1986,11703,6903,"33.28",2,"U",0
1987,11703,6898,"7.31",2,"U",0
1988,11703,6912,"8.37",2,"U",0
1989,11703,6894,"1024.34",2,"U",0
1990,11707,6896,"14.51",2,"U",0
1991,11707,6903,"28.9",2,"U",0
1992,11707,6898,"5.21",2,"U",0
1993,11707,6894,"1050.18",2,"U",0
1994,11712,6905,"22.85",2,"U",0
1995,11712,6898,"3.83",2,"U",0
1996,11712,6912,"6.01",2,"U",0
1997,11712,6894,"1055.9",2,"U",0
1998,11727,6905,"22.85",2,"U",0
1999,11727,6898,"3.83",2,"U",0
2000,11727,6912,"6.01",2,"U",0
2001,11727,6894,"1055.9",2,"U",0
2002,11770,6898,"2.33",2,"U",0
2003,11770,6900,"95.56",2,"U",0
2004,11770,6925,"188.76",2,"U",0
2005,11770,6896,"263.05",2,"U",0
2006,11770,6894,"524.19",2,"U",0
2007,11771,6900,"36.39",2,"U",0
2008,11771,6898,"2.54",2,"U",0
2009,11771,6905,"56.95",2,"U",0
2010,11771,6925,"116.28",2,"U",0
2011,11771,6914,"136.73",2,"U",0
2012,11771,6896,"248.72",2,"U",0
2013,11771,6894,"470.99",2,"U",0
2014,11773,6907,"8.16",2,"U",0
2015,11773,6894,"94.33",2,"U",0
2016,11773,6898,"836.61",2,"U",0
2017,11777,6894,"80.26",2,"U",0
2018,11777,6907,"80.48",2,"U",0
2019,11777,6898,"310.89",2,"U",0
2020,11777,223275,"468.77",2,"U",0
2021,11779,6898,"13.35",2,"U",0
2022,11779,6924,"56.15",2,"U",0
2023,11779,6928,"91.89",2,"U",0
2024,11779,6916,"111.08",2,"U",0
2025,11779,6895,"114.5",2,"U",0
2026,11779,6929,"554.74",2,"U",0
37294,52140,10,"90",2,"U",0
37295,52140,906,"20.5",2,"U",0
37296,52140,24,"24.6",2,"U",0
37297,52140,341,"79.4",2,"U",0
37298,52140,92,"53.2",2,"U",0
37299,52140,337,"241.7",2,"U",0
37300,52140,293,"383.5",2,"U",0
37301,52140,117,"43.8",2,"U",0
37302,52142,10,"84.3",2,"U",0
37303,52142,341,"30.6",2,"U",0
37304,52142,906,"69.7",2,"U",0
37305,52142,115,"56.8",2,"U",0
37306,52142,92,"45.9",2,"U",0
37307,52142,337,"236.6",2,"U",0
37308,52142,342,"419.6",2,"U",0
