"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
39368,54618,465,"16.1",2,"U",0
39369,54618,41,"65.7",2,"U",0
39370,54618,15,"156.4",2,"U",0
39371,54618,387,"253.6",2,"U",0
39372,54618,1174,"445.9",2,"U",0
39392,54652,10,"88.1",2,"U",0
39393,54652,24,"67.6",2,"U",0
39394,54652,789,"141.8",2,"U",0
39395,54652,337,"307.1",2,"U",0
39396,54652,342,"308.9",2,"U",0
39397,54652,117,"31.4",2,"U",0
39411,54736,10,"87.5",2,"U",0
39412,54736,15,"8",2,"U",0
39413,54736,294,"93.6",2,"U",0
39414,54736,92,"279.9",2,"U",0
39415,54736,293,"465.2",2,"U",0
39468,54804,10,"87.3",2,"U",0
39469,54804,1524,"9.4",2,"U",0
39470,54804,293,"26.2",2,"U",0
39471,54804,340,"28.2",2,"U",0
39472,54804,337,"82.7",2,"U",0
39473,54804,494,"150.7",2,"U",0
39474,54804,342,"234.5",2,"U",0
39475,54804,789,"311.9",2,"U",0
39476,54804,117,"7.3000000000001",2,"U",0
39477,54804,808884,"-938.2",2,"U",0
39576,55026,465,"16.1",2,"U",0
39577,55026,41,"65.7",2,"U",0
39578,55026,15,"156.4",2,"U",0
39579,55026,387,"253.6",2,"U",0
39580,55026,1174,"445.9",2,"U",0
39733,55396,10,"88.1",2,"U",0
39734,55396,115,"32.4",2,"U",0
39735,55396,386,"42",2,"U",0
39736,55396,1163,"52.3",2,"U",0
39737,55396,24,"88",2,"U",0
39738,55396,116,"156.9",2,"U",0
39739,55396,28,"383.1",2,"U",0
39740,55396,117,"78.9",2,"U",0
39963,55736,10,"88.2",2,"U",0
39964,55736,62,"14.6",2,"U",0
39965,55736,24,"20.4",2,"U",0
39966,55736,15,"185.9",2,"U",0
39967,55736,116,"446.7",2,"U",0
39968,55736,117,"207.3",2,"U",0
39969,55737,10,"87.4",2,"U",0
39970,55737,62,"26.3",2,"U",0
39971,55737,24,"32.4",2,"U",0
39972,55737,15,"261.6",2,"U",0
39973,55737,116,"368.5",2,"U",0
39974,55737,117,"203.2",2,"U",0
40221,56134,10,"87",2,"U",0
40222,56134,62,"3.6",2,"U",0
40223,56134,41,"76.3",2,"U",0
40224,56134,338,"757.1",2,"U",0
93490,55070,10,"81.4",2,"I",0
93491,55070,115,"116.2",2,"I",0
93492,55070,465,"169.7",2,"I",0
93493,55070,1163,"226",2,"I",0
93494,55070,413,"322.3",2,"I",0
93495,55070,117,"16.8",2,"I",0
93496,55072,10,"81.6",2,"I",0
93497,55072,880,"8.7",2,"I",0
93498,55072,906,"26.2",2,"I",0
93499,55072,92,"12.5",2,"I",0
93500,55072,115,"167",2,"I",0
93501,55072,1163,"164.8",2,"I",0
93502,55072,465,"172.6",2,"I",0
93503,55072,413,"300.7",2,"I",0
93511,87248,10,"81.4",2,"I",0
93512,87248,115,"116.2",2,"I",0
93513,87248,465,"169.7",2,"I",0
93514,87248,1163,"226",2,"I",0
93515,87248,413,"322.3",2,"I",0
93516,87248,117,"16.8",2,"I",0
93517,87249,10,"81.6",2,"I",0
93518,87249,880,"8.7",2,"I",0
93519,87249,906,"26.2",2,"I",0
93520,87249,92,"12.5",2,"I",0
93521,87249,115,"167",2,"I",0
93522,87249,1163,"164.8",2,"I",0
93523,87249,465,"172.6",2,"I",0
93524,87249,413,"300.7",2,"I",0
93525,87278,10,"59.6",2,"I",0
93526,87278,27,"3.6",2,"I",0
93527,87278,880,"5.7",2,"I",0
93528,87278,116,"442",2,"I",0
93529,87278,780,"362.3",2,"I",0
93530,87278,115,"22.6",2,"I",0
93531,87278,117,"31",2,"I",0
93532,87279,10,"59.6",2,"I",0
93533,87279,27,"3.6",2,"I",0
93534,87279,880,"5.7",2,"I",0
93535,87279,116,"442",2,"I",0
93536,87279,780,"362.3",2,"I",0
93537,87279,115,"22.6",2,"I",0
93538,87279,117,"31",2,"I",0
93539,87292,10,"90.1",2,"I",0
93540,87292,24,"5.8",2,"I",0
93541,87292,15,"16.8",2,"I",0
93542,87292,27,"31.2",2,"I",0
93543,87292,28,"275.7",2,"I",0
93544,87292,836,"525.7",2,"I",0
93545,87293,10,"90.1",2,"I",0
93546,87293,24,"5.8",2,"I",0
93547,87293,15,"16.8",2,"I",0
93548,87293,27,"31.2",2,"I",0
93549,87293,28,"275.7",2,"I",0
93550,87293,836,"525.7",2,"I",0
93551,87294,10,"90.1",2,"I",0
93552,87294,24,"4.8",2,"I",0
93553,87294,27,"26.4",2,"I",0
93554,87294,15,"15.4",2,"I",0
93555,87294,28,"347.1",2,"I",0
93556,87294,836,"461.9",2,"I",0
93557,87295,10,"90.1",2,"I",0
93558,87295,24,"4.8",2,"I",0
93559,87295,27,"26.4",2,"I",0
93560,87295,15,"15.4",2,"I",0
93561,87295,28,"347.1",2,"I",0
93562,87295,836,"461.9",2,"I",0
93563,87296,6898,"16.1",2,"I",0
