"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
12505,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",39,"S1","DARK GREY MAT (+ Lacquer)","1991 - 2000","","0","A24 - AC10724","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12506,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",39,"S1","SYMPHONIC SILVER MAT","1995 - 2004","","0","A26","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12510,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",39,"S1","COOL WHITE","1997 - 2000","","0","A2W","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12511,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",39,"S1","PEWTER MAT","2000 - 2004","","0","A45","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12513,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",39,"S1","STONE GREY","1994 - 1994","","0","A61 - AC17061","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12514,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",39,"S1","SATELLITE SILVER MAT","1995 - 2003","","0","A69","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12518,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",39,"S1","RED","1984 - 1997","","0","AC10534","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12519,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",39,"S1","YELLOW","1990 - 1998","","0","AC10575","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12520,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",39,"S1","GREY","2003 - 2018","","0","AC10595","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12521,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",39,"S1","MAROON","1990 - 2001","","0","AC10632","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
