"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
12956,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",40,"S1","RUHING BLUE","1991 - 1995","","0","AL","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12957,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",40,"S1","NATURAL WHITE","1993 - 2001","","0","AQ - AC17031","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12958,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",40,"S2","NATURAL WHITE","1993 - 2001","Y","0","AQ - AC17031","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12959,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",40,"S3","NATURAL WHITE","1993 - 2001","L+R","0","AQ - AC17031","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12960,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",40,"S1","EUROPEAN BEIGE","1991 - 1993","","0","AU","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12963,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",40,"S1","VENUS RED (Couche)","1990 - 1997","","0","AZ","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12965,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",40,"S1","CORTON RED","1991 - 1993","","0","BA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12966,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",40,"S2","CORTON RED","1991 - 1993","D+R","0","BA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12967,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",40,"S1","WASP YELLOW","2003 - 2003","","0","BA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
12968,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",40,"S1","SCOTIA WHITE","1991 - 1998","","0","BC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
