"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
2245,13096,6894,"85.31",2,"U",0
2246,13096,6906,"116.22",2,"U",0
2247,13096,6908,"730.07",2,"U",0
2248,13097,6898,"2.67",2,"U",0
2249,13097,6905,"193.81",2,"U",0
2250,13097,6900,"198.01",2,"U",0
2251,13097,6894,"322.53",2,"U",0
2252,13097,6925,"335.57",2,"U",0
2253,13098,6894,"29.65",2,"U",0
2254,13098,6898,"10.63",2,"U",0
2255,13098,6928,"354.5",2,"U",0
2256,13098,6924,"522.22",2,"U",0
40632,58325,10,"87.5",2,"U",0
40633,58325,15,"77.3",2,"U",0
40634,58325,387,"105.3",2,"U",0
40635,58325,1174,"661.5",2,"U",0
40636,58326,10,"87.5",2,"U",0
40637,58326,41,"39.3",2,"U",0
40638,58326,14,"170.9",2,"U",0
40639,58326,6899,"174.6",2,"U",0
40640,58326,15,"284.4",2,"U",0
40641,58326,305,"295.9",2,"U",0
40642,58333,10,"87.5",2,"U",0
40643,58333,15,"22.7",2,"U",0
40644,58333,41,"135.6",2,"U",0
40645,58333,459,"271.4",2,"U",0
40646,58333,293,"399.8",2,"U",0
132061,126082,10,"89.0775226796544",2,"I",0
132062,126082,62,"8.94842693585569",2,"I",0
132063,126082,115,"12.3040870368016",2,"I",0
132064,126082,465,"24.6081740736032",2,"I",0
132065,126082,1163,"33.2515410002819",2,"I",0
132066,126082,369,"62.2322418720873",2,"I",0
132067,126082,25,"87.9030416443233",2,"I",0
132068,126082,338,"218.626339910111",2,"I",0
132069,126082,28,"305.466755855801",2,"I",0
132070,126082,117,"77.281868991481",2,"I",0
132071,126083,10,"87.7732932963482",2,"I",0
132072,126083,25,"10.3053461364491",2,"I",0
132073,126083,465,"22.4443124410753",2,"I",0
132074,126083,1163,"43.9868444715717",2,"I",0
132075,126083,115,"54.8082093985188",2,"I",0
132076,126083,24,"181.257862526363",2,"I",0
132077,126083,28,"191.177447042731",2,"I",0
132078,126083,338,"305.102372245868",2,"I",0
132079,126083,117,"22.4443124410753",2,"I",0
132088,126085,10,"91.0234164677198",2,"I",0
132089,126085,1165,"3.96207311085149",2,"I",0
132090,126085,336,"34.4074770152893",2,"I",0
132091,126085,342,"65.1656761653206",2,"I",0
132092,126085,369,"86.9570782750038",2,"I",0
132093,126085,340,"117.402482179442",2,"I",0
132094,126085,115,"118.132337752493",2,"I",0
132095,126085,465,"174.539747041195",2,"I",0
132096,126085,25,"223.247180034202",2,"I",0
132097,126085,117,"8.8625319584836",2,"I",0
132107,126087,10,"91.1116564417178",2,"I",0
132108,126087,92,"13.2091100092445",2,"I",0
132109,126087,492,"16.4333809563829",2,"I",0
132110,126087,341,"25.7941675771073",2,"I",0
132111,126087,1385,"32.970770652996",2,"I",0
132112,126087,24,"135.939423480965",2,"I",0
132113,126087,25,"210.851718631818",2,"I",0
132114,126087,369,"283.42381712749",2,"I",0
132115,126087,117,"118.465955122279",2,"I",0
132116,126088,10,"91.0616396829318",2,"I",0
132117,126088,62,"11.1101430399928",2,"I",0
132118,126088,387,"78.8093324051827",2,"I",0
132119,126088,24,"125.534233040666",2,"I",0
132120,126088,413,"168.521141625312",2,"I",0
132121,126088,1163,"236.116497877978",2,"I",0
132122,126088,25,"200.875539487571",2,"I",0
132123,126088,117,"12.7714728403656",2,"I",0
318916,202583,1088361,"15.7285033282443",2,"I",0
318917,202583,1088365,"136.31369551145",2,"I",0
318918,202583,1088366,"272.627391022901",2,"I",0
318919,202583,1088368,"357.386547847328",2,"I",0
318920,202583,1088377,"362.629382290076",2,"I",0
318921,202549,1088377,"74.7478822040816",2,"I",0
318922,202549,1088360,"116.810310541145",2,"I",0
318923,202549,1088353,"302.876275382488",2,"I",0
318924,202549,1088358,"522.967261872284",2,"I",0
318925,202576,1088367,"14.1367595452784",2,"I",0
318926,202576,1088361,"28.2735190905568",2,"I",0
318927,202576,1088372,"101.896643059036",2,"I",0
318928,202576,1088377,"299.531340860354",2,"I",0
318929,202576,1088366,"639.653377444775",2,"I",0
318930,202538,1088348,"6.58843528485167",2,"I",0
318931,202538,1088377,"44.7744683644001",2,"I",0
318932,202538,1088373,"450.702756629037",2,"I",0
318933,202538,1088375,"522.234339721712",2,"I",0
350419,87768,10,"1",2,"I",0
421828,97439,10,"90.00267552847",2,"I",0
421829,97439,293,"21.8900463970612",2,"I",0
421830,97439,41,"34.4206355441834",2,"I",0
421831,97439,15,"73.47994946224",2,"I",0
421832,97439,463,"746.806693068045",2,"I",0
421833,97440,6924,"27.7222836701946",0,"I",0
421834,97440,6898,"3.92322951180729",0,"I",0
421835,97440,6894,"83.7517093158622",0,"I",0
421836,97440,6916,"851.202777502136",0,"I",0
481244,125675,10,"82.801492770338",2,"I",0
481245,125675,455,"8.97251670804856",2,"I",0
481246,125675,115,"17.426935338467",2,"I",0
481247,125675,465,"24.8687077262449",2,"I",0
481248,125675,62,"28.4482944444165",2,"I",0
481249,125675,386,"66.1281546356966",2,"I",0
481250,125675,24,"300.148346318689",2,"I",0
