"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
40403,57178,10,"87.4",2,"U",0
40404,57178,1386,"86.9",2,"U",0
40405,57178,340,"718.5",2,"U",0
40406,57178,117,"16.4",2,"U",0
40407,57180,10,"88.4",2,"U",0
40408,57180,1386,"73.9",2,"U",0
40409,57180,340,"706.3",2,"U",0
40410,57180,117,"41",2,"U",0
40411,57181,10,"87.4",2,"U",0
40412,57181,1386,"98.8",2,"U",0
40413,57181,340,"700.2",2,"U",0
40414,57181,117,"24.7",2,"U",0
40427,57185,10,"87.5",2,"U",0
40428,57185,62,"17",2,"U",0
40429,57185,14,"19.2",2,"U",0
40430,57185,41,"47.3",2,"U",0
40431,57185,13,"60.5",2,"U",0
40432,57185,15,"866.4",2,"U",0
40439,57187,10,"88.5",2,"U",0
40440,57187,14,"20.1",2,"U",0
40441,57187,62,"21.2",2,"U",0
40442,57187,41,"48.3",2,"U",0
40443,57187,13,"64.4",2,"U",0
40444,57187,15,"852.8",2,"U",0
40445,57188,10,"78.8",2,"U",0
40446,57188,62,"11.8",2,"U",0
40447,57188,14,"18.2",2,"U",0
40448,57188,41,"43.8",2,"U",0
40449,57188,13,"54.6",2,"U",0
40450,57188,15,"890.9",2,"U",0
40531,57686,10,"88",2,"U",0
40532,57686,24,"9.3",2,"U",0
40533,57686,27,"14.2",2,"U",0
40534,57686,338,"368.3",2,"U",0
40535,57686,28,"390.5",2,"U",0
40536,57686,117,"55.1",2,"U",0
40537,57687,10,"87.5",2,"U",0
40538,57687,24,"2.5",2,"U",0
40539,57687,27,"6.7",2,"U",0
40540,57687,115,"24.9",2,"U",0
40541,57687,14,"49.7",2,"U",0
40542,57687,28,"227.9",2,"U",0
40543,57687,116,"497.1",2,"U",0
40544,57687,117,"19.9",2,"U",0
40545,57688,10,"87.4",2,"U",0
40546,57688,62,"7.8",2,"U",0
40547,57688,14,"9.2",2,"U",0
40548,57688,13,"11.9",2,"U",0
40549,57688,24,"24.1",2,"U",0
40550,57688,780,"54.8",2,"U",0
40551,57688,115,"76.9",2,"U",0
40552,57688,338,"597.8",2,"U",0
40553,57688,117,"60",2,"U",0
40554,57689,10,"87.7",2,"U",0
40555,57689,27,"10",2,"U",0
40556,57689,14,"50.1",2,"U",0
40557,57689,115,"67.6",2,"U",0
40558,57689,338,"310.4",2,"U",0
40559,57689,28,"392.1",2,"U",0
40560,57689,117,"4.2",2,"U",0
96057,93656,6912,"12.1",2,"I",0
96058,93656,6898,"15.8",2,"I",0
96059,93656,6903,"17.6",2,"I",0
96060,93656,6894,"999.4",2,"I",0
96065,93658,6912,"9.1",2,"I",0
96066,93658,6903,"10.3",2,"I",0
96067,93658,6898,"12.5",2,"I",0
96068,93658,6894,"1030.4",2,"I",0
96073,93660,6897,"2.5",2,"I",0
96074,93660,6912,"12.2",2,"I",0
96075,93660,6898,"14.6",2,"I",0
96076,93660,6894,"1028.5",2,"I",0
96081,93662,6897,"1.6",2,"I",0
96082,93662,6912,"13",2,"I",0
96083,93662,6898,"15.5",2,"I",0
96084,93662,6894,"1024.5",2,"I",0
98293,97005,10,"87.5",2,"I",0
98294,97005,62,"10.3",2,"I",0
98295,97005,27,"12.3",2,"I",0
98296,97005,24,"43",2,"I",0
98297,97005,115,"118.8",2,"I",0
98298,97005,28,"183.4",2,"I",0
98299,97005,338,"425.3",2,"I",0
98300,97005,117,"47.1",2,"I",0
98331,97011,10,"87.4",2,"I",0
98332,97011,62,"13.5",2,"I",0
98333,97011,24,"40.7",2,"I",0
98334,97011,115,"132.1",2,"I",0
98335,97011,338,"610.6",2,"I",0
98336,97011,117,"43",2,"I",0
98516,97347,10,"87.7",2,"I",0
98517,97347,115,"4.2",2,"I",0
98518,97347,880,"4.1",2,"I",0
98519,97347,24,"15.9",2,"I",0
98520,97347,13,"45.8",2,"I",0
98521,97347,338,"362.5",2,"I",0
98522,97347,28,"382.5",2,"I",0
98523,97347,117,"18.3",2,"I",0
100823,98532,10,"87.4",2,"I",0
100824,98532,1385,"49.6",2,"I",0
100825,98532,340,"579.1",2,"I",0
100826,98532,117,"199.4",2,"I",0
100859,98540,10,"76.2",2,"I",0
100860,98540,14,"4.1",2,"I",0
100861,98540,13,"8",2,"I",0
100862,98540,32,"67.6",2,"I",0
100863,98540,41,"96.6",2,"I",0
100864,98540,15,"836.2",2,"I",0
100927,98548,10,"87.5",2,"I",0
100928,98548,1386,"6.6",2,"I",0
100929,98548,413,"8.2",2,"I",0
100930,98548,1385,"57.9",2,"I",0
100931,98548,340,"621.8",2,"I",0
100932,98548,117,"132.3",2,"I",0
100965,98556,10,"88",2,"I",0
100966,98556,13,"5.1",2,"I",0
100967,98556,24,"7.6",2,"I",0
100968,98556,14,"28.2",2,"I",0
100969,98556,15,"995",2,"I",0
100996,98564,10,"87.5",2,"I",0
100997,98564,1386,"82.5",2,"I",0
100998,98564,340,"715.7",2,"I",0
100999,98564,117,"24.6",2,"I",0
131680,124860,10,"94.0961581238679",2,"I",0
131681,124860,15,"481.031618418126",2,"I",0
131682,124860,25,"441.272223458006",2,"I",0
131701,125232,10,"89.3852916092633",2,"I",0
