"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
58335,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",43,"S1","GOLDEN GLOW MET","1988 -","","0","228","-5332837","","",0,"0",,,,,,,,,"1",,,"-4144960:34.91;-2368549:23.83;-9830400:20.21;-460552:14.9;-1907998:5.96;-61681:0.18;",,,,,,,,,
58336,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",43,"S1","STARLIGHT GLOW MET","1987 -","","0","CLR 051","-2565928","","",0,"0",,,,,,,,,"1",,,"-1907998:16.67;-2368549:83.33;",,,,,,,,,
58338,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",43,"S1","PLATINUM GLOW MET","1986 -","","0","CLR 057","-3554628","","",0,"0",,,,,,,,,"1",,,"-1907998:14.42;-16777216:12.38;-2368549:72.09;-3775744:1.11;",,,,,,,,,
58339,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",43,"S1","SILVER GLOW MET","1988 - 1990","","0","CLR 069","-3554628","","",0,"0",,,,,,,,,"1",,,"-3775744:0.72;-16777216:2.84;-4144960:60.79;-2368549:35.65;",,,,,,,,,
58340,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",43,"S1","PLATINUM GLOW MET","1990 -","","0","CLR 080","-3554628","","",0,"0",,,,,,,,,"1",,,"-2368549:72.09;-16777216:12.38;-3775744:1.11;-1907998:14.42;",,,,,,,,,
58346,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",43,"S1","DESERT GLOW MET","1986 -","","0","CLR 223","-3619132","","",0,"0",,,,,,,,,"1",,,"-4144960:61.84;-2368549:11.03;-13691136:8.48;-460552:4.45;-16777216:7.88;-9890257:3.32;-12845056:2.99;",,,,,,,,,
58348,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",43,"S1","GOLDEN CHESTNUT MET","1989 -","","0","CLR 233","-3437944","","",0,"0",,,,,,,,,"1",,,"-12845056:12.14;-1:2.59;-16777216:14.08;-4144960:9.89;-2368549:19.99;-61681:37.31;-1907998:4;",,,,,,,,,
58349,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",43,"S1","GOLDEN CHESTNUT MET","1990 - 1990","","0","CLR 234","-10601932","","",0,"0",,,,,,,,,"1",,,"-13691136:26.69;-9890257:25.88;-4144960:14.78;-460552:13.61;-9830400:5.89;-13565422:13.16;",,,,,,,,,
58357,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",43,"S1","LIGHT BLUE MET","1988 -","","0","CLR 553","-9932162","","",0,"0",,,,,,,,,"1",,,"-2368549:70.37;-16777216:1.63;-7981310:1.34;-460552:10.07;-1907998:14.07;-16771281:2.52;",,,,,,,,,
58359,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",43,"S1","BRIGHT BLUE MET","1999 - 1999","","0","CLR 555","-6642776","","",0,"0",,,,,,,,,"1",,,"-16767426:55.96;-16761826:1.65;-9890257:7.69;-4144960:16.59;-2368549:18.12;",,,,,,,,,
