"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
79377,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S2","WHITE","1981 - 2002","R","0","002","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79378,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S3","WHITE","1981 - 2002","DRT","0","002","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79379,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","NEW ORANGE","2000 - 2000","","0","008 - E14YE008","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79380,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","RED","1981 - 1992","","0","013","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79381,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S2","RED","1981 - 1992","R","0","013","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79382,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S3","RED (Couche)","1981 - 1992","D+R","0","013","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79384,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","SUNSHINE YELLOW","1982 - 1986","","0","016","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79385,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S2","SUNSHINE YELLOW (Couche)","1982 - 1986","R","0","016","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79386,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S3","SUNSHINE YELLOW (Couche)","1982 - 1986","L","0","016","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79389,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","TAXI YELLOW (Couche)","1995 - 1995","","0","019","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79394,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","URBAN WHITE","1972 - 1974","","0","024","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79395,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","ORANGE (Couche)","2002 - 2002","","0","031","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79396,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S2","ORANGE (Couche)","2002 - 2002","D","0","031","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79399,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","RED","1982 - 1992","","0","041","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79400,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","LIGHT GOLD PEARL","1985 - 1992","","0","042","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79402,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","IVORY","1985 - 1985","","0","056","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79404,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","LIME","1971 - 1972","","0","068","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79405,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","LIGHT GREY","1993 - 1993","","0","10001","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79406,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","GREY","1993 - 1993","","0","10010","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79407,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","GREY","1993 - 1993","","0","10018","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79408,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","GREY","1993 - 1993","","0","10019","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79409,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","GREY MAT (+ Lacquer)","1998 - 1998","","0","10024","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79410,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","BLACK MAT (+ Lacquer)","1998 - 1998","","0","10026","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79411,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","WHITE MAT","1998 - 1998","","0","10028","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79412,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","MEDIUM GREY","1998 - 1998","","0","10034","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79413,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","DARK RED","1998 - 1998","","0","10041","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79414,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","GREEN","1998 - 1998","","0","10042","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79415,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","TRUE BLUE","1972 - 1978","","0","103","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79416,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","RED PERSIMMON (Couche)","1972 - 1979","","0","110","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79418,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","DARK BLUE","1985 - 1993","","0","111","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79420,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","TAXI GREEN","1992 - 1995","","0","114","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79421,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","BUTTER YELLOW","1982 - 1989","","0","119","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79422,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S2","BUTTER YELLOW (Couche)","1982 - 1989","D+Y","0","119","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
79424,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",76,"S1","BEIGE","1982 - 1982","","0","130","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
