"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
81348,79679,6895,"9.98",2,"I",0
81349,79679,6898,"5.04",2,"I",0
81350,79679,6928,"206.28",2,"I",0
81351,79679,6924,"686.2",2,"I",0
81356,79681,223275,"4.53",2,"I",0
81357,79681,6916,"28.07",2,"I",0
81358,79681,6895,"111.06",2,"I",0
81359,79681,6928,"325.34",2,"I",0
81360,79681,6924,"448.89",2,"I",0
81417,79711,223275,"4.3",2,"I",0
81418,79711,6916,"10.47",2,"I",0
81419,79711,6894,"36.59",2,"I",0
81420,79711,6924,"198.28",2,"I",0
81421,79711,6928,"690.16",2,"I",0
81427,79717,6894,"23.02",2,"I",0
81428,79717,6898,"3.85",2,"I",0
81429,79717,6928,"170.66",2,"I",0
81430,79717,6924,"332.75",2,"I",0
81431,79713,6894,"44.19",2,"I",0
81432,79713,6924,"174.22",2,"I",0
81433,79713,6897,"186.68",2,"I",0
81434,79713,6928,"537.11",2,"I",0
81986,79942,6903,"34.6",2,"I",0
81987,79942,6912,"2.83",2,"I",0
81988,79942,6905,"53.1",2,"I",0
81989,79942,6898,"7.63",2,"I",0
82002,79947,223275,"5.33",2,"I",0
82003,79947,6912,"1.37",2,"I",0
82004,79947,6903,"26.96",2,"I",0
82392,80077,6905,"24.27",2,"I",0
82393,80077,6917,"319.97",2,"I",0
82394,80077,223275,"587.75",2,"I",0
82395,80079,6917,"66.24",2,"I",0
82396,80079,6895,"139.98",2,"I",0
82397,80079,223275,"719.99",2,"I",0
82398,80081,6896,"8.62",2,"I",0
82399,80081,6897,"27.29",2,"I",0
82400,80081,6895,"87.84",2,"I",0
82401,80081,223275,"801.95",2,"I",0
82422,80088,223275,"10.78",2,"I",0
82423,80088,6911,"11.43",2,"I",0
82424,80088,6896,"94.16",2,"I",0
82425,80088,6912,"202.03",2,"I",0
82426,80088,6894,"752.71",2,"I",0
82427,80090,6897,"3.87",2,"I",0
82428,80090,6911,"14.25",2,"I",0
82429,80090,6898,"28.28",2,"I",0
82430,80090,6896,"178.82",2,"I",0
82431,80090,6894,"861.29",2,"I",0
82432,80092,6911,"11.98",2,"I",0
82433,80092,6898,"39.84",2,"I",0
82434,80092,6896,"199.07",2,"I",0
82435,80092,6894,"844.01",2,"I",0
88923,83633,10,"95.4",2,"I",0
88924,83633,494,"14",2,"I",0
88925,83633,4615,"12.3",2,"I",0
88926,83633,341,"63.2",2,"I",0
88927,83633,337,"43.6",2,"I",0
88928,83633,115,"94.1",2,"I",0
88929,83633,342,"198",2,"I",0
88930,83633,293,"133.9",2,"I",0
88931,83633,455,"152.7",2,"I",0
88932,83636,10,"100",2,"I",0
88933,83636,115,"22.9",2,"I",0
88934,83636,62,"45.8",2,"I",0
88935,83636,337,"91.6",2,"I",0
88936,83636,455,"87",2,"I",0
88937,83636,342,"226.1",2,"I",0
88938,83636,293,"271.5",2,"I",0
88939,83636,117,"77.8",2,"I",0
88962,83649,10,"79.9",2,"I",0
88963,83649,115,"7.5",2,"I",0
88964,83649,41,"47.9",2,"I",0
88965,83649,459,"245.9",2,"I",0
89016,83661,10,"87.4",2,"I",0
89017,83661,115,"10.2",2,"I",0
89018,83661,459,"15.5",2,"I",0
89019,83661,2335,"29.1",2,"I",0
89020,83661,455,"85.1",2,"I",0
89021,83661,340,"88.4",2,"I",0
89022,83661,465,"200.9",2,"I",0
89023,83661,337,"208.1",2,"I",0
89064,83675,10,"98.2",2,"I",0
89065,83675,413,"8.5",2,"I",0
89066,83675,463,"9.5",2,"I",0
89067,83675,15,"24.6",2,"I",0
89068,83675,459,"71.8",2,"I",0
89069,83675,23,"155",2,"I",0
89070,83675,455,"179.6",2,"I",0
89071,83675,338,"194.7",2,"I",0
89072,83675,28,"147.6",2,"I",0
89168,83744,10,"82.4",2,"I",0
89169,83744,15,"18.6",2,"I",0
89170,83744,41,"51.7",2,"I",0
89171,83744,459,"153.8",2,"I",0
89172,83744,293,"268",2,"I",0
89173,83744,463,"367.7",2,"I",0
89174,83740,10,"100.3",2,"I",0
89175,83740,15,"36.4",2,"I",0
89176,83740,293,"82",2,"I",0
89177,83740,92,"154.8",2,"I",0
89330,83838,10,"89.7",2,"I",0
89331,83838,338,"8.6",2,"I",0
89332,83838,4615,"34.9",2,"I",0
89333,83838,92,"53.3",2,"I",0
89334,83838,340,"121.1",2,"I",0
89335,83838,337,"146.9",2,"I",0
89336,83838,465,"190.2",2,"I",0
89337,83838,342,"259.3",2,"I",0
89338,83839,10,"84.5",2,"I",0
89339,83839,338,"6.4",2,"I",0
89340,83839,465,"50.2",2,"I",0
89341,83839,341,"50.2",2,"I",0
89342,83839,1524,"59.4",2,"I",0
89343,83839,115,"58",2,"I",0
89344,83839,293,"65.8",2,"I",0
89345,83839,340,"155.3",2,"I",0
89346,83839,337,"159",2,"I",0
89510,83963,10,"76.4",2,"I",0
89511,83963,386,"9.8",2,"I",0
89512,83963,24,"27.4",2,"I",0
89513,83963,880,"28.9",2,"I",0
89514,83963,451,"34.7",2,"I",0
89515,83963,115,"159.5",2,"I",0
89516,83963,28,"266.6",2,"I",0
89517,83963,338,"285.1",2,"I",0
89518,83963,117,"42.1",2,"I",0
90069,84340,10,"69.8",2,"I",0
90070,84340,62,"0.90000000000001",2,"I",0
90071,84340,13,"3.9",2,"I",0
90072,84340,24,"33.3",2,"I",0
90073,84340,15,"1015",2,"I",0
90078,84343,10,"93.5",2,"I",0
90079,84343,13,"27.3",2,"I",0
90080,84343,32,"37.2",2,"I",0
90081,84343,14,"41.9",2,"I",0
90082,84343,41,"100.4",2,"I",0
90083,84343,15,"756.3",2,"I",0
90140,84366,10,"79.2",2,"I",0
90141,84366,338,"71.9",2,"I",0
90142,84366,1174,"44",2,"I",0
90143,84366,24,"69.4",2,"I",0
90144,84366,28,"54",2,"I",0
90145,84366,1163,"98.1",2,"I",0
90146,84366,386,"440.6",2,"I",0
90174,84375,10,"76.5",2,"I",0
90175,84375,1163,"4.9",2,"I",0
90176,84375,880,"22.4",2,"I",0
90177,84375,15,"49.3",2,"I",0
90178,84375,11,"50.7",2,"I",0
90179,84375,28,"234",2,"I",0
90180,84375,338,"477.4",2,"I",0
90243,84428,10,"85.5",2,"I",0
90244,84428,1163,"31.2",2,"I",0
90245,84428,386,"32.6",2,"I",0
90246,84428,1385,"79.3",2,"I",0
90247,84428,24,"280.7",2,"I",0
90248,84428,338,"388.7",2,"I",0
90705,84700,10,"87.7",2,"I",0
90706,84700,62,"3",2,"I",0
90707,84700,24,"12",2,"I",0
90708,84700,115,"60.9",2,"I",0
90709,84700,338,"733.8",2,"I",0
90710,84700,117,"28.4",2,"I",0
90717,84702,10,"87.7",2,"I",0
90718,84702,880,"1",2,"I",0
90719,84702,27,"4.1",2,"I",0
90720,84702,338,"274.7",2,"I",0
90721,84702,28,"552.6",2,"I",0
90723,84723,4896,"924",2,"I",0
90790,84786,10,"102.8",2,"I",0
90791,84786,92,"3.5",2,"I",0
90792,84786,11,"12.9",2,"I",0
90793,84786,24,"25.6",2,"I",0
90794,84786,62,"161.9",2,"I",0
90795,84786,15,"779.8",2,"I",0
90796,84788,10,"80.7",2,"I",0
90797,84788,11,"11.1",2,"I",0
90798,84788,24,"36.9",2,"I",0
90799,84788,62,"184.4",2,"I",0
90800,84788,15,"781.8",2,"I",0
90980,84902,10,"69.2",2,"I",0
90981,84902,27,"6.1",2,"I",0
90982,84902,880,"12.1",2,"I",0
90983,84902,24,"29.9",2,"I",0
90984,84902,115,"17.3",2,"I",0
90985,84902,3386,"269.1",2,"I",0
90986,84902,338,"510.8",2,"I",0
90987,84902,117,"17.3",2,"I",0
90988,84903,10,"87.3",2,"I",0
90989,84903,880,"7.2",2,"I",0
90990,84903,27,"7.2",2,"I",0
90991,84903,24,"19.5",2,"I",0
90992,84903,13,"61.6",2,"I",0
90993,84903,3386,"110.9",2,"I",0
90994,84903,115,"135.5",2,"I",0
90995,84903,338,"476.6",2,"I",0
90996,84905,10,"86.1",2,"I",0
90997,84905,880,"10.3",2,"I",0
90998,84905,24,"25.7",2,"I",0
90999,84905,115,"94",2,"I",0
91000,84905,3386,"202.5",2,"I",0
91001,84905,338,"463.9",2,"I",0
91002,84905,117,"52.1",2,"I",0
91011,84918,10,"87.7",2,"I",0
91012,84918,115,"4.2",2,"I",0
91013,84918,880,"4.1",2,"I",0
91014,84918,24,"15.9",2,"I",0
91015,84918,13,"45.8",2,"I",0
91016,84918,338,"362.5",2,"I",0
91017,84918,28,"382.5",2,"I",0
91060,84941,10,"87.5",2,"I",0
91061,84941,293,"3.1",2,"I",0
91062,84941,24,"13.4",2,"I",0
91063,84941,880,"23.6",2,"I",0
91064,84941,338,"100.8",2,"I",0
91065,84941,27,"145",2,"I",0
91066,84941,28,"486.4",2,"I",0
