"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
13099,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",44,"S1","CARGO YELLOW (Couche)","2000 - 2005","","0","01U - 51U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13101,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",44,"S1","MAISGELB","2000 - 2015","","0","03L - 88U/40A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13102,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",44,"S2","MAISGELB","2000 - 2015","R","0","03L - 88U/40A","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13103,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",44,"S1","CARBON SCHWARZ","1993 - 2005","","0","07L - UY/280","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13104,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",44,"S2","CARBON SCHWARZ","1993 - 2005","Y","0","07L - UY/280","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13105,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",44,"S3","CARBON SCHWARZ","1993 - 2005","R","0","07L - UY/280","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13106,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",44,"S1","RUBINROT (Couche)","1997 - 1999","","0","09U - WA321D","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13107,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",44,"S2","RUBINROT (Couche)","1997 - 1999","R","0","09U - WA321D","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13108,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",44,"S3","RUBINROT (Couche)","1997 - 1999","D+R","0","09U - WA321D","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13112,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",44,"S1","AIRCRAFT BLAU","1997 - 2010","","0","0QT - 37U/682/18U","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
