"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
4164,13725,6903,"33.28",2,"I",0
4165,13725,6898,"7.31",2,"I",0
4166,13725,6912,"8.37",2,"I",0
4167,13725,6894,"1024.34",2,"I",0
4175,13729,6896,"14.51",2,"I",0
4176,13729,6903,"28.9",2,"I",0
4177,13729,6898,"5.21",2,"I",0
4178,13729,6894,"1050.18",2,"I",0
43845,59903,10,"86.6",2,"I",0
43846,59903,32,"14.3",2,"I",0
43847,59903,24,"24.2",2,"I",0
43848,59903,1385,"218.8",2,"I",0
43849,59903,780,"239.5",2,"I",0
43850,59903,338,"316.3",2,"I",0
43851,59903,117,"44.6",2,"I",0
43852,59904,10,"70.6",2,"I",0
43853,59904,27,"2.2",2,"I",0
43854,59904,115,"45.1",2,"I",0
43855,59904,41,"80.8",2,"I",0
43856,59904,116,"645.9",2,"I",0
43937,59955,10,"87.4",2,"I",0
43938,59955,13,"1.9",2,"I",0
43939,59955,41,"5.5",2,"I",0
43940,59955,1385,"42.5",2,"I",0
43941,59955,340,"736.7",2,"I",0
43947,59956,10,"87.4",2,"I",0
43948,59956,906,"9.4",2,"I",0
43949,59956,1385,"104.4",2,"I",0
43950,59956,340,"670.9",2,"I",0
43951,59956,117,"41.1",2,"I",0
43980,59973,10,"80.4",2,"I",0
43981,59973,24,"16.2",2,"I",0
43982,59973,28,"418.8",2,"I",0
43983,59973,338,"361",2,"I",0
43984,59973,117,"43.5",2,"I",0
43985,59974,10,"84.4",2,"I",0
43986,59974,24,"9.7",2,"I",0
43987,59974,27,"10.4",2,"I",0
44003,59974,13,"29",2,"I",0
44004,59974,115,"11.8",2,"I",0
44005,59974,28,"358.6",2,"I",0
44006,59974,116,"375.4",2,"I",0
44007,59974,117,"39.4",2,"I",0
44008,59975,10,"87.4",2,"I",0
44009,59975,24,"9.3",2,"I",0
44010,59975,27,"14.1",2,"I",0
44011,59975,338,"368.6",2,"I",0
44012,59975,28,"390.8",2,"I",0
44013,59981,10,"86.7",2,"I",0
44014,59981,13,"24.9",2,"I",0
44015,59981,41,"91.1",2,"I",0
44016,59981,32,"104.3",2,"I",0
44017,59981,15,"766.3",2,"I",0
44027,59985,10,"90",2,"I",0
44028,59985,62,"12.4",2,"I",0
44029,59985,13,"24.7",2,"I",0
44030,59985,41,"74.2",2,"I",0
44031,59985,15,"897.5",2,"I",0
96419,93892,10,"85",2,"I",0
96420,93892,1386,"7.1",2,"I",0
96421,93892,14,"14.3",2,"I",0
96422,93892,32,"16.8",2,"I",0
96423,93892,1385,"170.8",2,"I",0
96424,93889,10,"87.4",2,"I",0
96425,93889,24,"3.7",2,"I",0
96426,93889,62,"17.7",2,"I",0
96427,93889,15,"1023.6",2,"I",0
96428,93898,10,"87.4",2,"I",0
96429,93898,14,"2.7",2,"I",0
96430,93895,10,"87.7",2,"I",0
96431,93895,14,"10.1",2,"I",0
96432,93895,62,"18.7",2,"I",0
96433,93895,41,"147.9",2,"I",0
96434,93895,15,"821.3",2,"I",0
96483,93898,1385,"159.2",2,"I",0
96484,93898,340,"611.1",2,"I",0
96485,93898,117,"58",2,"I",0
96486,93904,10,"87.4",2,"I",0
96487,93904,1385,"73.1",2,"I",0
96488,93904,1386,"206",2,"I",0
96489,93904,340,"468.2",2,"I",0
96490,93901,10,"87.5",2,"I",0
96491,93901,14,"37",2,"I",0
96492,93901,62,"61.9",2,"I",0
96493,93901,41,"145.9",2,"I",0
96494,93901,15,"742.1",2,"I",0
234401,141477,10,"90.9048945783133",2,"I",0
234402,141477,25,"11.9268825301205",2,"I",0
234403,141477,27,"42.1951054216868",2,"I",0
234404,141477,24,"43.3978162650602",2,"I",0
234405,141477,338,"69.4565512048193",2,"I",0
234406,141477,880,"116.963629518072",2,"I",0
234407,141477,116,"546.030722891566",2,"I",0
234408,141483,10,"89.2223604491478",2,"I",0
234409,141483,305,"0.801098634784716",2,"I",0
234410,141483,312,"1.30178528152516",2,"I",0
234411,141483,25,"7.23492204539947",2,"I",0
234412,141483,24,"26.4362549478956",2,"I",0
234413,141483,27,"30.6420227805154",2,"I",0
234414,141483,880,"81.6119234186929",2,"I",0
234415,141483,115,"100.738153324178",2,"I",0
234416,141483,338,"107.94804103724",2,"I",0
234417,141483,116,"483.76343808062",2,"I",0
234527,141489,10,"89.6828124002638",2,"I",0
234528,141489,25,"10.9022234515628",2,"I",0
234529,141489,27,"34.5704695844592",2,"I",0
234530,141489,115,"48.0980446392476",2,"I",0
234531,141489,880,"52.4068278048469",2,"I",0
234532,141489,28,"167.04050086172",2,"I",0
234533,141489,338,"237.484095406285",2,"I",0
234534,141489,451,"280.371518542948",2,"I",0
242293,143766,10,"71.8176351996604",2,"I",0
242294,143766,338,"1.64467866869451",2,"I",0
242295,143766,1162,"55.6997842464542",2,"I",0
242296,143766,1163,"28.2884731015456",2,"I",0
242297,143766,369,"83.659321614261",2,"I",0
242298,143766,28,"35.3057687546422",2,"I",0
242299,143766,340,"43.2002263643759",2,"I",0
242300,143766,25,"508.304389346727",2,"I",0
242311,143767,10,"93.7872976511895",2,"I",0
242312,143767,92,"8.6820241254244",2,"I",0
242313,143767,115,"21.9730240211358",2,"I",0
242314,143767,338,"26.0460723762732",2,"I",0
242315,143767,413,"37.8364755095656",2,"I",0
242316,143767,369,"48.8765802616484",2,"I",0
242317,143767,1163,"58.2017172852524",2,"I",0
242318,143767,24,"209.654804806545",2,"I",0
242319,143767,25,"376.639068818874",2,"I",0
279857,151646,10,"84.4",2,"I",0
279858,151646,1163,"6.4",2,"I",0
279859,151646,1386,"29.6",2,"I",0
279860,151646,369,"38.7",2,"I",0
279861,151646,25,"82.8",2,"I",0
279862,151646,115,"84.7",2,"I",0
279863,151646,24,"110.2",2,"I",0
279864,151646,338,"207.8",2,"I",0
279865,151646,1167,"257.4",2,"I",0
279946,151651,10,"87",2,"I",0
279947,151651,115,"41.5",2,"I",0
279948,151651,338,"767.5",2,"I",0
279949,151651,117,"28.2",2,"I",0
505495,143766,117,"102.07972270364",2,"I",0
505496,143767,117,"43.302935144092",2,"I",0
505512,59904,117,"77.9",2,"I",0
505559,141477,117,"10.8243975903614",2,"I",0
505561,141489,117,"21.3435073086661",2,"I",0
505584,93892,340,"623.2",2,"I",0
505585,93904,117,"98.4",2,"I",0
505592,59955,117,"32.5",2,"I",0
505612,59975,117,"55.2",2,"I",0
505616,151646,117,"27.7",2,"I",0
518810,58400,10,"69.8",2,"I",0
518811,58400,62,"0.90000000000001",2,"I",0
518812,58400,13,"3.9",2,"I",0
518813,58400,24,"33.3",2,"I",0
518814,58400,15,"1015",2,"I",0
518829,13118,6896,"0.96",2,"I",0
518830,13118,6903,"4.16",2,"I",0
518831,13118,6898,"35.51",2,"I",0
518832,13118,6894,"1082.27",2,"I",0
518870,58403,10,"93.5",2,"I",0
518871,58403,13,"27.3",2,"I",0
518872,58403,32,"37.2",2,"I",0
518873,58403,14,"41.9",2,"I",0
518874,58403,41,"100.4",2,"I",0
518875,58403,15,"756.3",2,"I",0
518880,13121,6903,"34.6",2,"I",0
518881,13121,6912,"2.83",2,"I",0
518882,13121,6905,"53.1",2,"I",0
518883,13121,6898,"7.63",2,"I",0
518884,13121,6894,"958.44",2,"I",0
518933,13126,223275,"5.33",2,"I",0
518934,13126,6912,"1.37",2,"I",0
518935,13126,6903,"26.96",2,"I",0
518936,13126,6894,"1074.84",2,"I",0
519116,58413,10,"69.8",2,"I",0
519117,58413,62,"0.90000000000001",2,"I",0
519118,58413,13,"3.9",2,"I",0
519119,58413,24,"33.3",2,"I",0
519120,58413,15,"1015",2,"I",0
519124,13131,6896,"0.96",2,"I",0
519125,13131,6903,"4.16",2,"I",0
519126,13131,6898,"35.51",2,"I",0
519127,13131,6894,"1082.27",2,"I",0
519137,58416,10,"93.5",2,"I",0
