"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
13738,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","BLANC","1991 - 1991","","0","057","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13739,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","BLEU SAPHIR","1988 - 2002","","0","066","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13740,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","NOIR BRILLANT","1965 - 1981","","0","1000","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13741,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","TURQUOISE","1961 - 1965","","0","1006","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13742,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","BLEU ADMIRAL","1961 - 1966","","0","1023","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13743,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","ROUGE CAPANELLE","1963 - 1963","","0","1033","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13744,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","BLANC SAFARI","1982 - 1986","","0","1054","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13745,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","GRIS","1964 - 1964","","0","1075","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13746,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","BLANC COURCHEVEL","1965 - 1968","","0","1079","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13747,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","BLEU EDF","1954 - 1974","","0","1085","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13748,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","BLANC AROSA","1962 - 1986","","0","1132","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13749,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","BLEU MENDOZA","1966 - 1967","","0","1134","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13750,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","ROUGE CHINA","1966 - 1969","","0","1135","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13751,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","GRIS PERLE","1967 - 1968","","0","1142","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13752,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S2","GRIS PERLE","1967 - 1968","Y","0","1142","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13753,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S3","GRIS PERLE","1967 - 1968","R","0","1142","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13754,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","BLEU CARAIBES","1969 - 1986","","0","1161","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13755,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","ROUGE AMARANTE","1968 - 1971","","0","1165","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13756,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","ROUGE CHERRY","1991 - 1994","","0","123","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13757,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","GRIS","1981 - 1986","","0","1269","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13758,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","BLANC ALASKA","1968 - 1982","","0","1304","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13759,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S3","BLANC ALASKA","1968 - 1982","DRT","0","1304","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13760,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","ROUGE ANDALOU","1969 - 1975","","0","1309","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13761,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","BLEU PASTEL","1970 - 1976","","0","1314","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13762,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","BLEU GENDARMERIE","1980 - 1985","","0","1320","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13763,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","VERT EMPIRE","1971 - 1975","","0","1325","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13765,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S2","BORDEAUX","1985 - 1989","D+R","0","1335","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
13767,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",45,"S1","JAUNE MAIS","1972 - 1974","","0","1336","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
