"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
47657,62263,10,"87.5",2,"I",0
47658,62263,14,"3.8",2,"I",0
47659,62263,15,"23.1",2,"I",0
47660,62263,41,"28.9",2,"I",0
47661,62263,1162,"38.5",2,"I",0
47662,62263,1385,"384.7",2,"I",0
47663,62263,1386,"384.6",2,"I",0
47664,62263,117,"38.5",2,"I",0
100322,98199,10,"87.2",2,"I",0
100323,98199,413,"19.3",2,"I",0
100324,98199,115,"36.3",2,"I",0
100325,98199,1386,"229.5",2,"I",0
100326,98199,340,"483.2",2,"I",0
100327,98199,117,"72.5",2,"I",0
100328,98194,10,"87",2,"I",0
100329,98194,6940,"13.9",2,"I",0
100330,98194,14,"48.2",2,"I",0
100331,98194,32,"123.2",2,"I",0
100332,98194,41,"163.9",2,"I",0
100333,98194,15,"599.9",2,"I",0
100775,98527,10,"87.4",2,"I",0
100776,98527,1385,"49.6",2,"I",0
100777,98527,340,"579.1",2,"I",0
100893,98535,10,"76.2",2,"I",0
100894,98535,14,"4.1",2,"I",0
100895,98535,13,"8",2,"I",0
100896,98535,32,"67.6",2,"I",0
100897,98535,41,"96.6",2,"I",0
100898,98535,15,"836.2",2,"I",0
100899,98543,10,"87.5",2,"I",0
100900,98543,1386,"6.6",2,"I",0
100901,98543,413,"8.2",2,"I",0
100902,98543,1385,"57.9",2,"I",0
100903,98543,340,"621.8",2,"I",0
101011,98551,10,"88",2,"I",0
101012,98551,13,"5.1",2,"I",0
101013,98551,24,"7.6",2,"I",0
101014,98551,14,"28.2",2,"I",0
101015,98551,15,"995",2,"I",0
101016,98559,10,"87.5",2,"I",0
101017,98559,1386,"82.5",2,"I",0
101018,98559,340,"715.7",2,"I",0
122395,104818,10,"71.9",2,"I",0
122396,104818,92,"10.9",2,"I",0
122397,104818,455,"30.1",2,"I",0
122398,104818,27,"52.5",2,"I",0
122399,104818,24,"59.6",2,"I",0
122400,104818,28,"246.8",2,"I",0
122401,104818,116,"359.7",2,"I",0
122402,104818,117,"91.8",2,"I",0
122403,104830,10,"86.7",2,"I",0
122404,104830,115,"19.3",2,"I",0
122405,104830,1386,"214.7",2,"I",0
122406,104830,340,"568.9",2,"I",0
122407,104830,117,"35.3",2,"I",0
122412,104843,10,"35",2,"I",0
122413,104843,387,"2.8",2,"I",0
122414,104843,11,"14",2,"I",0
122415,104843,1174,"64.2",2,"I",0
122416,104843,386,"79.4",2,"I",0
122417,104843,115,"116.8",2,"I",0
122418,104843,28,"175.2",2,"I",0
122419,104843,116,"385.4",2,"I",0
122420,104843,117,"46.7",2,"I",0
122485,104845,10,"87.6",2,"I",0
122486,104845,41,"33.2",2,"I",0
122487,104845,116,"59.8",2,"I",0
122488,104845,28,"76.4",2,"I",0
122489,104845,338,"83",2,"I",0
122490,104845,387,"218.8",2,"I",0
122491,104845,1163,"270.2",2,"I",0
