"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
15531,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","SOLID WHITE","2006 - 2006","","0","014","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15532,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","SOLID RED (Couche)","2006 - 2006","","0","015","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15534,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","SOLID WHITE","2004 - 2005","","0","A0035","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15535,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","SOLID RED","2003 - 2003","","0","A0036","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15536,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","CHILLI RED","2004 - 2005","","0","A0066","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15537,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","WHITE","2004 - 2005","","0","A0082","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15538,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","MCOBA YELLOW (Couche)","2006 - 2006","","0","A0116","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15540,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","SOLID BLUE","1999 - 2000","","0","B51 - AC16951","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15541,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S2","FLAME RED","1993 - 2001","D","0","P58 - AC16858","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15542,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S4","FLAME RED","1993 - 2001","Y+L","0","P58 - AC16858","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15543,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","FLAME RED (couche)","1993 - 2001","","0","P58 - AC16858","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15544,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S3","FLAME RED (couche)","1993 - 2001","L","0","P58 - AC16858","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15547,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","RED","1999 - 2001","","0","R48 - AC16948","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15548,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S2","RED","1999 - 2001","L","0","R48 - AC16948","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15549,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","PAGODA RED","1988 - 1994","","0","R52 - AC10752","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15550,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S2","PAGODA RED","1988 - 1994","Y","0","R52 - AC10752","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15551,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","SILK WHITE","1990 - 2005","","0","W09 - AC10809","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15552,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","PEARL WHITE","1988 - 1992","","0","W42 - AC10642","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15553,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","ARCTIC WHITE","1993 - 2001","","0","W83 - AC10983","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15554,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S2","ARCTIC WHITE","1993 - 2001","L+Y","0","W83 - AC10983","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15555,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","DOVE WHITE","1997 - 2001","","0","W92 - AC16892","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15556,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","PEARL WHITE","2001 - 2002","","0","W92","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15557,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",47,"S1","ROYAL YELLOW","1999 - 2001","","0","Y78 - AC16778","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
65176,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",47,"S1","SOLID RED (Couche)","2006 - 2006","","0","015","-3784416","","",0,"0",,,,,,,,,"1",,,"-1:3.69;-12582912:24.5;-3801088:71.8;",,,,,,,,,
65178,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",47,"S1","STAR SILVER MET","2006 - 2006","","0","016","-4019303","","",0,"0",,,,,,,,,"1",,,"-1907998:64.55;-41969:10.31;-16777216:3.9;-3775744:11.95;-7981310:9.28;",,,,,,,,,
65184,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",47,"S1","GENETIC SILVER MET","2007 - 2008","","0","A00128","-2106666","","",0,"0",,,,,,,,,"1",,,"-460552:12.22;-1907998:13.17;-2236963:5.22;-1401344:3.33;-2368549:65.84;-9890257:0.23;",,,,,,,,,
65186,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",47,"S1","ARCTIC BLUE MET","2001 - 2005","","0","A0019","-3617589","","",0,"0",,,,,,,,,"1",,,"-16767426:0.63;-460552:3.11;-2368549:56.38;-16761826:2.33;-4144960:37.55;",,,,,,,,,
65187,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",47,"S2","ARCTIC BLUE MET","2001 - 2005","B","0","A0019","-9931392","","",0,"0",,,,,,,,,"1",,,"-16761826:2.32;-16771281:0.51;-2368549:56.25;-4144960:37.84;-460552:3.09;",,,,,,,,,
65188,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",47,"S1","SILVER 1 MET","2001 - 2005","","0","A0022","-2567480","","",0,"0",,,,,,,,,"1",,,"-1907998:14.77;-2368549:59.07;-1401344:8.88;-460552:0.82;-16777216:1.31;-9890257:0.27;-4144960:14.88;",,,,,,,,,
65191,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",47,"S1","TEAL BLUE MET","2004 - 2005","","0","A0027","-10656141","","",0,"0",,,,,,,,,"1",,,"-9890257:10.5;-4144960:14.39;-16771281:6.53;-2368549:25.07;-16777216:37.24;-1907998:6.27;",,,,,,,,,
65192,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",47,"S1","IRIDIUM 2 MET","2001 - 2005","","0","A0030","-4737355","","",0,"0",,,,,,,,,"1",,,"-13691136:2.28;-1513767:9.07;-16777216:43.76;-4408132:37.28;-1907998:4.58;-9890257:3.03;",,,,,,,,,
65193,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",47,"S1","SOLID WHITE","2004 - 2005","","0","A0035","-4544640","","",0,"0",,,,,,,,,"1",,,"-1:96.87;-16777216:3.13;",,,,,,,,,
65194,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",47,"S1","SOLID RED","2003 - 2003","","0","A0036","-7720932","","",0,"0",,,,,,,,,"1",,,"-460552:4.26;-3801088:34.43;-9890257:28.85;-7981310:32.46;",,,,,,,,,
65200,-1,-1,"0                                                                                                   ",0.00,0,0,"BC",47,"S1","CHILLI RED","2004 - 2005","","0","A0066","-7794924","","",0,"0",,,,,,,,,"1",,,"-3801088:84.99;-8320469:3.07;-12582912:6.78;-13092808:5.16;",,,,,,,,,
