"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
15558,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",48,"S1","GRUENBEIGE","-","","0","1000","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15559,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",48,"S1","BEIGE","-","","0","1001","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15560,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",48,"S1","SANDGELB","-","","0","1002","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15561,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",48,"S1","SIGNALGELB (Couche)","-","","0","1003","0","","",1,"U",,,,,,,,,"1",,0,"",,,,,,,,,
15563,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",48,"S1","GOLDGELB (Couche)","-","","0","1004","0","","",1,"U",,,,,,,,,"1",,0,"",,,,,,,,,
15565,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",48,"S1","HONIGGELB","-","","0","1005","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15566,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",48,"S1","MAISGELB (Couche)","-","","0","1006","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15568,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",48,"S1","NARZISSENGELB (Couche)","-","","0","1007","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15570,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",48,"S1","BRAUNBEIGE","-","","0","1011","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15571,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",48,"S1","ZITRONENGELB (Couche)","-","","0","1012","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15573,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",48,"S1","PERLWEISS","-","","0","1013","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15574,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",48,"S1","ELFENBEIN","-","","0","1014","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15575,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",48,"S1","HELLELFENBEIN (Couche)","-","","0","1015","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15577,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",48,"S1","SCHWEFELGELB (Couche)","-","","0","1016","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
