"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
517951,15593,6897,"56.5",2,"I",0
517952,15593,6896,"95.2",2,"I",0
517953,15593,6898,"6.5",2,"I",0
517954,15593,6894,"149.9",2,"I",0
517955,15593,6914,"796.9",2,"I",0
539261,65374,15,"5.6",2,"I",0
539262,65374,41,"11.2",2,"I",0
539263,65374,305,"150.5",2,"I",0
539264,65374,294,"186.4",2,"I",0
539265,65374,6899,"207.6",2,"I",0
539266,65374,312,"385.5",2,"I",0
539267,15601,6894,"5.6",2,"I",0
539268,15601,6902,"11.2",2,"I",0
539269,15601,6925,"150.5",2,"I",0
539270,15601,6915,"186.4",2,"I",0
539271,15601,6900,"207.6",2,"I",0
539272,15601,6914,"385.5",2,"I",0
587845,94269,6920,"16.2",2,"I",0
587846,94269,6902,"66",2,"I",0
587847,94269,6894,"157.2",2,"I",0
587848,94269,6906,"254.8",2,"I",0
587849,94269,6908,"448",2,"I",0
611898,15741,6898,"23.9",2,"I",0
611899,15741,6907,"28.7",2,"I",0
611900,15741,6896,"31",2,"I",0
611901,15741,6897,"155.1",2,"I",0
611902,15741,6894,"817.1",2,"I",0
611903,15741,6906,"21.6",2,"I",0
691958,87775,10,"1",2,"I",0
691961,211685,1088371,"26.5683407835919",2,"I",0
691962,211685,1088377,"63.066263476203",2,"I",0
691963,211685,1088368,"83.4621614514857",2,"I",0
691964,211685,1088362,"847.50323428872",2,"I",0
691965,211646,1088360,"29.0609508416153",2,"I",0
691966,211646,1088368,"79.8046836583218",2,"I",0
691967,211646,1088362,"106.908161127186",2,"I",0
691968,211646,1088357,"136.721986342936",2,"I",0
691969,211646,1088377,"844.423898029941",2,"I",0
693170,211624,1088374,"12.4845107273679",2,"I",0
693171,211624,1088377,"110.053676085819",2,"I",0
693172,211624,1088371,"166.641077969649",2,"I",0
693173,211624,1088362,"748.120735217164",2,"I",0
693174,211639,1088362,"42.6096775254503",2,"I",0
693175,211639,1088371,"104.339082145654",2,"I",0
693176,211639,1088376,"434.290944009397",2,"I",0
693177,211639,1088368,"465.155646319499",2,"I",0
693178,211678,1088376,"2.64131332772021",2,"I",0
693179,211678,1088371,"191.008658541451",2,"I",0
693180,211678,1088377,"262.046085408031",2,"I",0
693181,211678,1088362,"617.511252722798",2,"I",0
694631,211677,1088373,"98.8182927618801",2,"I",0
694632,211677,1088377,"99.0966541499417",2,"I",0
694633,211677,1088371,"119.417035478441",2,"I",0
694634,211677,1088370,"757.560517609737",2,"I",0
694635,211762,1088368,"59.6054676623212",2,"I",0
694636,211762,1088371,"117.735552461714",2,"I",0
694637,211762,1088362,"318.535160106316",2,"I",0
694638,211762,1088377,"669.823819769649",2,"I",0
