"id_formula","id_formulaX","id_formulaY","formulaImgPath","otherPrice","id_otherCurreny","id_otherUnit","type","id_car","version","name_formula","c_year","variant","duplicate","colorCode","colorRGB","clientName","cardNumber","seqnum","state","id_formulaZ","id_formulaZp","id_formulaZ2p","id_formulaXp","id_formulaX2p","id_formulaYp","id_formulaY2p","isEquation15perc4201","converted","Date_cre_mod","noEquation4201_180","colorRGBPerc","code_formulaX","code_formulaXp","code_formulaXpp","code_formulaY","code_formulaYp","code_formulaYpp","code_formulaZ","code_formulaZp","code_formulaZpp"
15778,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S1","ASCOT GREEN","1986 - 1992","","0","001 - LRC001-HCC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15779,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S2","ASCOT GREEN","1986 - 1992","D+G","0","001 - LRC001-HCC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15780,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S1","DEEP BRONZE GREEN","1986 - 1992","","0","001 - LRC001-HCC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15781,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S2","DEEP BRONZE GREEN","1986 - 1992","D+G","0","001 - LRC001-HCC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15782,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S1","MOLTEN ORANGE","1999 - 2000","","0","0014","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15784,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S1","BLACK MAT (+ Lacquer)","1998 - 2001","","0","10001","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15785,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S1","BLACK MAT (+ Lacquer)","1998 - 2001","","0","10004","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15786,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S1","GREY MAT (+ Lacquer)","1998 - 2001","","0","10005","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15787,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S1","BLACK MAT (+ Lacquer)","1998 - 2001","","0","10007","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15788,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S1","GREY MAT (+ Lacquer)","1998 - 2001","","0","10008","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15789,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S1","TUSCAN BLUE","1970 - 1981","","0","236 - LRC236-JCB","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15790,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S1","SUNSET RED","1989 - 1995","","0","245 - LRC245-CMC","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15791,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S1","PAGEANT BLUE","1977 - 1981","","0","290 - LRC290-JNA","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15792,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S1","BRASILIA","1975 - 1980","","0","312 - LRC312-ACM","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15793,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S1","STRATOS BLUE","1984 - 1985","","0","327 - LRC327-JCP","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
15794,-1,-1,"0                                                                                                   ",0.00,0,0,"2K",49,"S1","TASMAN BLUE","1984 - 1985","","0","327 - LRC327-JCP","0","","",0,"0",,,,,,,,,"1",,,,,,,,,,,,
